symbol,name,price,change
MP,MP Materials Corp.,,26.62 +3.94 (+17.39%)
BBAR,Banco BBVA Argentina S.A.,,19.84 +2.05 (+11.53%)
FNMAT,Federal National Mortgage Association,,10.64 +0.96 (+9.92%)
BMA,Banco Macro S.A.,,88.35 +9.50 (+12.05%)
GGAL,Grupo Financiero Galicia S.A.,,60.06 +6.19 (+11.49%)
TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%)
FMCKJ,Federal Home Loan Mortgage Corporation,,10.80 +0.83 (+8.32%)
FNMAS,Federal National Mortgage Association,,11.52 +1.12 (+10.77%)
LKNCY,Luckin Coffee Inc.,,30.94 +2.94 (+10.51%)
FNMA,Federal National Mortgage Association,,6.25 +0.45 (+7.76%)
YPF,YPF Sociedad Anónima,,32.81 +2.78 (+9.25%)
CERT,"Certara, Inc.",,14.10 +1.19 (+9.20%)
TGS,Transportadora de Gas del Sur S.A.,,27.64 +2.25 (+8.86%)
PAM,Pampa Energía S.A.,,75.37 +5.78 (+8.31%)
FMCC,Federal Home Loan Mortgage Corporation,,5.18 +0.36 (+7.47%)
HCM,HUTCHMED (China) Limited,,14.80 +1.07 (+7.80%)
VKTX,"Viking Therapeutics, Inc.",,23.98 +1.76 (+7.95%)
QFIN,"Qifu Technology, Inc.",,39.11 +2.74 (+7.53%)
AMKBY,A.P. Møller - Mærsk A/S,,7.95 +0.52 (+7.00%)
ASXFY,ASX Limited,,43.40 +2.78 (+6.84%)
ATAT,Atour Lifestyle Holdings Limited,,23.70 +1.49 (+6.71%)
VIST,"Vista Energy, S.A.B. de C.V.",,40.45 +2.30 (+6.03%)
VEON,VEON Ltd.,,41.77 +2.33 (+5.91%)
FUTU,Futu Holdings Limited,,85.12 +4.73 (+5.88%)
SMMT,Summit Therapeutics Inc.,,24.54 +1.30 (+5.59%)
