symbol,name,price,change
WRD,WeRide Inc.,,9.80 +0.96 (+10.86%)
IMPUY,Impala Platinum Holdings Limited,,5.16 +0.49 (+10.49%)
TKAMY,thyssenkrupp AG,,9.51 +0.72 (+8.03%)
SMPL,The Simply Good Foods Company,,36.44 +3.26 (+9.81%)
HMY,Harmony Gold Mining Company Limited,,14.15 +1.18 (+9.10%)
XIACY,Xiaomi Corporation,,26.30 +2.20 (+9.13%)
DJTWW,Trump Media & Technology Group Corp.,,11.84 +0.94 (+8.62%)
IAG,IAMGOLD Corporation,,6.30 +0.49 (+8.35%)
ONTO,Onto Innovation Inc.,,113.35 +7.75 (+7.34%)
CDE,"Coeur Mining, Inc.",,5.17 +0.36 (+7.48%)
ANGPY,Anglo American Platinum Limited,,5.38 +0.37 (+7.40%)
DJT,Trump Media & Technology Group Corp.,,17.83 +1.17 (+7.02%)
EGO,Eldorado Gold Corporation,,16.66 +1.03 (+6.59%)
TFPM,Triple Flag Precious Metals Corp.,,19.53 +1.18 (+6.46%)
AU,AngloGold Ashanti plc,,35.36 +2.20 (+6.63%)
OLN,Olin Corporation,,19.09 +1.13 (+6.29%)
MPNGY,Meituan,,36.20 +2.20 (+6.47%)
KGC,Kinross Gold Corporation,,12.64 +0.68 (+5.64%)
DAL,"Delta Air Lines, Inc.",,38.03 +2.15 (+6.01%)
AVAV,"AeroVironment, Inc.",,127.68 +6.65 (+5.49%)
GFI,Gold Fields Limited,,21.20 +1.16 (+5.81%)
AGI,Alamos Gold Inc.,,25.91 +1.41 (+5.73%)
INTC,Intel Corporation,,19.15 +1.02 (+5.64%)
ORLA,Orla Mining Ltd.,,8.70 +0.41 (+4.95%)
GT,The Goodyear Tire & Rubber Company,,8.91 +0.43 (+5.07%)
