symbol,name,price,change
RKT,"Rocket Companies, Inc.",,15.43 +1.58 (+11.44%)
GME,GameStop Corp.,,23.46 +2.36 (+11.18%)
GAP,"The Gap, Inc.",,19.22 +1.38 (+7.74%)
BLD,TopBuild Corp.,,303.77 +19.55 (+6.88%)
IBP,"Installed Building Products, Inc.",,172.97 +9.18 (+5.60%)
ONON,On Holding AG,,39.59 +1.94 (+5.15%)
DECK,Deckers Outdoor Corporation,,106.02 +5.14 (+5.10%)
CROX,"Crocs, Inc.",,100.65 +4.68 (+4.88%)
TFII,TFI International Inc.,,79.44 +3.59 (+4.73%)
ANF,Abercrombie & Fitch Co.,,73.48 +3.22 (+4.58%)
AEO,"American Eagle Outfitters, Inc.",,10.94 +0.50 (+4.79%)
DHI,"D.R. Horton, Inc.",,127.74 +5.43 (+4.44%)
MHO,"M/I Homes, Inc.",,114.26 +5.16 (+4.73%)
CCS,"Century Communities, Inc.",,65.74 +2.81 (+4.47%)
DFH,"Dream Finders Homes, Inc.",,22.29 +0.98 (+4.60%)
NVR,"NVR, Inc.",,"7,402.75 +292.76 (+4.12%)"
MTH,Meritage Homes Corporation,,69.22 +2.61 (+3.92%)
TPH,"Tri Pointe Homes, Inc.",,31.82 +1.16 (+3.78%)
MSTR,Strategy Incorporated,,293.61 +11.33 (+4.01%)
W,Wayfair Inc.,,26.01 +0.92 (+3.67%)
GRBK,"Green Brick Partners, Inc.",,57.83 +1.94 (+3.47%)
KBH,KB Home,,57.56 +1.95 (+3.51%)
PHM,"PulteGroup, Inc.",,101.19 +3.44 (+3.52%)
PCVX,"Vaxcyte, Inc.",,31.60 +1.04 (+3.40%)
PVH,PVH Corp.,,67.72 +2.11 (+3.22%)
