symbol,name,price,change
NFE,New Fortress Energy Inc.,,8.57 +0.99 (+13.06%)
RNA,"Avidity Biosciences, Inc.",,29.77 +3.03 (+11.33%)
SWTX,"SpringWorks Therapeutics, Inc.",,46.52 +4.64 (+11.08%)
ACLX,"Arcellx, Inc.",,67.23 +6.53 (+10.76%)
AMTM,"Amentum Holdings, Inc.",,19.71 +1.84 (+10.30%)
RKT,"Rocket Companies, Inc.",,13.85 +1.25 (+9.92%)
MRX,Marex Group plc,,38.84 +3.16 (+8.86%)
SMMT,Summit Therapeutics Inc.,,20.46 +1.66 (+8.83%)
MRUS,Merus N.V.,,43.01 +3.41 (+8.61%)
RGTI,"Rigetti Computing, Inc.",,8.49 +0.68 (+8.71%)
AKRO,"Akero Therapeutics, Inc.",,41.95 +3.31 (+8.57%)
IONQ,"IonQ, Inc.",,25.05 +1.86 (+8.02%)
LOAR,Loar Holdings Inc.,,76.97 +5.64 (+7.91%)
IMVT,"Immunovant, Inc.",,16.42 +1.22 (+8.03%)
SRRK,Scholar Rock Holding Corporation,,32.54 +2.48 (+8.25%)
UWMC,UWM Holdings Corporation,,5.78 +0.43 (+8.04%)
SLNO,"Soleno Therapeutics, Inc.",,73.67 +5.41 (+7.93%)
CLF,Cleveland-Cliffs Inc.,,8.74 +0.64 (+7.90%)
NBIS,Nebius Group N.V.,,24.45 +1.76 (+7.76%)
KBR,"KBR, Inc.",,53.74 +3.81 (+7.63%)
GRFS,"Grifols, S.A.",,7.49 +0.53 (+7.61%)
CYTK,"Cytokinetics, Incorporated",,40.25 +2.75 (+7.33%)
VKTX,"Viking Therapeutics, Inc.",,25.68 +1.77 (+7.40%)
TMDX,"TransMedics Group, Inc.",,73.11 +4.84 (+7.09%)
RKLB,"Rocket Lab USA, Inc.",,19.34 +1.19 (+6.56%)
