symbol,name,price,change
MLGO,MicroAlgo Inc.,,13.99 +11.47 (+455.16%)
TNXP,Tonix Pharmaceuticals Holding Corp.,,30.51 +7.48 (+32.48%)
CLSK,"CleanSpark, Inc.",,8.79 +1.35 (+18.15%)
MARA,"MARA Holdings, Inc.",,14.61 +2.23 (+18.01%)
IONQ,"IonQ, Inc.",,26.12 +3.86 (+17.34%)
AZEK,The AZEK Company Inc.,,48.56 +7.17 (+17.32%)
TEM,"Tempus AI, Inc.",,59.00 +7.65 (+14.90%)
ASTS,"AST SpaceMobile, Inc.",,29.30 +3.59 (+13.96%)
OKLO,Oklo Inc.,,30.91 +3.75 (+13.81%)
W,Wayfair Inc.,,37.86 +4.20 (+12.48%)
COHR,Coherent Corp.,,76.71 +8.47 (+12.41%)
TSLA,"Tesla, Inc.",,278.39 +29.68 (+11.93%)
CVNA,Carvana Co.,,213.63 +22.68 (+11.88%)
FNMA,Federal National Mortgage Association,,7.10 +0.71 (+11.11%)
ROOT,"Root, Inc.",,177.69 +17.43 (+10.88%)
LITE,Lumentum Holdings Inc.,,73.63 +7.02 (+10.54%)
MSTR,MicroStrategy Incorporated,,335.72 +31.72 (+10.43%)
RIOT,"Riot Platforms, Inc.",,8.72 +0.77 (+9.69%)
CORZ,"Core Scientific, Inc.",,9.31 +0.80 (+9.40%)
NFE,New Fortress Energy Inc.,,12.22 +1.05 (+9.40%)
URBN,"Urban Outfitters, Inc.",,53.58 +4.45 (+9.06%)
CRDO,Credo Technology Group Holding Ltd,,50.53 +4.19 (+9.04%)
HOOD,"Robinhood Markets, Inc.",,48.36 +4.00 (+9.02%)
QXO,"QXO, Inc.",,13.80 +1.13 (+8.92%)
BHVN,Biohaven Ltd.,,31.04 +2.50 (+8.76%)
