symbol,name,price,change
GME,GameStop Corp.,,25.75 -2.61 (-9.20%)
XNGSY,ENN Energy Holdings Limited,,36.10 +3.55 (+10.91%)
DOOO,BRP Inc.,,37.35 -0.88 (-2.31%)
CTAS,Cintas Corporation,,202.70 -2.01 (-0.98%)
BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,,12.04 +0.64 (+5.61%)
VNET,"VNET Group, Inc.",,8.81 -0.09 (-1.04%)
QFIN,"Qifu Technology, Inc.",,46.55 +0.18 (+0.39%)
PAYX,"Paychex, Inc.",,149.29 -0.90 (-0.60%)
MOH,"Molina Healthcare, Inc.",,323.44 +12.91 (+4.16%)
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,,14.66 +0.58 (+4.12%)
CAR,"Avis Budget Group, Inc.",,67.52 +5.97 (+9.70%)
TAL,TAL Education Group,,13.45 -0.03 (-0.22%)
SYY,Sysco Corporation,,72.75 +2.36 (+3.35%)
STZ,"Constellation Brands, Inc.",,183.52 -0.59 (-0.32%)
PII,Polaris Inc.,,42.80 -0.16 (-0.37%)
TAP,Molson Coors Beverage Company,,60.74 +0.18 (+0.30%)
