symbol,name,price,change
SLNO,"Soleno Therapeutics, Inc.",,69.98 +21.01 (+42.99%)
CNXC,Concentrix Corporation,,63.01 +17.33 (+37.88%)
CAR,"Avis Budget Group, Inc.",,73.71 +12.16 (+19.76%)
MLGO,MicroAlgo Inc.,,13.85 +1.99 (+16.78%)
DLTR,"Dollar Tree, Inc.",,76.04 +6.83 (+9.87%)
RIVN,"Rivian Automotive, Inc.",,13.06 +0.96 (+7.98%)
LKNCY,Luckin Coffee Inc.,,35.88 +2.68 (+8.07%)
ZLAB,Zai Lab Limited,,36.49 +2.58 (+7.61%)
HCM,HUTCHMED (China) Limited,,15.29 +1.07 (+7.52%)
AAP,"Advance Auto Parts, Inc.",,40.67 +2.85 (+7.53%)
EWTX,"Edgewise Therapeutics, Inc.",,23.56 +1.30 (+5.84%)
LBRT,Liberty Energy Inc.,,16.26 +0.84 (+5.48%)
BILI,Bilibili Inc.,,20.43 +0.99 (+5.12%)
ALC,Alcon Inc.,,95.93 +4.61 (+5.05%)
DAR,Darling Ingredients Inc.,,32.04 +1.56 (+5.12%)
MNSO,MINISO Group Holding Limited,,19.67 +0.90 (+4.79%)
FINV,FinVolution Group,,10.29 +0.48 (+4.85%)
BYDDF,BYD Company Limited,,53.46 +2.46 (+4.82%)
IAG,IAMGOLD Corporation,,6.39 +0.28 (+4.63%)
BURBY,Burberry Group plc,,10.67 +0.48 (+4.71%)
WING,Wingstop Inc.,,230.23 +9.86 (+4.47%)
QFIN,"Qifu Technology, Inc.",,48.49 +2.12 (+4.57%)
BYDDY,BYD Company Limited,,106.68 +4.58 (+4.49%)
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,112.76 +4.60 (+4.25%)
FJTSY,Fujitsu Limited,,20.62 +0.85 (+4.30%)
