symbol,name,price,change
NFE,New Fortress Energy Inc.,,7.75 -0.82 (-9.61%)
ACLX,"Arcellx, Inc.",,67.23 +6.53 (+10.76%)
AMTM,"Amentum Holdings, Inc.",,18.77 -0.93 (-4.74%)
RKT,"Rocket Companies, Inc.",,13.92 +0.06 (+0.43%)
MRX,Marex Group plc,,37.50 -1.34 (-3.45%)
RGTI,"Rigetti Computing, Inc.",,7.97 -0.52 (-6.12%)
AKRO,"Akero Therapeutics, Inc.",,40.25 -1.70 (-4.05%)
SRRK,Scholar Rock Holding Corporation,,30.90 -1.65 (-5.06%)
UWMC,UWM Holdings Corporation,,5.68 -0.11 (-1.88%)
IMVT,"Immunovant, Inc.",,15.62 -0.80 (-4.66%)
IONQ,"IonQ, Inc.",,22.93 -2.12 (-8.46%)
SLNO,"Soleno Therapeutics, Inc.",,70.37 -3.30 (-4.49%)
CLF,Cleveland-Cliffs Inc.,,7.99 -0.74 (-8.47%)
NBIS,Nebius Group N.V.,,21.92 -2.53 (-10.35%)
LOAR,Loar Holdings Inc.,,76.85 +5.52 (+7.74%)
KBR,"KBR, Inc.",,51.88 -1.90 (-3.53%)
GRFS,"Grifols, S.A.",,7.49 +0.53 (+7.61%)
CYTK,"Cytokinetics, Incorporated",,39.88 -0.37 (-0.92%)
COOP,Mr. Cooper Group Inc.,,130.24 -3.32 (-2.49%)
FIVE,"Five Below, Inc.",,64.51 -16.98 (-20.84%)
RKLB,"Rocket Lab USA, Inc.",,17.80 -1.54 (-7.96%)
CVNA,Carvana Co.,,226.32 +13.73 (+6.46%)
AUR,"Aurora Innovation, Inc.",,6.48 -0.68 (-9.50%)
IESC,"IES Holdings, Inc.",,179.63 +10.77 (+6.38%)
LKNCY,Luckin Coffee Inc.,,37.91 +2.27 (+6.37%)
