symbol,name,price,change
GT,The Goodyear Tire & Rubber Company,,10.44 +1.32 (+14.47%)
LW,"Lamb Weston Holdings, Inc.",,59.64 +5.49 (+10.14%)
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,24.78 +1.98 (+8.68%)
MOH,"Molina Healthcare, Inc.",,356.42 +27.93 (+8.50%)
SAABY,Saab AB (publ),,20.99 +1.47 (+7.51%)
TSCDY,Tesco PLC,,13.76 +0.90 (+7.00%)
DANOY,Danone S.A.,,16.12 +0.89 (+5.84%)
WMMVY,"Wal-Mart de México, S.A.B. de C.V.",,29.84 +1.60 (+5.67%)
NGG,National Grid plc,,69.47 +3.69 (+5.62%)
STNE,StoneCo Ltd.,,11.31 +0.58 (+5.36%)
ORANY,Orange S.A.,,13.70 +0.69 (+5.31%)
CNC,Centene Corporation,,63.92 +3.19 (+5.24%)
ALHC,"Alignment Healthcare, Inc.",,18.78 +0.93 (+5.21%)
UL,Unilever PLC,,62.83 +2.97 (+4.96%)
DG,Dollar General Corporation,,94.64 +4.44 (+4.93%)
KR,The Kroger Co.,,70.34 +3.07 (+4.56%)
AWK,"American Water Works Company, Inc.",,152.95 +6.76 (+4.62%)
FMS,Fresenius Medical Care AG,,25.88 +1.15 (+4.65%)
PAGS,PagSeguro Digital Ltd.,,8.36 +0.37 (+4.63%)
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,18.73 +0.81 (+4.52%)
CCEP,Coca-Cola Europacific Partners PLC,,91.06 +3.65 (+4.18%)
UNH,UnitedHealth Group Incorporated,,545.28 +22.08 (+4.22%)
BAESY,BAE Systems plc,,86.11 +3.35 (+4.04%)
AMX,"América Móvil, S.A.B. de C.V.",,15.05 +0.59 (+4.08%)
ELV,"Elevance Health, Inc.",,446.46 +17.13 (+3.99%)
