symbol,name,price,change
HMY,Harmony Gold Mining Company Limited,,16.90 +0.78 (+4.87%)
SMMT,Summit Therapeutics Inc.,,20.50 +0.35 (+1.74%)
GFI,Gold Fields Limited,,24.68 +1.28 (+5.47%)
PSMT,"PriceSmart, Inc.",,91.35 -0.41 (-0.45%)
ALHC,"Alignment Healthcare, Inc.",,19.02 -0.76 (-3.82%)
AU,AngloGold Ashanti plc,,41.71 +2.86 (+7.35%)
ORLA,Orla Mining Ltd.,,10.74 +0.86 (+8.76%)
BYDDF,BYD Company Limited,,46.65 +2.76 (+6.29%)
AGL,"agilon health, inc.",,5.53 +0.03 (+0.45%)
EGO,Eldorado Gold Corporation,,19.13 +1.13 (+6.27%)
IAG,IAMGOLD Corporation,,7.20 +0.32 (+4.66%)
AEM,Agnico Eagle Mines Limited,,117.12 +5.57 (+5.00%)
EQX,Equinox Gold Corp.,,6.80 +0.31 (+4.70%)
KGC,Kinross Gold Corporation,,14.27 +0.59 (+4.27%)
SAND,Sandstorm Gold Ltd.,,7.95 +0.36 (+4.67%)
GDS,GDS Holdings Limited,,20.81 +0.42 (+2.02%)
PAAS,Pan American Silver Corp.,,25.95 +1.11 (+4.47%)
FNV,Franco-Nevada Corporation,,163.45 +5.97 (+3.79%)
FRO,Frontline plc,,14.73 +0.70 (+4.99%)
NEM,Newmont Corporation,,53.64 +2.70 (+5.29%)
ACT,"Enact Holdings, Inc.",,34.79 -0.05 (-0.14%)
WPM,Wheaton Precious Metals Corp.,,80.34 +2.44 (+3.13%)
AGI,Alamos Gold Inc.,,29.36 +1.39 (+4.97%)
STM,STMicroelectronics N.V.,,19.73 +0.80 (+4.23%)
NVO,Novo Nordisk A/S,,64.06 +2.85 (+4.66%)
