symbol,name,price,change
DJTWW,Trump Media & Technology Group Corp.,,14.49 -0.21 (-1.43%)
DJT,Trump Media & Technology Group Corp.,,22.06 -0.81 (-3.54%)
MBLY,Mobileye Global Inc.,,16.43 -0.15 (-0.90%)
IP,International Paper Company,,55.38 -0.88 (-1.56%)
CTAS,Cintas Corporation,,205.85 +12.39 (+6.40%)
EGO,Eldorado Gold Corporation,,16.65 +0.06 (+0.39%)
TKC,Turkcell Iletisim Hizmetleri A.S.,,6.21 +0.32 (+5.43%)
FMCC,Federal Home Loan Mortgage Corporation,,6.26 +0.31 (+5.21%)
BBAR,Banco BBVA Argentina S.A.,,20.07 +0.17 (+0.83%)
X,United States Steel Corporation,,43.02 +0.02 (+0.05%)
PRMB,Primo Brands Corporation,,33.31 -0.21 (-0.61%)
APPF,"AppFolio, Inc.",,229.65 -0.68 (-0.30%)
INTA,"Intapp, Inc.",,63.65 -0.53 (-0.82%)
YPF,YPF Sociedad Anónima,,37.95 +0.28 (+0.74%)
YOU,"Clear Secure, Inc.",,27.52 +0.01 (+0.04%)
QRVO,"Qorvo, Inc.",,75.35 -0.28 (-0.37%)
CLBT,Cellebrite DI Ltd.,,20.75 +0.14 (+0.68%)
CX,"CEMEX, S.A.B. de C.V.",,6.22 -0.06 (-0.96%)
MNSO,MINISO Group Holding Limited,,19.08 +0.84 (+4.65%)
SOMMY,"Sumitomo Chemical Company, Limited",,12.35 +0.42 (+3.52%)
EQX,Equinox Gold Corp.,,6.95 -0.05 (-0.64%)
FCX,Freeport-McMoRan Inc.,,43.21 +0.20 (+0.47%)
UNCRY,UniCredit S.p.A.,,29.91 +0.97 (+3.35%)
CRWD,"CrowdStrike Holdings, Inc.",,382.70 -2.25 (-0.58%)
DUOL,"Duolingo, Inc.",,338.99 -1.51 (-0.44%)
