symbol,name,price,change
PVH,PVH Corp.,,75.02 -1.41 (-1.84%)
HSAI,Hesai Group,,17.04 -0.39 (-2.24%)
CLSK,"CleanSpark, Inc.",,7.31 -0.25 (-3.31%)
PRGS,Progress Software Corporation,,56.82 -0.94 (-1.63%)
CORZ,"Core Scientific, Inc.",,7.86 -0.14 (-1.75%)
AUOTY,AUO Corporation,,5.05 +0.44 (+9.54%)
RUM,Rumble Inc.,,7.46 -0.24 (-3.12%)
WNS,WNS (Holdings) Limited,,66.59 +5.10 (+8.29%)
BE,Bloom Energy Corporation,,20.40 -0.84 (-3.95%)
MNDY,monday.com Ltd.,,250.99 -11.18 (-4.27%)
NBIS,Nebius Group N.V.,,22.10 -0.59 (-2.60%)
HCM,HUTCHMED (China) Limited,,15.68 -0.38 (-2.31%)
FMCC,Federal Home Loan Mortgage Corporation,,5.71 +0.36 (+6.73%)
APP,AppLovin Corporation,,273.33 -9.37 (-3.31%)
RIVN,"Rivian Automotive, Inc.",,12.81 -0.47 (-3.54%)
OS,"OneStream, Inc.",,22.11 -0.57 (-2.51%)
MSTR,Strategy Incorporated,,298.78 -7.24 (-2.37%)
RIOT,"Riot Platforms, Inc.",,7.32 -0.22 (-2.98%)
DOOO,BRP Inc.,,35.45 -0.30 (-0.84%)
DUOL,"Duolingo, Inc.",,318.56 -8.82 (-2.69%)
ASAN,"Asana, Inc.",,15.12 -0.19 (-1.24%)
AEO,"American Eagle Outfitters, Inc.",,12.13 -0.08 (-0.66%)
HIMS,"Hims & Hers Health, Inc.",,29.57 -1.48 (-4.77%)
IONQ,"IonQ, Inc.",,22.87 -0.32 (-1.38%)
LEVI,Levi Strauss & Co.,,16.38 +0.79 (+5.07%)
