symbol,name,price,change
HMY,Harmony Gold Mining Company Limited,,15.84 +1.15 (+7.83%)
GFI,Gold Fields Limited,,23.05 +1.50 (+6.96%)
SMMT,Summit Therapeutics Inc.,,19.43 +1.20 (+6.58%)
GDS,GDS Holdings Limited,,20.47 +1.03 (+5.33%)
PSMT,"PriceSmart, Inc.",,89.97 +4.18 (+4.87%)
AU,AngloGold Ashanti plc,,38.11 +1.69 (+4.64%)
ALHC,"Alignment Healthcare, Inc.",,19.41 +0.87 (+4.69%)
ORLA,Orla Mining Ltd.,,9.72 +0.44 (+4.74%)
IAG,IAMGOLD Corporation,,6.79 +0.28 (+4.30%)
AGL,"agilon health, inc.",,5.38 +0.20 (+3.76%)
AEM,Agnico Eagle Mines Limited,,110.12 +4.32 (+4.08%)
KNTNF,K92 Mining Inc.,,8.77 +0.34 (+4.03%)
NCLTY,"Nitori Holdings Co., Ltd.",,11.40 +0.44 (+4.01%)
TAL,TAL Education Group,,10.02 +0.37 (+3.78%)
AGI,Alamos Gold Inc.,,27.58 +1.04 (+3.94%)
FNV,Franco-Nevada Corporation,,155.72 +5.50 (+3.66%)
KGC,Kinross Gold Corporation,,13.48 +0.46 (+3.53%)
ACT,"Enact Holdings, Inc.",,34.71 +1.34 (+4.00%)
SAND,Sandstorm Gold Ltd.,,7.48 +0.25 (+3.46%)
RGLD,"Royal Gold, Inc.",,169.74 +5.20 (+3.17%)
TFPM,Triple Flag Precious Metals Corp.,,20.51 +0.64 (+3.21%)
SSDOY,"Shiseido Company, Limited",,17.05 +0.51 (+3.08%)
EQX,Equinox Gold Corp.,,6.43 +0.18 (+2.80%)
OR,Osisko Gold Royalties Ltd,,21.01 +0.60 (+2.94%)
WPM,Wheaton Precious Metals Corp.,,76.89 +2.26 (+3.04%)
