symbol,name,price,change
MLGO,MicroAlgo Inc.,,16.88 +2.89 (+20.64%)
DJTWW,Trump Media & Technology Group Corp.,,14.25 +1.12 (+8.52%)
DJT,Trump Media & Technology Group Corp.,,22.74 +1.73 (+8.24%)
EPAC,Enerpac Tool Group Corp.,,46.53 +3.15 (+7.26%)
SAND,Sandstorm Gold Ltd.,,7.33 +0.48 (+6.95%)
EGO,Eldorado Gold Corporation,,16.71 +1.00 (+6.37%)
MBLY,Mobileye Global Inc.,,16.20 +0.94 (+6.13%)
FMCC,Federal Home Loan Mortgage Corporation,,6.31 +0.36 (+6.05%)
FNMA,Federal National Mortgage Association,,7.53 +0.43 (+6.06%)
TKC,Turkcell Iletisim Hizmetleri A.S.,,6.20 +0.32 (+5.35%)
IP,International Paper Company,,55.72 +2.88 (+5.46%)
BAYRY,Bayer Aktiengesellschaft,,6.34 +0.29 (+4.80%)
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,17.96 +0.74 (+4.30%)
ZIJMY,Zijin Mining Group Company Limited,,47.53 +1.93 (+4.23%)
CVNA,Carvana Co.,,222.15 +8.52 (+3.99%)
INTR,"Inter & Co, Inc.",,5.84 +0.23 (+4.10%)
CAAP,Corporación América Airports S.A.,,19.15 +0.75 (+4.08%)
EQX,Equinox Gold Corp.,,7.05 +0.28 (+4.14%)
ETSY,"Etsy, Inc.",,47.69 +1.83 (+3.99%)
BMA,Banco Macro S.A.,,84.20 +3.00 (+3.69%)
YPF,YPF Sociedad Anónima,,37.50 +1.33 (+3.68%)
JBAXY,Julius Bär Gruppe AG,,14.68 +0.57 (+4.06%)
ITUB,Itaú Unibanco Holding S.A.,,5.78 +0.19 (+3.49%)
PBR,Petróleo Brasileiro S.A. - Petrobras,,14.47 +0.49 (+3.54%)
TEO,Telecom Argentina S.A.,,10.86 +0.37 (+3.53%)
