symbol,name,price,change
GT,The Goodyear Tire & Rubber Company,,9.73 -0.45 (-4.47%)
LW,"Lamb Weston Holdings, Inc.",,59.04 -0.53 (-0.88%)
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,24.89 +2.09 (+9.17%)
MOH,"Molina Healthcare, Inc.",,352.50 -0.74 (-0.21%)
DANOY,Danone S.A.,,16.09 +0.86 (+5.65%)
NGG,National Grid plc,,69.47 +0.08 (+0.12%)
ELV,"Elevance Health, Inc.",,453.19 +0.50 (+0.11%)
SBAC,SBA Communications Corporation,,232.68 +1.81 (+0.78%)
KR,The Kroger Co.,,70.36 -0.38 (-0.53%)
XIACF,Xiaomi Corporation,,5.95 +0.28 (+4.94%)
FSLR,"First Solar, Inc.",,134.17 -2.06 (-1.51%)
AMT,American Tower Corporation,,232.51 +4.32 (+1.90%)
SSEZY,SSE plc,,21.80 +0.98 (+4.71%)
DG,Dollar General Corporation,,93.39 -1.02 (-1.08%)
ORANY,Orange S.A.,,13.60 +0.59 (+4.53%)
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,17.91 -0.78 (-4.17%)
FCFS,"FirstCash Holdings, Inc.",,125.26 -2.05 (-1.60%)
PPC,Pilgrim's Pride Corporation,,50.35 -0.71 (-1.39%)
BTI,British American Tobacco p.l.c.,,41.35 -0.56 (-1.35%)
CSAN,Cosan S.A.,,5.20 -0.34 (-6.05%)
ELP,Companhia Paranaense de Energia - COPEL,,7.39 -0.32 (-4.15%)
TU,TELUS Corporation,,14.44 -0.10 (-0.69%)
BCE,BCE Inc.,,22.75 +0.09 (+0.40%)
AMX,"América Móvil, S.A.B. de C.V.",,14.68 -0.34 (-2.23%)
PM,Philip Morris International Inc.,,161.13 -0.94 (-0.58%)
