symbol,name,price,change
MP,MP Materials Corp.,,27.62 +4.94 (+21.79%)
PIII,P3 Health Partners Inc.,,8.96 +1.38 (+18.26%)
BMA,Banco Macro S.A.,,90.96 +12.11 (+15.36%)
BBAR,Banco BBVA Argentina S.A.,,20.42 +2.63 (+14.78%)
GGAL,Grupo Financiero Galicia S.A.,,61.43 +7.56 (+14.03%)
SMMT,Summit Therapeutics Inc.,,26.13 +2.89 (+12.44%)
CERT,"Certara, Inc.",,14.40 +1.49 (+11.54%)
TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%)
TGS,Transportadora de Gas del Sur S.A.,,28.10 +2.71 (+10.67%)
VKTX,"Viking Therapeutics, Inc.",,24.57 +2.35 (+10.58%)
LKNCY,Luckin Coffee Inc.,,31.00 +3.00 (+10.71%)
YPF,YPF Sociedad Anónima,,33.12 +3.09 (+10.27%)
PAM,Pampa Energía S.A.,,76.81 +7.22 (+10.38%)
FNMA,Federal National Mortgage Association,,6.37 +0.57 (+9.83%)
WAFD,"WaFd, Inc.",,26.74 +2.20 (+8.96%)
HCM,HUTCHMED (China) Limited,,14.89 +1.17 (+8.53%)
FMCC,Federal Home Loan Mortgage Corporation,,5.22 +0.40 (+8.30%)
FNMAS,Federal National Mortgage Association,,11.27 +0.87 (+8.37%)
HWKN,"Hawkins, Inc.",,123.83 +9.05 (+7.88%)
RKT,"Rocket Companies, Inc.",,12.86 +0.96 (+8.07%)
AKO-B,Embotelladora Andina S.A.,,23.55 +1.72 (+7.87%)
BBWI,"Bath & Body Works, Inc.",,28.65 +2.01 (+7.55%)
ADMA,"ADMA Biologics, Inc.",,20.91 +1.51 (+7.78%)
TMDX,"TransMedics Group, Inc.",,86.84 +6.26 (+7.77%)
BLCO,Bausch + Lomb Corporation,,12.28 +0.88 (+7.73%)
