symbol,name,price,change
ZLAB,Zai Lab Limited,,31.59 +2.05 (+6.96%)
SMMT,Summit Therapeutics Inc.,,23.96 +0.72 (+3.10%)
GGAL,Grupo Financiero Galicia S.A.,,61.54 +7.67 (+14.23%)
CRSP,CRISPR Therapeutics AG,,39.82 +0.52 (+1.32%)
KC,Kingsoft Cloud Holdings Limited,,14.30 +0.08 (+0.59%)
GLNG,Golar LNG Limited,,37.88 +0.61 (+1.63%)
XPEV,XPeng Inc.,,20.83 +0.83 (+4.15%)
PCVX,"Vaxcyte, Inc.",,32.26 +1.06 (+3.40%)
BBAR,Banco BBVA Argentina S.A.,,19.60 +1.81 (+11.33%)
BMA,Banco Macro S.A.,,88.71 +9.86 (+12.50%)
MSTR,Strategy Incorporated,,308.58 +8.60 (+2.87%)
AU,AngloGold Ashanti plc,,41.65 -1.15 (-2.68%)
MP,MP Materials Corp.,,24.83 +2.15 (+9.46%)
MPWR,"Monolithic Power Systems, Inc.",,557.08 +23.95 (+4.49%)
RNECY,Renesas Electronics Corporation,,5.90 +0.52 (+9.67%)
HCM,HUTCHMED (China) Limited,,14.43 +0.70 (+5.14%)
TGS,Transportadora de Gas del Sur S.A.,,25.39 +2.10 (+9.02%)
YPF,YPF Sociedad Anónima,,34.50 +4.47 (+14.89%)
TEO,Telecom Argentina S.A.,,12.05 +0.98 (+8.85%)
DELL,Dell Technologies Inc.,,88.27 +6.34 (+7.74%)
MRUS,Merus N.V.,,42.57 +0.60 (+1.43%)
VONOY,Vonovia SE,,15.35 +1.22 (+8.63%)
IMPUY,Impala Platinum Holdings Limited,,6.06 +0.48 (+8.60%)
ANGPY,Anglo American Platinum Limited,,6.01 +0.46 (+8.29%)
HCC,"Warrior Met Coal, Inc.",,48.08 +0.71 (+1.50%)
