symbol,name,price,change
WOR,"Worthington Enterprises, Inc.",,51.60 +9.97 (+23.95%)
GME,GameStop Corp.,,28.39 +2.99 (+11.75%)
XNGSY,ENN Energy Holdings Limited,,36.00 +3.45 (+10.60%)
DOOO,BRP Inc.,,38.23 +2.69 (+7.57%)
CTAS,Cintas Corporation,,204.71 +11.25 (+5.82%)
ASH,Ashland Inc.,,59.74 +2.81 (+4.94%)
VNET,"VNET Group, Inc.",,8.90 +0.42 (+4.95%)
QFIN,"Qifu Technology, Inc.",,46.37 +2.14 (+4.84%)
BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,,11.91 +0.51 (+4.47%)
MOH,"Molina Healthcare, Inc.",,323.52 +12.99 (+4.18%)
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,,14.68 +0.60 (+4.26%)
PAYX,"Paychex, Inc.",,150.19 +6.06 (+4.20%)
ANGPY,Anglo American Platinum Limited,,6.80 +0.25 (+3.82%)
TAL,TAL Education Group,,13.48 +0.45 (+3.49%)
SOMMY,"Sumitomo Chemical Company, Limited",,12.35 +0.42 (+3.52%)
CAR,"Avis Budget Group, Inc.",,61.55 +2.07 (+3.48%)
SYY,Sysco Corporation,,72.76 +2.37 (+3.37%)
PII,Polaris Inc.,,42.95 +1.33 (+3.20%)
STZ,"Constellation Brands, Inc.",,184.07 +5.71 (+3.20%)
NTDOY,"Nintendo Co., Ltd.",,18.58 +0.56 (+3.11%)
DLTR,"Dollar Tree, Inc.",,69.21 +2.07 (+3.08%)
PPC,Pilgrim's Pride Corporation,,52.59 +1.52 (+2.98%)
TAP,Molson Coors Beverage Company,,60.56 +1.80 (+3.06%)
GMAB,Genmab A/S,,19.62 +0.56 (+2.94%)
