symbol,name,price,change
WOR,"Worthington Enterprises, Inc.",,51.47 +9.84 (+23.64%)
PLTK,Playtika Holding Corp.,,5.39 +0.99 (+22.39%)
GME,GameStop Corp.,,29.25 +3.85 (+15.14%)
XNGSY,ENN Energy Holdings Limited,,36.50 +3.95 (+12.14%)
DOOO,BRP Inc.,,38.29 +2.75 (+7.75%)
QFIN,"Qifu Technology, Inc.",,47.19 +2.96 (+6.68%)
CTAS,Cintas Corporation,,205.90 +12.44 (+6.43%)
ASH,Ashland Inc.,,60.31 +3.38 (+5.94%)
DLTR,"Dollar Tree, Inc.",,70.61 +3.47 (+5.17%)
PAYX,"Paychex, Inc.",,150.25 +6.12 (+4.25%)
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,,14.65 +0.57 (+4.05%)
NTDOY,"Nintendo Co., Ltd.",,18.75 +0.73 (+4.05%)
VNET,"VNET Group, Inc.",,8.81 +0.33 (+3.83%)
DAR,Darling Ingredients Inc.,,30.80 +1.13 (+3.81%)
IAG,IAMGOLD Corporation,,6.26 +0.22 (+3.56%)
SOMMY,"Sumitomo Chemical Company, Limited",,12.35 +0.42 (+3.52%)
MOH,"Molina Healthcare, Inc.",,320.99 +10.46 (+3.37%)
WFRD,Weatherford International plc,,56.72 +1.90 (+3.47%)
MNSO,MINISO Group Holding Limited,,18.80 +0.56 (+3.04%)
CNC,Centene Corporation,,60.74 +1.81 (+3.06%)
