symbol,name,price,change
GT,The Goodyear Tire & Rubber Company,,10.19 +1.07 (+11.73%)
LW,"Lamb Weston Holdings, Inc.",,59.59 +5.44 (+10.05%)
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,24.93 +2.13 (+9.34%)
GBOOY,"Grupo Financiero Banorte, S.A.B. de C.V.",,38.78 +3.50 (+9.97%)
MOH,"Molina Healthcare, Inc.",,353.47 +24.98 (+7.60%)
SAABY,Saab AB (publ),,20.87 +1.35 (+6.89%)
TSCDY,Tesco PLC,,13.72 +0.86 (+6.69%)
PAGS,PagSeguro Digital Ltd.,,8.50 +0.51 (+6.38%)
STNE,StoneCo Ltd.,,11.39 +0.66 (+6.15%)
CNC,Centene Corporation,,64.29 +3.56 (+5.87%)
DANOY,Danone S.A.,,16.10 +0.87 (+5.71%)
NGG,National Grid plc,,69.40 +3.62 (+5.50%)
ELV,"Elevance Health, Inc.",,452.65 +23.32 (+5.43%)
SBAC,SBA Communications Corporation,,230.87 +11.53 (+5.26%)
WMMVY,"Wal-Mart de México, S.A.B. de C.V.",,29.74 +1.50 (+5.31%)
ORANY,Orange S.A.,,13.70 +0.69 (+5.30%)
RNMBY,Rheinmetall AG,,296.10 +14.14 (+5.01%)
KR,The Kroger Co.,,70.75 +3.48 (+5.17%)
FSLR,"First Solar, Inc.",,136.23 +6.41 (+4.94%)
AMT,American Tower Corporation,,228.14 +10.24 (+4.70%)
DG,Dollar General Corporation,,94.46 +4.26 (+4.72%)
SSEZY,SSE plc,,21.80 +0.98 (+4.71%)
UL,Unilever PLC,,62.54 +2.68 (+4.49%)
XIACF,Xiaomi Corporation,,5.92 +0.25 (+4.41%)
BTI,British American Tobacco p.l.c.,,41.92 +1.67 (+4.16%)
