symbol,name,price,change
FRGE,"Forge Global Holdings, Inc.",,11.83 +2.20 (+22.86%)
RKLB,"Rocket Lab USA, Inc.",,21.07 +1.94 (+10.14%)
PIII,P3 Health Partners Inc.,,9.86 +0.87 (+9.68%)
DSDVY,DSV A/S,,95.09 +8.16 (+9.39%)
ERIC,Telefonaktiebolaget LM Ericsson (publ),,8.07 +0.62 (+8.32%)
PAY,"Paymentus Holdings, Inc.",,30.15 +2.15 (+7.68%)
MNTHY,Minth Group Limited,,44.72 +2.79 (+6.65%)
TGOPY,3i Group plc,,27.66 +1.62 (+6.22%)
PLTR,Palantir Technologies Inc.,,98.40 +5.78 (+6.24%)
DNZOY,DENSO Corporation,,12.34 +0.72 (+6.20%)
ADMA,"ADMA Biologics, Inc.",,22.15 +1.24 (+5.93%)
RBRK,"Rubrik, Inc.",,63.31 +3.26 (+5.42%)
DJT,Trump Media & Technology Group Corp.,,19.96 +1.03 (+5.44%)
FINMY,Leonardo S.p.a.,,26.30 +1.33 (+5.33%)
TNXP,Tonix Pharmaceuticals Holding Corp.,,17.00 +0.85 (+5.26%)
UAA,"Under Armour, Inc.",,5.74 +0.30 (+5.51%)
HPE,Hewlett Packard Enterprise Company,,15.01 +0.73 (+5.08%)
RCRUY,"Recruit Holdings Co., Ltd.",,10.63 +0.47 (+4.63%)
LEGN,Legend Biotech Corporation,,33.74 +1.63 (+5.08%)
CODYY,Compagnie de Saint-Gobain S.A.,,20.26 +0.95 (+4.92%)
MMYT,MakeMyTrip Limited,,102.69 +4.74 (+4.84%)
YMM,Full Truck Alliance Co. Ltd.,,10.33 +0.47 (+4.77%)
NFLX,"Netflix, Inc.",,976.28 +45.00 (+4.83%)
TIGO,Millicom International Cellular S.A.,,29.84 +1.34 (+4.70%)
CVNA,Carvana Co.,,213.97 +9.24 (+4.52%)
