symbol,name,price,change
MLGO,MicroAlgo Inc.,,20.88 +2.43 (+13.17%)
ONON,On Holding AG,,40.75 +3.10 (+8.23%)
IBP,"Installed Building Products, Inc.",,175.49 +11.71 (+7.15%)
COLM,Columbia Sportswear Company,,71.73 +4.54 (+6.76%)
GAP,"The Gap, Inc.",,19.02 +1.18 (+6.61%)
BLD,TopBuild Corp.,,302.18 +17.96 (+6.32%)
SKX,"Skechers U.S.A., Inc.",,51.85 +2.90 (+5.91%)
DHI,"D.R. Horton, Inc.",,129.73 +7.42 (+6.07%)
CROX,"Crocs, Inc.",,101.37 +5.40 (+5.63%)
NVR,"NVR, Inc.",,"7,525.52 +415.52 (+5.84%)"
DFH,"Dream Finders Homes, Inc.",,22.49 +1.18 (+5.54%)
GME,GameStop Corp.,,22.22 +1.12 (+5.29%)
NKE,"NIKE, Inc.",,58.50 +2.92 (+5.25%)
DECK,Deckers Outdoor Corporation,,105.83 +4.95 (+4.90%)
ANF,Abercrombie & Fitch Co.,,73.82 +3.56 (+5.07%)
URBN,"Urban Outfitters, Inc.",,47.42 +2.18 (+4.82%)
AEO,"American Eagle Outfitters, Inc.",,10.91 +0.47 (+4.50%)
CCS,"Century Communities, Inc.",,65.88 +2.95 (+4.69%)
MHO,"M/I Homes, Inc.",,113.99 +4.89 (+4.48%)
KDDIY,KDDI Corporation,,16.09 +0.69 (+4.48%)
LEN-B,Lennar Corporation,,106.86 +4.46 (+4.36%)
PHM,"PulteGroup, Inc.",,101.67 +3.92 (+4.01%)
RKT,"Rocket Companies, Inc.",,14.40 +0.55 (+3.97%)
PCVX,"Vaxcyte, Inc.",,31.95 +1.39 (+4.56%)
LEN,Lennar Corporation,,112.83 +4.43 (+4.09%)
