symbol,name,price,change
RXRX,"Recursion Pharmaceuticals, Inc.",,5.76 +1.25 (+27.72%)
CERT,"Certara, Inc.",,12.91 +2.40 (+22.84%)
ZLAB,Zai Lab Limited,,29.54 +5.22 (+21.46%)
HNHPF,"Hon Hai Precision Industry Co., Ltd.",,8.35 +1.15 (+16.24%)
SMMT,Summit Therapeutics Inc.,,23.24 +3.09 (+15.33%)
CRSP,CRISPR Therapeutics AG,,39.30 +5.04 (+14.71%)
KC,Kingsoft Cloud Holdings Limited,,14.22 +1.57 (+12.41%)
GLNG,Golar LNG Limited,,37.27 +3.88 (+11.62%)
XPEV,XPeng Inc.,,20.01 +2.04 (+11.35%)
PCVX,"Vaxcyte, Inc.",,31.20 +3.16 (+11.27%)
BBAR,Banco BBVA Argentina S.A.,,17.83 +1.77 (+11.02%)
FRO,Frontline plc,,15.51 +1.48 (+10.51%)
BMA,Banco Macro S.A.,,78.70 +7.20 (+10.07%)
AU,AngloGold Ashanti plc,,42.79 +3.94 (+10.14%)
GGAL,Grupo Financiero Galicia S.A.,,53.87 +4.95 (+10.12%)
MPWR,"Monolithic Power Systems, Inc.",,533.13 +48.42 (+9.99%)
RNECY,Renesas Electronics Corporation,,5.90 +0.52 (+9.67%)
MSTR,Strategy Incorporated,,299.98 +27.64 (+10.15%)
HCM,HUTCHMED (China) Limited,,13.72 +1.19 (+9.50%)
AUOTY,AUO Corporation,,5.18 +0.44 (+9.30%)
VONOY,Vonovia SE,,15.41 +1.28 (+9.07%)
IMPUY,Impala Platinum Holdings Limited,,6.07 +0.49 (+8.78%)
TGS,Transportadora de Gas del Sur S.A.,,25.30 +2.01 (+8.63%)
MRUS,Merus N.V.,,41.97 +3.35 (+8.67%)
YPF,YPF Sociedad Anónima,,30.05 +2.47 (+8.96%)
