symbol,name,price,change
RXRX,"Recursion Pharmaceuticals, Inc.",,5.43 +0.92 (+20.53%)
ZLAB,Zai Lab Limited,,28.23 +3.91 (+16.08%)
SMMT,Summit Therapeutics Inc.,,22.87 +2.72 (+13.50%)
BBAR,Banco BBVA Argentina S.A.,,17.84 +1.78 (+11.10%)
AU,AngloGold Ashanti plc,,42.77 +3.92 (+10.09%)
BMA,Banco Macro S.A.,,78.68 +7.18 (+10.04%)
KC,Kingsoft Cloud Holdings Limited,,13.93 +1.28 (+10.13%)
NEM,Newmont Corporation,,55.41 +4.47 (+8.78%)
GLNG,Golar LNG Limited,,36.23 +2.84 (+8.51%)
CDE,"Coeur Mining, Inc.",,5.97 +0.49 (+8.83%)
GGAL,Grupo Financiero Galicia S.A.,,53.06 +4.14 (+8.46%)
ANGPY,Anglo American Platinum Limited,,6.00 +0.45 (+8.33%)
HCM,HUTCHMED (China) Limited,,13.52 +0.99 (+7.86%)
FRO,Frontline plc,,15.13 +1.10 (+7.84%)
XPEV,XPeng Inc.,,19.30 +1.33 (+7.38%)
TGS,Transportadora de Gas del Sur S.A.,,25.00 +1.71 (+7.32%)
EGO,Eldorado Gold Corporation,,19.26 +1.26 (+7.00%)
MSTR,Strategy Incorporated,,291.53 +19.19 (+7.04%)
IMPUY,Impala Platinum Holdings Limited,,5.96 +0.38 (+6.81%)
GOLD,Barrick Gold Corporation,,20.53 +1.29 (+6.71%)
CRSP,CRISPR Therapeutics AG,,36.55 +2.29 (+6.68%)
ORLA,Orla Mining Ltd.,,10.44 +0.56 (+5.67%)
PAM,Pampa Energía S.A.,,69.65 +4.59 (+7.06%)
RNECY,Renesas Electronics Corporation,,5.72 +0.34 (+6.33%)
BVN,Compañía de Minas Buenaventura S.A.A.,,14.88 +0.88 (+6.25%)
