symbol,name,price,change
CNXC,Concentrix Corporation,,64.48 -0.56 (-0.86%)
MLGO,MicroAlgo Inc.,,16.61 +0.67 (+4.20%)
CAR,"Avis Budget Group, Inc.",,74.47 +0.31 (+0.42%)
RIVN,"Rivian Automotive, Inc.",,12.80 -0.23 (-1.73%)
FINV,FinVolution Group,,10.09 -0.37 (-3.54%)
ALC,Alcon Inc.,,96.09 -0.71 (-0.73%)
IAG,IAMGOLD Corporation,,6.53 +0.10 (+1.48%)
LBRT,Liberty Energy Inc.,,16.20 -0.02 (-0.12%)
IMVT,"Immunovant, Inc.",,18.82 +0.03 (+0.16%)
HMY,Harmony Gold Mining Company Limited,,13.52 +0.68 (+5.30%)
MAKSY,Marks and Spencer Group plc,,9.30 +0.43 (+4.85%)
DAR,Darling Ingredients Inc.,,31.91 0.00 (0.00%)
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,113.07 0.00 (0.00%)
FJTSY,Fujitsu Limited,,20.66 +0.89 (+4.50%)
AU,AngloGold Ashanti plc,,37.84 +1.66 (+4.59%)
WING,Wingstop Inc.,,226.34 -2.95 (-1.29%)
AZO,"AutoZone, Inc.",,"3,832.08 +3.97 (+0.10%)"
EQX,Equinox Gold Corp.,,7.12 +0.03 (+0.35%)
PARAA,Paramount Global,,23.40 -0.18 (-0.77%)
QFIN,"Qifu Technology, Inc.",,47.44 -0.68 (-1.41%)
ANGI,Angi Inc.,,16.85 -0.20 (-1.17%)
SRRK,Scholar Rock Holding Corporation,,33.47 +0.10 (+0.31%)
LKNCY,Luckin Coffee Inc.,,34.40 +1.20 (+3.61%)
SMMT,Summit Therapeutics Inc.,,20.61 +0.01 (+0.05%)
CMPGY,Compass Group PLC,,33.17 +1.14 (+3.56%)
