symbol,name,price,change
HMY,Harmony Gold Mining Company Limited,,16.28 +1.59 (+10.82%)
SMMT,Summit Therapeutics Inc.,,20.15 +1.92 (+10.53%)
GFI,Gold Fields Limited,,23.38 +1.83 (+8.49%)
OR,Osisko Gold Royalties Ltd,,21.84 +1.43 (+7.01%)
PSMT,"PriceSmart, Inc.",,91.76 +5.97 (+6.96%)
AU,AngloGold Ashanti plc,,38.87 +2.45 (+6.71%)
ALHC,"Alignment Healthcare, Inc.",,19.78 +1.24 (+6.69%)
AGL,"agilon health, inc.",,5.51 +0.33 (+6.31%)
ORLA,Orla Mining Ltd.,,9.89 +0.61 (+6.52%)
AEM,Agnico Eagle Mines Limited,,111.52 +5.72 (+5.41%)
AGI,Alamos Gold Inc.,,27.99 +1.44 (+5.44%)
IAG,IAMGOLD Corporation,,6.88 +0.37 (+5.68%)
EGO,Eldorado Gold Corporation,,18.00 +0.91 (+5.29%)
SAND,Sandstorm Gold Ltd.,,7.60 +0.37 (+5.12%)
LI,Li Auto Inc.,,22.25 +1.11 (+5.25%)
KGC,Kinross Gold Corporation,,13.69 +0.67 (+5.15%)
GDS,GDS Holdings Limited,,20.39 +0.96 (+4.94%)
FNV,Franco-Nevada Corporation,,157.43 +7.21 (+4.80%)
NEM,Newmont Corporation,,50.96 +2.21 (+4.52%)
WPM,Wheaton Precious Metals Corp.,,77.85 +3.23 (+4.33%)
ACT,"Enact Holdings, Inc.",,34.84 +1.47 (+4.41%)
ASND,Ascendis Pharma A/S,,143.33 +5.49 (+3.98%)
EQX,Equinox Gold Corp.,,6.49 +0.24 (+3.92%)
RGLD,"Royal Gold, Inc.",,170.97 +6.43 (+3.91%)
HL,Hecla Mining Company,,5.47 +0.19 (+3.60%)
