Symbol,Company,Volume,Price,Change,%Change
ACMR,ACM Research Inc. Cl A,376.7K,28.70,0.96,3.46
SWIM,Latham Group Inc.,194.6K,6.90,0.23,3.45
HBM,Hudbay Minerals Inc.,2.0M,8.57,0.28,3.44
NN,NextNav Inc.,315.7K,13.19,0.43,3.37
TTD,Trade Desk Inc. Cl A,5.5M,61.33,1.99,3.35
ITUB,Itau Unibanco Holding S/A ADR,3.4M,5.78,0.18,3.31
UFG,Uni-Fuels Holdings Ltd.,812.8K,5.32,0.17,3.30
CSAN,Cosan S.A. ADR,298.1K,5.50,0.17,3.28
W,Wayfair Inc. Cl A,2.0M,39.10,1.24,3.28
IE,Ivanhoe Electric Inc.,130.8K,6.98,0.22,3.25
