Symbol,Company,Volume,Price,Change,%Change
CNXC,Concentrix Corp.,5.6M,65.04,19.36,42.38
SLNO,Soleno Therapeutics Inc.,14.9M,67.39,18.42,37.61
MLGO,MicroAlgo Inc.,75.6M,15.94,4.08,34.40
WOOF,Petco Health & Wellness Co. Inc.,27.6M,3.21,0.77,31.56
BIYA,Baiya International Group Inc.,1.2M,6.39,1.50,30.67
KUKE,Kuke Music Holding Ltd. ADR,67.4K,3.10,0.66,27.05
JFIN,Jiayin Group Inc. ADR,781.4K,14.84,2.74,22.64
HTZ,Hertz Global Holdings Inc.,32.2M,4.23,0.78,22.61
IBRX,ImmunityBio Inc.,16.6M,3.36,0.58,20.86
QNTM,Quantum Biopharma Ltd.,1.0M,8.38,1.43,20.58
CAR,Avis Budget Group Inc.,6.1M,74.16,12.61,20.49
TNON,Tenon Medical Inc.,41.1M,2.80,0.38,15.70
GRO,Brazil Potash Corp.,171.2K,3.52,0.47,15.57
ASPI,ASP Isotopes Inc.,2.4M,4.73,0.54,12.89
SMTK,SmartKem Inc.,412.8K,3.45,0.39,12.75
CATO,Cato Corp. Cl A,229.3K,3.87,0.43,12.50
HMR,Heidmar Maritime Holdings Corp.,1.6M,3.54,0.38,12.03
SATL,Satellogic Inc.,977.4K,4.20,0.45,12.00
NIU,Niu Technologies ADR,3.6M,4.86,0.52,11.98
SIFY,Sify Technologies Ltd. ADR,59.0K,4.78,0.51,11.94
MIST,Milestone Pharmaceuticals Inc.,7.1M,2.25,0.24,11.94
ETNB,89bio Inc.,3.7M,8.96,0.94,11.72
JYD,Jayud Global Logistics Ltd.,13.7M,6.90,0.72,11.65
EPSM,Epsium Enterprise Ltd.,447.4K,5.38,0.56,11.62
PHH,Park Ha Biological Technology Co. Ltd.,455.7K,11.83,1.23,11.60
DLTR,Dollar Tree Inc.,14.2M,76.95,7.74,11.18
SLN,Silence Therapeutics PLC ADR,199.7K,3.69,0.37,11.14
NCTY,The9 Ltd. ADR,175.8K,14.60,1.45,11.03
YRD,Yiren Digital Ltd. ADR,483.7K,7.39,0.72,10.79
MLKN,MillerKnoll Inc.,1.9M,20.30,1.96,10.69
UPC,Universe Pharmaceuticals Inc.,109.4K,5.36,0.51,10.52
BIOX,Bioceres Crop Solutions Corp.,611.3K,4.84,0.46,10.50
NVCT,Nuvectis Pharma Inc.,139.1K,9.65,0.90,10.29
CRVO,CervoMed Inc.,4.7M,8.50,0.79,10.25
AEVA,Aeva Technologies Inc.,3.3M,6.38,0.58,10.00
CLMT,Calumet Inc.,1.9M,13.45,1.22,9.98
AAPG,Ascentage Pharma Group International ADR,52.9K,20.20,1.83,9.96
FORD,Forward Industries Inc.,81.5K,4.34,0.39,9.87
BZFD,BuzzFeed Inc.,1.1M,2.36,0.21,9.77
ZGN,Ermenegildo Zegna N.V.,1.7M,7.76,0.69,9.68
RXST,RxSight Inc.,833.9K,26.67,2.30,9.44
CAAS,China Automotive Systems Inc.,187.5K,5.26,0.44,9.13
SNBR,Sleep Number Corp.,532.4K,6.73,0.55,8.90
AMST,Amesite Inc.,105.4K,2.59,0.21,8.82
