Symbol,Company,Volume,Price,Change,%Change
Cayman,Intercont,642.8K,8.12,2.42,42.46
KSCP,Knightscope Inc.,2.0M,4.25,1.25,41.67
DWTX,Dogwood Therapeutics Inc.,19.8M,4.12,1.12,37.35
RYET,Ruanyun Edai Technology Inc.,662.7K,7.00,1.78,34.10
IE,Ivanhoe Electric Inc.,3.5M,6.47,1.42,28.12
JZXN,Jiuzi Holdings Inc.,59.6K,6.49,1.38,27.01
DTIL,Precision Biosciences Inc.,1.0M,5.52,1.06,23.77
FRGE,Forge Global Holdings Inc.,996.4K,11.83,2.20,22.86
SKIL,Skillsoft Corp.,52.4K,21.25,3.80,21.78
TOPW,Top Win International Ltd.,1.1M,2.86,0.49,20.68
VERV,Verve Therapeutics Inc.,24.3M,4.97,0.85,20.63
EOSE,Eos Energy Enterprises Inc.,12.6M,5.05,0.83,19.67
LXEO,Lexeo Therapeutics Inc.,638.2K,2.55,0.41,19.16
AVR,Anteris Technologies Global Corp.,447.3K,3.07,0.49,18.99
NB,NioCorp Developments Ltd.,3.8M,2.89,0.45,18.44
DGNX,Diginex Ltd.,77.9K,138.00,19.02,15.99
TCRT,Alaunos Therapeutics Inc.,88.8K,2.90,0.39,15.54
USAR,USA Rare Earth Inc.,8.9M,13.52,1.77,15.06
IPX,IperionX Ltd. ADR,175.5K,17.21,2.20,14.66
BGLC,BioNexus Gene Lab Corp.,236.2K,2.65,0.33,14.22
ANRO,Alto Neuroscience Inc.,275.2K,2.38,0.29,14.18
CTGO,Contango ORE Inc.,219.8K,14.04,1.71,13.82
AUID,authID Inc.,267.8K,8.00,0.95,13.48
TUSK,Mammoth Energy Services Inc.,332.8K,2.57,0.30,13.22
JNVR,Janover Inc.,598.7K,74.45,8.51,12.91
YSG,Yatsen Holding Ltd. ADR,165.2K,4.15,0.47,12.77
ZYBT,Zhengye Biotechnology Holding Ltd.,503.2K,5.77,0.65,12.70
PTHL,Pheton Holdings Ltd. Cl A,76.4K,3.10,0.34,12.32
RDW,Redwire Corp.,1.5M,10.16,1.08,11.89
MBOT,Microbot Medical Inc.,8.0M,2.55,0.27,11.84
FDMT,4D Molecular Therapeutics Inc.,761.5K,3.09,0.31,11.15
GAIA,Gaia Inc. Cl A,78.4K,3.95,0.39,10.96
AUUD,Auddia Inc.,272.5K,4.81,0.46,10.57
GRRR,Gorilla Technology Group Inc.,2.1M,20.01,1.90,10.49
RCKT,Rocket Pharmaceuticals Inc.,4.7M,6.53,0.62,10.49
PHIO,Phio Pharmaceuticals Corp.,4.4M,2.43,0.23,10.45
SSP,E.W. Scripps Co. Cl A,1.2M,2.27,0.21,10.19
BCYC,Bicycle Therapeutics Ltd. ADR,579.7K,7.79,0.72,10.18
RKLB,Rocket Lab USA Inc.,29.8M,21.07,1.94,10.14
RITR,Reitar Logtech Holdings Ltd.,273.1K,4.06,0.36,9.73
TTAN,ServiceTitan Inc. Cl A,656.8K,115.59,10.22,9.70
GYRE,Gyre Therapeutics Inc.,72.6K,8.43,0.71,9.20
DPRO,Draganfly Inc.,67.5K,2.65,0.22,9.05
PIII,P3 Health Partners Inc.,58.5K,9.79,0.80,8.90
BGM,BGM Group Ltd.,128.2K,10.49,0.84,8.70
AEVA,Aeva Technologies Inc.,2.4M,7.80,0.62,8.64
YMAB,Y-mAbs Therapeutics Inc.,256.2K,5.35,0.42,8.52
BLBX,Blackboxstocks Inc.,94.3K,3.36,0.26,8.39
HITI,High Tide Inc.,795.0K,2.21,0.17,8.33
VFS,VinFast Auto Ltd.,768.5K,3.25,0.25,8.33
ERIC,Telefon AB L.M. Ericsson ADR,46.0M,8.07,0.62,8.32
CING,Cingulate Inc.,133.7K,4.35,0.33,8.21
SEZL,Sezzle Inc.,659.6K,42.46,3.03,7.68
PAY,Paymentus Holdings Inc.,630.5K,30.15,2.15,7.68
ANIX,Anixa Biosciences Inc.,69.2K,2.85,0.20,7.55
ITOS,iTeos Therapeutics Inc.,745.3K,5.94,0.41,7.32
NXDT,NexPoint Diversified Real Estate Trust,121.1K,3.76,0.26,7.29
LHSW,Lianhe Sowell International Group Ltd.,597.7K,3.99,0.27,7.26
NUTX,Nutex Health Inc.,159.6K,138.97,9.30,7.17
ALTI,AlTi Global Inc.,97.2K,3.31,0.22,7.12
RLAY,Relay Therapeutics Inc.,3.3M,2.75,0.18,6.96
VCIG,VCI Global Ltd.,673.9K,2.77,0.18,6.95
CRVS,Corvus Pharmaceuticals Inc.,1.3M,3.24,0.21,6.93
WAVE,Eco Wave Power Global AB ADR,56.8K,5.99,0.39,6.87
SION,Sionna Therapeutics Inc.,122.2K,9.52,0.61,6.85
SKE,Skeena Resources Ltd.,524.0K,12.18,0.78,6.84
CDTX,Cidara Therapeutics Inc.,115.5K,20.00,1.26,6.72
XNCR,Xencor Inc.,920.6K,9.54,0.60,6.71
CNVS,Cineverse Corp.,70.7K,2.87,0.18,6.69
HMR,Heidmar Maritime Holdings Corp.,651.0K,2.97,0.18,6.45
TRVG,trivago N.V. ADR,60.4K,3.66,0.22,6.40
COGT,Cogent Biosciences Inc.,1.7M,4.87,0.29,6.33
MOGU,MOGU Inc. ADR,210.2K,2.20,0.13,6.28
PLTR,Palantir Technologies Inc.,112.9M,98.40,5.78,6.24
ARQ,Arq Inc.,237.8K,3.79,0.22,6.16
BIYA,Baiya International Group Inc.,114.4K,2.42,0.14,6.14
SNOA,Sonoma Pharmaceuticals Inc.,59.6K,2.60,0.15,6.12
WOLF,Wolfspeed Inc.,12.0M,2.28,0.13,6.05
ZJK,ZJK Industrial Co. Ltd.,61.4K,4.97,0.28,5.97
KOD,Kodiak Sciences Inc.,297.0K,2.31,0.13,5.96
SVRE,SaverOne 2014 Ltd. ADR,78.9K,2.31,0.13,5.96
TRML,Tourmaline Bio Inc.,365.4K,14.93,0.84,5.96
ADMA,ADMA Biologics Inc.,6.5M,22.15,1.24,5.93
LOGC,ContextLogic Inc.,868.3K,6.94,0.39,5.87
CSTL,Castle Biosciences Inc.,413.4K,21.05,1.16,5.83
SXTP,60 Degrees Pharmaceuticals Inc.,370.8K,3.45,0.19,5.83
COMM,CommScope Holding Co. Inc.,4.4M,3.64,0.20,5.81
DUOT,Duos Technologies Group Inc.,148.3K,5.15,0.28,5.75
OPBK,OP Bancorp,116.1K,11.21,0.60,5.70
AMPY,Amplify Energy Corp.,1.1M,2.43,0.13,5.65
CNL,Collective Mining Ltd.,80.2K,10.88,0.58,5.63
ECOR,electroCore Inc.,96.9K,6.21,0.33,5.61
AMBC,Ambac Financial Group Inc.,618.8K,7.04,0.37,5.55
BZAI,Blaize Holdings Inc.,355.6K,3.07,0.16,5.50
RBRK,Rubrik Inc. Cl A,2.0M,63.33,3.28,5.46
DJT,Trump Media & Technology Group Corp.,6.2M,19.96,1.03,5.44
EWTX,Edgewise Therapeutics Inc.,2.0M,13.00,0.67,5.43
UAA,Under Armour Inc. Cl A,15.0M,5.74,0.29,5.42
GOCO,GoHealth Inc.,51.9K,11.00,0.56,5.41
REAX,Real Brokerage Inc.,1.0M,4.70,0.24,5.38
