Symbol,Company,Volume,Price,Change,%Change
BULL,Webull Corp. Cl A,35.3M,62.90,49.65,374.72
STAK,STAK Inc.,32.5M,2.22,1.08,94.74
USAR,USA Rare Earth Inc.,11.1M,11.75,3.44,41.40
THRD,Third Harmonic Bio Inc.,14.8M,5.09,1.45,39.84
BIYA,Baiya International Group Inc.,331.9K,2.28,0.63,38.18
WGRX,Wellgistics Health Inc.,442.8K,3.83,0.94,32.53
MTSR,Metsera Inc.,1.9M,18.18,4.18,29.86
JNVR,Janover Inc.,872.2K,65.94,14.73,28.76
FATN,FatPipe Inc.,5.9M,8.11,1.75,27.52
VERV,Verve Therapeutics Inc.,31.4M,4.12,0.86,26.38
ZYBT,Zhengye Biotechnology Holding Ltd.,469.2K,5.12,1.06,26.11
AUID,authID Inc.,242.3K,7.05,1.37,24.12
AREB,American Rebel Holdings Inc.,10.8M,7.60,1.39,22.38
RNAC,Cartesian Therapeutics Inc.,114.0K,13.00,2.33,21.84
MP,MP Materials Corp.,21.8M,27.61,4.93,21.74
AEHL,Antelope Enterprise Holdings Ltd.,385.0K,3.42,0.59,20.85
BETR,Better Home & Finance Holding Co.,239.4K,12.40,2.12,20.62
FLD,Fold Holdings Inc.,886.3K,3.24,0.55,20.45
ACON,Aclarion Inc.,135.5K,10.00,1.67,20.05
YSXT,YSX Tech. Co. Ltd.,58.8K,4.05,0.67,19.82
CAPS,Capstone Holding Corp.,99.8K,2.85,0.47,19.75
SATL,Satellogic Inc.,1.9M,4.47,0.72,19.20
GPCR,Structure Therapeutics Inc. ADR,1.3M,18.95,3.05,19.18
ABTS,Abits Group Inc.,50.4K,2.10,0.33,18.87
PIII,P3 Health Partners Inc.,79.7K,8.99,1.41,18.60
NB,NioCorp Developments Ltd.,3.3M,2.44,0.38,18.45
SUPV,Grupo Supervielle S.A. ADR,2.9M,15.46,2.37,18.07
NVCT,Nuvectis Pharma Inc.,118.7K,9.78,1.47,17.69
FORD,Forward Industries Inc.,52.0K,5.69,0.85,17.56
BKTI,BK Technologies Corp.,73.7K,46.37,6.72,16.95
MGRX,Mangoceuticals Inc.,274.9K,1.82,0.26,16.29
PPTA,Perpetua Resources Corp.,2.1M,13.74,1.91,16.15
WTF,Waton Financial Ltd.,1.4M,7.34,1.02,16.14
RITR,Reitar Logtech Holdings Ltd.,106.6K,3.70,0.50,15.62
BMA,Banco Macro S.A. ADR,1.3M,91.00,12.15,15.41
SHMD,SCHMID Group N.V.,64.6K,3.28,0.43,15.09
BBAR,Banco BBVA Argentina S.A. ADR,1.3M,20.42,2.63,14.78
LENZ,LENZ Therapeutics Inc.,310.5K,23.24,2.98,14.71
NAOV,NanoVibronix Inc.,876.2K,7.75,0.98,14.48
GGAL,Grupo Financiero Galicia S.A. ADR,4.3M,61.43,7.56,14.03
CRVO,CervoMed Inc.,1.1M,9.68,1.19,13.95
BYRN,Byrna Technologies Inc.,1.4M,20.43,2.50,13.94
ELWS,Earlyworks Co. Ltd. ADR,60.9K,2.14,0.26,13.83
NMAX,Newsmax Inc. Cl B,5.2M,26.00,3.15,13.79
NIU,Niu Technologies ADR,2.0M,3.13,0.37,13.41
CYBN,Cybin Inc.,598.9K,7.71,0.91,13.38
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,986.2K,11.34,1.33,13.29
SION,Sionna Therapeutics Inc.,137.7K,8.91,1.04,13.21
HKD,AMTD Digital Inc. ADR,424.0K,2.06,0.24,13.19
ALGS,Aligos Therapeutics Inc.,123.4K,4.61,0.53,12.99
JFIN,Jiayin Group Inc. ADR,169.1K,11.40,1.31,12.98
CRDF,Cardiff Oncology Inc.,2.1M,2.79,0.32,12.96
DSGN,Design Therapeutics Inc.,314.3K,3.25,0.36,12.46
SMMT,Summit Therapeutics Inc.,8.2M,26.13,2.89,12.44
PVLA,Palvella Therapeutics Inc.,106.2K,24.44,2.68,12.32
MCRP,Micropolis Holding Co.,73.2K,2.93,0.32,12.26
BZAI,Blaize Holdings Inc.,353.6K,2.91,0.31,11.92
RCKT,Rocket Pharmaceuticals Inc.,3.6M,6.03,0.64,11.87
KIDZ,Classover Holdings Inc.,22.7M,2.08,0.22,11.83
TIL,Instil Bio Inc.,157.4K,16.80,1.77,11.78
ADVB,Advanced Biomed Inc.,261.4K,1.91,0.20,11.70
UAMY,United States Antimony Corp.,6.9M,3.12,0.33,11.65
VALN,Valneva SE ADR,57.4K,7.02,0.73,11.61
DXF,Eason Technology Ltd. ADR,207.6K,6.47,0.67,11.55
CERT,Certara Inc.,6.3M,14.40,1.49,11.54
DPRO,Draganfly Inc.,67.9K,2.43,0.25,11.47
CARA,Cara Therapeutics Inc.,89.5K,5.46,0.56,11.43
NVA,Nova Minerals Ltd. ADR,140.3K,12.24,1.24,11.27
SCPH,scPharmaceuticals Inc.,508.5K,2.58,0.26,11.21
PAL,Proficient Auto Logistics Inc.,666.5K,8.45,0.85,11.18
TGS,Transportadora de Gas del Sur S.A. ADR,721.3K,28.17,2.78,10.95
EDN,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR,394.4K,31.88,3.14,10.93
CNCK,Coincheck Group N.V.,55.6K,5.50,0.53,10.66
VRDN,Viridian Therapeutics Inc.,1.1M,13.30,1.28,10.65
TECX,Tectonic Therapeutic Inc.,231.2K,17.87,1.71,10.58
VKTX,Viking Therapeutics Inc.,9.2M,24.57,2.35,10.58
NTCL,NetClass Technology Inc. Cl A,148.1K,10.20,0.98,10.57
PAM,Pampa Energia S.A. ADR,769.7K,76.89,7.30,10.49
AIXI,XIAO-I Corp. ADR,110.4K,2.78,0.26,10.32
SONM,Sonim Technologies Inc.,318.6K,1.61,0.15,10.27
YPF,YPF S.A. ADR,5.0M,33.11,3.08,10.26
ETON,Eton Pharmaceuticals Inc.,326.4K,13.72,1.27,10.20
LTRN,Lantern Pharma Inc.,55.8K,3.53,0.32,9.97
MRT,Marti Technologies Inc.,55.8K,3.20,0.29,9.97
RPID,Rapid Micro Biosystems Inc.,74.4K,2.22,0.20,9.90
BEAM,Beam Therapeutics Inc.,2.8M,17.00,1.53,9.89
IBRX,ImmunityBio Inc.,11.1M,2.89,0.26,9.89
ENGS,Energys Group Ltd.,739.0K,5.36,0.48,9.84
AVTX,Avalo Therapeutics Inc.,88.5K,5.38,0.48,9.80
SURG,SurgePays Inc.,321.6K,2.47,0.22,9.78
OSRH,OSR Holdings Inc.,166.9K,1.58,0.14,9.72
QD,Qudian Inc. ADR,1.2M,2.60,0.23,9.70
CRGO,Freightos Ltd.,57.8K,2.04,0.18,9.68
IRS,IRSA-Inversiones y Representaciones S.A. GDR,370.8K,14.00,1.23,9.63
NVAX,Novavax Inc.,6.0M,6.41,0.55,9.39
SEDG,SolarEdge Technologies Inc.,4.9M,13.92,1.16,9.09
SERV,Serve Robotics Inc.,5.6M,5.79,0.48,9.04
ASPI,ASP Isotopes Inc.,2.9M,6.53,0.54,9.02
VLN,Valens Semiconductor Ltd.,901.5K,2.30,0.19,9.00
ALLT,Allot Ltd.,378.2K,5.82,0.48,8.99
