Symbol,Company,Volume,Price,Change,%Change
ICCT,iCoreConnect Inc.,106.2K,5.05,0.82,19.39
XEL,Xcel Energy Inc.,59.4K,73.00,0.86,1.19
PEP,PepsiCo Inc.,148.9K,153.10,1.73,1.14
AEP,American Electric Power Co. Inc.,66.1K,110.26,1.16,1.06
KDP,Keurig Dr Pepper Inc.,124.7K,35.88,0.25,0.70
ALDX,Aldeyra Therapeutics Inc.,131.8K,1.42,0.00,0.00
BLND,Blend Labs Inc.,58.2K,3.44,0.00,0.00
MNST,Monster Beverage Corp.,62.6K,59.52,-0.13,-0.21
LIN,Linde PLC,56.7K,464.36,-2.86,-0.61
NTLA,Intellia Therapeutics Inc.,76.9K,6.83,-0.06,-0.87
KHC,Kraft Heinz Co.,171.0K,30.50,-0.32,-1.02
NOK,Nokia Corp. ADR,66.5K,4.92,-0.06,-1.20
CTSH,Cognizant Technology Solutions Corp.,60.8K,72.22,-1.04,-1.43
WBA,Walgreens Boots Alliance Inc.,142.8K,10.90,-0.16,-1.45
HON,Honeywell International Inc.,65.3K,203.40,-3.28,-1.59
GILD,Gilead Sciences Inc.,122.4K,110.39,-2.00,-1.78
EXPD,Expeditors International of Washington Inc.,68.6K,108.52,-2.15,-1.94
IOVA,Iovance Biotherapeutics Inc.,103.9K,3.18,-0.07,-2.00
PARA,Paramount Global Cl B,60.1K,11.25,-0.23,-2.00
EPD,Enterprise Products Partners L.P.,53.1K,32.76,-0.70,-2.11
CMCSA,Comcast Corp. Cl A,291.8K,34.93,-0.79,-2.21
NFLX,Netflix Inc.,70.7K,894.75,-22.30,-2.43
BTBT,Bit Digital Inc.,88.3K,1.92,-0.05,-2.54
TXN,Texas Instruments Inc.,81.6K,159.97,-4.23,-2.58
TEM,Tempus AI Inc.,82.0K,44.94,-1.23,-2.66
NVDA,NVIDIA Corp.,102.2K,98.95,-2.85,-2.80
MARA,MARA Holdings Inc.,194.3K,10.90,-0.33,-2.89
ULCC,Frontier Group Holdings Inc.,72.8K,3.69,-0.11,-2.89
INTC,Intel Corp.,1.2M,21.78,-0.65,-2.90
PYPL,PayPal Holdings Inc.,235.5K,59.86,-1.85,-3.00
RIOT,Riot Platforms Inc.,120.7K,7.08,-0.22,-3.01
ARCC,Ares Capital Corp.,248.3K,20.85,-0.67,-3.11
FTNT,Fortinet Inc.,148.0K,86.58,-2.86,-3.20
CARR,Carrier Global Corp.,129.8K,58.76,-1.96,-3.23
ON,ON Semiconductor Corp.,81.1K,34.41,-1.15,-3.23
WULF,TeraWulf Inc.,109.0K,2.56,-0.09,-3.38
IREN,IREN Ltd.,150.1K,5.82,-0.22,-3.64
TSCO,Tractor Supply Co.,109.2K,53.72,-2.05,-3.68
STNE,StoneCo Ltd. Cl A,75.7K,10.95,-0.44,-3.86
WDC,Western Digital Corp.,103.0K,32.81,-1.34,-3.93
