Symbol,Company,Volume,Price,Change,%Change
PRTG,Portage Biotech Inc.,31.3M,8.59,3.49,68.43
CBLL,CeriBell Inc.,2.3M,15.00,3.85,34.53
MKTW,MarketWise Inc.,220.7K,13.37,3.32,33.03
RGC,Regencell Bioscience Holdings Ltd.,209.0K,36.28,8.04,28.47
RXRX,Recursion Pharmaceuticals Inc.,83.4M,5.76,1.25,27.72
SDGR,Schrodinger Inc.,4.0M,24.49,5.27,27.42
SLP,Simulations Plus Inc.,1.8M,32.65,6.91,26.85
WKEY,WISeKey International Holding Ltd. ADR,353.8K,4.23,0.88,26.27
SBC,SBC Medical Group Holdings Inc.,80.7K,4.20,0.80,23.53
ABSI,Absci Corp.,7.2M,3.02,0.56,23.01
CERT,Certara Inc.,9.7M,12.91,2.40,22.84
NGNE,Neurogene Inc.,644.3K,11.00,2.03,22.63
CELZ,Creative Medical Technology Holdings Inc.,429.6K,2.20,0.40,22.22
ZLAB,Zai Lab Ltd. ADR,3.0M,29.54,5.22,21.46
BGLC,BioNexus Gene Lab Corp.,29.8M,2.63,0.46,21.20
NAYA,NAYA Biosciences Inc.,99.6K,2.08,0.36,20.93
PHAT,Phathom Pharmaceuticals Inc.,1.3M,4.88,0.77,18.73
CYBN,Cybin Inc.,560.8K,6.80,1.06,18.47
MBX,MBX Biosciences Inc.,1.2M,7.41,1.14,18.18
FCUV,Focus Universal Inc.,186.4K,4.57,0.69,17.78
SLN,Silence Therapeutics PLC ADR,376.6K,2.57,0.38,17.35
ZBIO,Zenas BioPharma Inc.,179.5K,7.93,1.15,16.96
VMAR,Vision Marine Technologies Inc.,164.9K,6.76,0.97,16.75
TORO,Toro Corp.,181.7K,2.28,0.32,16.33
ABCL,AbCellera Biologics Inc.,5.4M,2.40,0.33,15.94
LHSW,Lianhe Sowell International Group Ltd.,1.7M,3.61,0.48,15.34
SMMT,Summit Therapeutics Inc.,6.7M,23.24,3.09,15.33
UPB,Upstream Bio Inc.,303.7K,7.37,0.97,15.16
SCPH,scPharmaceuticals Inc.,620.1K,2.32,0.30,15.14
SNGX,Soligenix Inc.,51.2K,2.17,0.28,15.08
NUTX,Nutex Health Inc.,245.0K,132.03,17.28,15.06
AZ,A2Z Cust2Mate Solutions Corp.,139.9K,8.00,1.03,14.86
OMER,Omeros Corp.,826.1K,6.73,0.87,14.85
CRSP,CRISPR Therapeutics AG,3.6M,39.30,5.04,14.71
OBIO,Orchestra BioMed Holdings Inc.,73.7K,2.98,0.38,14.62
AXIL,AXIL Brands Inc.,73.7K,5.10,0.65,14.61
IMNM,Immunome Inc.,1.3M,7.10,0.90,14.52
TRAW,Traws Pharma Inc.,83.5K,2.00,0.25,14.29
ORIC,Oric Pharmaceuticals Inc.,977.8K,4.92,0.61,14.15
XBIT,XBiotech Inc.,53.6K,3.28,0.40,13.89
JNVR,Janover Inc.,1.5M,51.21,6.24,13.88
ORGO,Organogenesis Holdings Inc. Cl A,4.0M,4.26,0.51,13.60
BTU,Peabody Energy Corp.,8.1M,12.73,1.50,13.36
BIYA,Baiya International Group Inc.,477.1K,1.65,0.19,13.01
LPG,Dorian LPG Ltd.,1.2M,20.54,2.35,12.92
DNTH,Dianthus Therapeutics Inc.,304.3K,17.61,2.01,12.88
METC,Ramaco Resources Inc. Cl A,1.2M,8.70,0.99,12.84
EDN,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR,249.7K,28.74,3.26,12.79
ZYME,Zymeworks Inc.,1.1M,10.63,1.19,12.61
SBSW,Sibanye-Stillwater Ltd. ADR,14.6M,4.38,0.49,12.60
KC,Kingsoft Cloud Holdings Ltd. ADR,5.0M,14.22,1.57,12.41
IMOS,ChipMOS Technologies Inc. ADR,56.6K,15.39,1.68,12.25
JSPR,Jasper Therapeutics Inc.,182.0K,4.16,0.45,12.13
EYPT,EyePoint Pharmaceuticals Inc.,898.4K,5.38,0.58,12.08
SKE,Skeena Resources Ltd.,793.8K,11.37,1.22,12.02
NG,NovaGold Resources Inc.,7.8M,2.81,0.30,11.95
MPTI,M-tron Industries Inc.,68.7K,49.49,5.26,11.89
SA,Seabridge Gold Inc.,2.1M,12.48,1.32,11.83
GLNG,Golar LNG Ltd.,3.8M,37.27,3.88,11.62
CVAC,CureVac N.V.,724.8K,3.19,0.33,11.54
XPEV,XPeng Inc. ADR,21.4M,20.00,2.03,11.30
SOGP,Sound Group Inc. ADR,81.1K,2.17,0.22,11.28
PCVX,Vaxcyte Inc.,4.1M,31.20,3.16,11.27
DNA,Ginkgo Bioworks Holdings Inc.,3.1M,8.12,0.82,11.23
TPCS,Techprecision Corp.,66.8K,2.40,0.24,11.11
MASS,908 Devices Inc.,424.2K,4.21,0.42,11.08
YMAB,Y-mAbs Therapeutics Inc.,217.2K,4.83,0.48,11.03
OCUL,Ocular Therapeutix Inc.,1.6M,7.11,0.70,11.01
ESP,Espey Manufacturing & Electronics Corp.,65.9K,28.37,2.80,10.95
SEPN,Septerna Inc.,122.4K,5.72,0.56,10.85
SUPV,Grupo Supervielle S.A. ADR,1.6M,13.09,1.28,10.84
BBAR,Banco BBVA Argentina S.A. ADR,1.1M,17.79,1.73,10.77
ELVN,Enliven Therapeutics Inc.,326.8K,16.51,1.60,10.73
ETNB,89bio Inc.,1.8M,5.53,0.54,10.71
SVRA,Savara Inc.,594.5K,2.92,0.28,10.61
HYMC,Hycroft Mining Holding Corp.,381.9K,3.13,0.30,10.60
ONC,BeiGene Ltd. ADR,909.6K,230.36,22.05,10.59
OLMA,Olema Pharmaceuticals Inc.,1.0M,3.77,0.36,10.56
FRO,Frontline PLC,4.7M,15.50,1.47,10.48
SUP,Superior Industries International Inc.,186.7K,2.43,0.23,10.45
CYRX,Cryoport Inc.,401.5K,5.77,0.54,10.33
BMA,Banco Macro S.A. ADR,727.0K,78.85,7.35,10.28
BLUE,bluebird bio Inc.,385.8K,5.15,0.48,10.28
MXCT,MaxCyte Inc.,445.5K,2.58,0.24,10.26
SEDG,SolarEdge Technologies Inc.,4.6M,12.76,1.18,10.19
MSTR,MicroStrategy Inc.,21.3M,299.98,27.64,10.15
AU,AngloGold Ashanti PLC,7.0M,42.79,3.94,10.14
BULL,Webull Corp. Cl A,3.9M,13.25,1.22,10.14
GGAL,Grupo Financiero Galicia S.A. ADR,2.4M,53.87,4.95,10.12
ASPI,ASP Isotopes Inc.,3.0M,5.99,0.55,10.11
ABL,Abacus Global Management Inc.,1.5M,7.85,0.72,10.10
SNOA,Sonoma Pharmaceuticals Inc.,399.7K,2.29,0.21,10.10
ENTA,Enanta Pharmaceuticals Inc.,448.9K,4.69,0.43,10.09
ABEO,Abeona Therapeutics Inc.,1.0M,4.60,0.42,10.05
GNK,Genco Shipping & Trading Ltd.,883.0K,13.19,1.20,10.01
HMR,Heidmar Maritime Holdings Corp.,333.2K,2.75,0.25,10.00
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,326.6K,10.01,0.91,10.00
MPWR,Monolithic Power Systems Inc.,2.2M,533.13,48.42,9.99
IRON,Disc Medicine Inc.,549.6K,38.73,3.50,9.93
MLYS,Mineralys Therapeutics Inc.,850.5K,13.40,1.21,9.93
