Symbol,Company,Volume,Price,Change,%Change
VERV,Verve Therapeutics Inc.,500.9K,5.27,1.15,27.91
TMC,TMC the metals company Inc.,1.3M,3.51,0.68,24.03
USAR,USA Rare Earth Inc.,138.8K,14.34,2.59,22.04
NMAX,Newsmax Inc. Cl B,79.8K,30.60,4.60,17.69
NB,NioCorp Developments Ltd.,101.6K,2.75,0.31,12.70
ERIC,Telefon AB L.M. Ericsson ADR,400.5K,7.96,0.51,6.78
EOSE,Eos Energy Enterprises Inc.,165.8K,4.50,0.28,6.64
GRRR,Gorilla Technology Group Inc.,55.0K,19.30,1.19,6.57
MP,MP Materials Corp.,128.1K,29.40,1.81,6.56
AREB,American Rebel Holdings Inc.,71.0K,8.08,0.48,6.37
LEGN,Legend Biotech Corp. ADR,58.6K,33.66,1.55,4.83
RKLB,Rocket Lab USA Inc.,318.6K,20.01,0.88,4.61
AUR,Aurora Innovation Inc.,168.1K,6.29,0.26,4.26
BAC,Bank of America Corp.,1.1M,38.19,1.52,4.15
NBIS,Nebius Group N.V. Cl A,102.6K,21.33,0.60,2.89
ADMA,ADMA Biologics Inc.,114.7K,21.41,0.50,2.39
NFLX,Netflix Inc.,66.1K,953.44,22.16,2.38
IONQ,IonQ Inc.,63.0K,25.84,0.49,1.93
C,Citigroup Inc.,94.5K,64.43,1.21,1.91
LYG,Lloyds Banking Group PLC ADR,90.7K,3.74,0.07,1.91
NOK,Nokia Corp. ADR,133.3K,5.07,0.09,1.71
ABNB,Airbnb Inc. Cl A,85.3K,115.02,1.79,1.59
SMCI,Super Micro Computer Inc.,244.6K,33.57,0.45,1.36
RXRX,Recursion Pharmaceuticals Inc.,209.1K,5.58,0.07,1.27
AAL,American Airlines Group Inc.,284.8K,9.70,0.12,1.25
PLTR,Palantir Technologies Inc.,795.4K,93.68,1.06,1.15
T,AT&T Inc.,66.0K,27.51,0.31,1.14
BP,BP PLC ADR,75.4K,27.20,0.29,1.09
CDE,Coeur Mining Inc.,68.3K,6.14,0.07,1.07
MRVL,Marvell Technology Inc.,111.2K,52.81,0.55,1.05
ON,ON Semiconductor Corp.,80.4K,35.99,0.37,1.04
UAL,United Airlines Holdings Inc.,67.5K,66.36,0.67,1.01
NU,Nu Holdings Ltd. Cl A,131.8K,10.75,0.10,0.94
RCKT,Rocket Pharmaceuticals Inc.,60.8K,5.96,0.06,0.93
LRCX,Lam Research Corp.,91.9K,68.49,0.63,0.93
WEN,Wendy's Co.,67.0K,13.34,0.12,0.91
GRAB,Grab Holdings Ltd.,206.2K,4.01,0.04,0.88
AVGO,Broadcom Inc.,284.6K,179.89,1.53,0.86
FTNT,Fortinet Inc.,58.9K,97.68,0.83,0.86
HBAN,Huntington Bancshares Inc.,89.2K,13.26,0.11,0.84
HRB,H&R Block Inc.,50.9K,61.25,0.50,0.82
FITB,Fifth Third Bancorp,71.1K,34.87,0.27,0.78
HIMS,Hims & Hers Health Inc.,53.5K,28.53,0.22,0.78
TROW,T. Rowe Price Group Inc.,55.0K,89.96,0.65,0.72
AMD,Advanced Micro Devices Inc.,228.3K,95.15,0.65,0.69
MU,Micron Technology Inc.,167.1K,71.50,0.48,0.68
WDC,Western Digital Corp.,63.9K,36.06,0.24,0.67
NVDA,NVIDIA Corp.,2.0M,111.42,0.71,0.64
USB,U.S. Bancorp,50.6K,38.45,0.25,0.65
MSTR,MicroStrategy Inc.,88.9K,313.38,1.93,0.62
CMCSA,Comcast Corp. Cl A,372.0K,34.36,0.21,0.61
JNJ,Johnson & Johnson,81.3K,155.26,0.90,0.58
MARA,MARA Holdings Inc.,225.3K,13.02,0.07,0.54
QCOM,Qualcomm Inc.,65.2K,139.91,0.72,0.52
RUN,SunRun Inc.,117.8K,6.86,0.04,0.51
PDD,PDD Holdings Inc. ADR,200.1K,95.26,0.48,0.51
CSCO,Cisco Systems Inc.,280.4K,57.69,0.28,0.49
VALE,Vale S.A. ADR,96.5K,9.32,0.04,0.49
KGC,Kinross Gold Corp.,95.8K,14.57,0.07,0.48
ALDX,Aldeyra Therapeutics Inc.,53.3K,2.13,0.01,0.47
PANW,Palo Alto Networks Inc.,62.4K,170.78,0.80,0.47
MCHP,Microchip Technology Inc.,88.4K,39.05,0.17,0.44
PSEC,Prospect Capital Corp.,96.9K,3.59,0.01,0.42
PYPL,PayPal Holdings Inc.,133.4K,62.53,0.26,0.42
ADBE,Adobe Inc.,60.0K,352.35,1.44,0.41
VZ,Verizon Communications Inc.,50.5K,44.48,0.17,0.40
DKNG,DraftKings Inc. Cl A,63.9K,34.36,0.13,0.38
SOUN,SoundHound AI Inc.,160.4K,8.18,0.03,0.37
PFE,Pfizer Inc.,94.8K,22.20,0.07,0.34
CPRT,Copart Inc.,50.1K,60.03,0.20,0.33
STNE,StoneCo Ltd. Cl A,80.2K,11.80,0.04,0.33
INTC,Intel Corp.,694.4K,20.38,0.07,0.32
ARCC,Ares Capital Corp.,74.0K,20.08,0.06,0.30
AMAT,Applied Materials Inc.,74.9K,144.95,0.42,0.29
SOFI,SoFi Technologies Inc.,393.7K,10.85,0.03,0.28
VLY,Valley National Bancorp,65.3K,8.07,0.02,0.25
BKR,Baker Hughes Co.,94.7K,37.90,0.09,0.24
MDLZ,Mondelez International Inc. Cl A,69.6K,68.46,0.16,0.23
BBD,Banco Bradesco S/A Pref ADR,163.2K,2.20,0.01,0.23
MRNA,Moderna Inc.,65.2K,26.86,0.06,0.22
APA,APA Corp.,65.5K,15.23,0.03,0.20
THTX,Theratechnologies Inc.,57.2K,2.58,0.01,0.19
SHEL,Shell PLC ADR,57.5K,62.66,0.12,0.19
ITUB,Itau Unibanco Holding S/A ADR,111.8K,5.57,0.01,0.18
MSFT,Microsoft Corp.,361.6K,388.36,0.56,0.14
SBUX,Starbucks Corp.,64.2K,85.60,0.12,0.13
WBD,Warner Bros. Discovery Inc. Series A,161.5K,8.03,0.01,0.12
FAST,Fastenal Co.,54.7K,81.40,0.10,0.12
LYFT,Lyft Inc. Cl A,80.5K,10.89,0.01,0.09
PBR,Petroleo Brasileiro S/A ADR,92.9K,11.60,0.01,0.09
AAPL,Apple Inc.,1.1M,202.62,0.10,0.05
TEM,Tempus AI Inc.,53.1K,43.15,0.02,0.05
KDP,Keurig Dr Pepper Inc.,86.3K,35.72,0.01,0.01
ASTS,AST SpaceMobile Inc.,64.0K,22.91,0.00,0.01
ZM,Zoom Communications Inc.,74.9K,71.98,0.00,0.00
BGC,BGC Group Inc. Cl A,63.6K,8.55,0.00,0.00
KHC,Kraft Heinz Co.,116.3K,29.80,0.00,0.00
RGTI,Rigetti Computing Inc.,199.6K,8.86,0.00,0.00
ASPI,ASP Isotopes Inc.,103.2K,6.53,0.00,0.00
LX,LexinFintech Holdings Ltd. ADR,64.5K,7.22,0.00,0.00
