Symbol,Company,Volume,Price,Change,%Change
DATS,DatChat Inc.,126.8M,4.30,2.14,99.07
DM,Desktop Metal Inc.,42.8M,4.33,2.06,90.74
MKFG,Markforged Holding Corp.,1.5M,4.23,0.95,28.91
KBSX,FST Corp.,6.2M,2.78,0.52,22.79
FUFU,BitFuFu Inc.,526.9K,5.40,0.94,21.08
EHLD,Euroholdings Ltd.,1.4M,6.10,1.06,21.03
MLGO,MicroAlgo Inc.,38.9M,16.84,2.85,20.37
ZYBT,Zhengye Biotechnology Holding Ltd.,946.9K,6.94,1.14,19.66
AVTX,Avalo Therapeutics Inc.,204.5K,9.02,1.39,18.15
RGC,Regencell Bioscience Holdings Ltd.,391.2K,47.57,6.57,16.02
ROLR,High Roller Technologies Inc.,93.2K,3.42,0.47,15.93
HMR,Heidmar Maritime Holdings Corp.,1.2M,3.51,0.44,14.36
ECX,ECARX Holdings Inc.,3.9M,3.04,0.28,10.36
WKHS,Workhorse Group Inc.,270.0K,2.41,0.22,10.05
PRCH,Porch Group Inc.,2.0M,7.49,0.63,9.18
TIPT,Tiptree Inc.,334.1K,25.32,2.08,8.96
SKYH,Sky Harbour Group Corp.,119.0K,13.05,1.07,8.93
ALMS,Alumis Inc.,12.3M,4.11,0.33,8.77
XTIA,XTI Aerospace Inc.,152.4K,2.73,0.21,8.33
AISP,Airship AI Holdings Inc. Cl A,1.0M,4.90,0.37,8.19
DJT,Trump Media & Technology Group Corp.,9.8M,22.72,1.72,8.16
AEVA,Aeva Technologies Inc.,1.0M,5.12,0.38,8.02
NB,NioCorp Developments Ltd.,169.1K,2.33,0.17,7.87
DTSS,Datasea Inc.,345.5K,2.47,0.17,7.52
EPAC,Enerpac Tool Group Corp. Cl A,146.2K,46.53,3.15,7.26
OPRX,OptimizeRx Corp.,155.3K,9.64,0.64,7.11
SPRU,Spruce Power Holding Corp.,73.7K,2.66,0.17,7.06
SAND,Sandstorm Gold Ltd.,2.5M,7.33,0.48,6.95
MASK,3 E Network Technology Group Ltd. Cl A,78.3K,3.61,0.23,6.80
SEG,Seaport Entertainment Group Inc.,76.9K,22.67,1.36,6.38
EGO,Eldorado Gold Corp.,998.5K,16.71,1.00,6.37
CHCI,Comstock Holding Cos. Inc. Cl A,56.2K,9.85,0.57,6.20
MBLY,Mobileye Global Inc. Cl A,5.3M,16.19,0.93,6.10
NBR,Nabors Industries Ltd.,98.4K,45.59,2.45,5.68
UAMY,United States Antimony Corp.,2.5M,2.36,0.13,5.61
AENT,Alliance Entertainment Holding Corp.,79.5K,4.02,0.21,5.51
AXGN,Axogen Inc.,513.0K,19.14,0.99,5.45
IP,International Paper Co.,5.2M,55.70,2.87,5.43
ZENA,ZenaTech Inc.,122.7K,3.15,0.16,5.35
TKC,Turkcell Iletisim Hizmetleri A.S. ADR,820.9K,6.20,0.32,5.35
SUPV,Grupo Supervielle S.A. ADR,423.3K,14.72,0.74,5.29
BBD,Banco Bradesco S/A Pref ADR,19.3M,2.34,0.12,5.28
PHUN,Phunware Inc.,771.2K,3.23,0.16,5.21
CNR,Core Natural Resources Inc.,340.0K,78.62,3.89,5.21
SYTA,Siyata Mobile Inc.,8.1M,2.44,0.12,5.17
SUP,Superior Industries International Inc.,82.4K,2.57,0.12,4.90
LWAY,Lifeway Foods Inc.,50.5K,25.14,1.17,4.88
BRFS,BRF S.A. ADR,1.1M,3.50,0.16,4.84
EXFY,Expensify Inc.,121.3K,3.51,0.16,4.78
SAIL,SailPoint Inc.,768.0K,22.24,1.01,4.76
NGD,New Gold Inc.,9.6M,3.38,0.15,4.64
POET,POET Technologies Inc.,1.1M,4.34,0.19,4.58
RFIL,RF Industries Ltd.,62.9K,4.80,0.21,4.58
VSAT,ViaSat Inc.,1.6M,11.69,0.50,4.47
ACDC,ProFrac Holding Corp.,152.6K,8.12,0.35,4.46
GPRK,GeoPark Ltd.,301.9K,8.10,0.34,4.45
DQ,Daqo New Energy Corp. ADR,464.3K,18.86,0.80,4.43
BZAI,Blaize Holdings Inc.,395.7K,3.32,0.14,4.40
BIOX,Bioceres Crop Solutions Corp.,111.0K,4.27,0.18,4.40
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,441.9K,17.98,0.76,4.38
BEEM,Beam Global,67.2K,2.30,0.10,4.35
SPIR,Spire Global Inc.,177.6K,9.01,0.37,4.28
XIFR,XPLR Infrastructure LP,873.6K,9.78,0.40,4.26
ZJK,ZJK Industrial Co. Ltd.,62.3K,5.44,0.22,4.21
NXGL,NexGel Inc.,72.0K,3.22,0.13,4.21
UGP,Ultrapar Participacoes S/A ADR,2.0M,3.23,0.13,4.19
SEAT,Vivid Seats Inc.,506.4K,2.86,0.12,4.18
CGAU,Centerra Gold Inc.,324.7K,6.36,0.26,4.18
TRVI,Trevi Therapeutics Inc.,338.9K,6.66,0.27,4.14
EQX,Equinox Gold Corp.,4.9M,7.05,0.28,4.14
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,79.5K,11.62,0.46,4.12
INTR,Inter & Co. Inc.,385.3K,5.84,0.23,4.10
CAAP,Corporacion America Airports S.A.,99.7K,19.15,0.75,4.08
WGRX,Wellgistics Health Inc.,65.1K,4.11,0.16,4.05
PUBM,PubMatic Inc.,146.0K,10.30,0.40,4.04
ETSY,Etsy Inc.,1.4M,47.69,1.83,3.99
CVNA,Carvana Co. Cl A,3.7M,222.15,8.52,3.99
CURI,CuriosityStream Inc.,74.3K,3.02,0.11,3.79
NN,NextNav Inc.,404.1K,13.24,0.48,3.76
BBAR,Banco BBVA Argentina S.A. ADR,206.4K,19.72,0.71,3.73
BMA,Banco Macro S.A. ADR,69.5K,84.20,3.00,3.69
TITN,Titan Machinery Inc.,239.4K,18.42,0.65,3.66
IBTA,Ibotta Inc.,123.8K,43.17,1.52,3.65
BOW,Bowhead Specialty Holdings Inc.,171.2K,40.68,1.43,3.64
FSM,Fortuna Mining Corp.,5.3M,6.16,0.21,3.62
BIYA,Baiya International Group Inc.,239.5K,4.30,0.15,3.61
YPF,YPF S.A. ADR,750.2K,37.47,1.30,3.59
MRVI,Maravai LifeSciences Holdings Inc.,944.3K,2.32,0.08,3.57
PBR,Petroleo Brasileiro S/A ADR,11.1M,14.46,0.49,3.54
TEO,Telecom Argentina S.A. ADR,101.5K,10.86,0.37,3.53
ITUB,Itau Unibanco Holding S/A ADR,5.5M,5.78,0.20,3.49
MUX,McEwen Mining Inc.,238.7K,8.04,0.27,3.47
SARO,StandardAero Inc.,690.3K,29.73,0.99,3.44
NIPG,NIP Group Inc. ADR,129.4K,2.13,0.07,3.39
CSAN,Cosan S.A. ADR,380.9K,5.51,0.18,3.38
IDR,Idaho Strategic Resources Inc.,95.8K,14.26,0.47,3.37
RYAM,Rayonier Advanced Materials Inc.,222.1K,5.68,0.18,3.37
MTA,Metalla Royalty & Streaming Ltd.,112.2K,3.08,0.10,3.34
PRCT,PROCEPT BioRobotics Corp.,407.5K,62.90,2.00,3.28
ACMR,ACM Research Inc. Cl A,444.9K,28.64,0.91,3.26
