Symbol,Company,Volume,Price,Change,%Change
WHLR,Wheeler Real Estate Investment Trust Inc.,106.4K,3.19,0.82,34.60
ELAB,PMGC Holdings Inc.,315.6K,5.35,1.36,34.09
ICCT,iCoreConnect Inc.,221.2K,4.75,1.06,28.73
REE,REE Automotive Ltd.,59.8K,3.11,0.32,11.27
GDS,GDS Holdings Ltd. ADR,73.9K,21.21,1.78,9.16
DXCM,DexCom Inc.,100.7K,72.92,6.08,9.10
NIO,NIO Inc. ADR,250.7K,3.42,0.12,3.47
LI,Li Auto Inc. ADR,59.7K,21.84,0.69,3.29
RAY,Raytech Holding Ltd.,192.9K,2.28,0.07,3.09
JD,JD.com Inc. ADR,209.8K,36.09,1.01,2.89
TCOM,Trip.com Group Ltd. ADR,128.0K,56.15,1.36,2.48
SONY,Sony Group Corp. ADR,75.8K,23.49,0.52,2.26
BILI,Bilibili Inc. ADR,107.7K,16.17,0.29,1.80
DJT,Trump Media & Technology Group Corp.,172.6K,20.58,0.31,1.53
BIDU,Baidu Inc. ADR,297.7K,81.82,1.23,1.53
T,AT&T Inc.,202.0K,26.43,0.24,0.91
VZ,Verizon Communications Inc.,53.6K,42.52,0.31,0.73
BTG,B2Gold Corp.,111.5K,2.92,0.02,0.69
MDLZ,Mondelez International Inc. Cl A,121.9K,66.60,0.41,0.62
TMUS,T-Mobile US Inc.,69.4K,255.78,0.89,0.35
VNET,VNET Group Inc. ADR,60.2K,5.92,0.02,0.34
PEP,PepsiCo Inc.,113.6K,146.05,0.46,0.32
KDP,Keurig Dr Pepper Inc.,68.0K,34.76,0.07,0.20
EXC,Exelon Corp.,60.6K,44.34,0.04,0.09
KHC,Kraft Heinz Co.,99.6K,29.12,0.03,0.09
VALE,Vale S.A. ADR,58.9K,8.86,0.01,0.06
LCID,Lucid Group Inc.,651.3K,2.55,0.00,0.05
ENGN,enGene Holdings Inc.,60.3K,4.03,0.00,0.00
SMMT,Summit Therapeutics Inc.,112.4K,18.21,-0.02,-0.11
WMT,Walmart Inc.,56.0K,89.44,-0.15,-0.17
CELH,Celsius Holdings Inc.,73.6K,37.17,-0.08,-0.21
PDD,PDD Holdings Inc. ADR,257.0K,93.89,-0.26,-0.28
PDCO,Patterson Cos. Inc.,55.1K,31.10,-0.12,-0.38
GILD,Gilead Sciences Inc.,106.6K,104.80,-0.46,-0.43
CSCO,Cisco Systems Inc.,385.5K,57.78,-0.35,-0.60
EBAY,eBay Inc.,67.4K,61.57,-0.39,-0.63
LYG,Lloyds Banking Group PLC ADR,122.4K,3.58,-0.03,-0.69
VOD,Vodafone Group PLC ADR,85.8K,8.52,-0.06,-0.70
ERIC,Telefon AB L.M. Ericsson ADR,117.0K,7.17,-0.06,-0.83
NOK,Nokia Corp. ADR,75.4K,4.88,-0.04,-0.91
ASTS,AST SpaceMobile Inc.,109.5K,23.91,-0.23,-0.95
CMCSA,Comcast Corp. Cl A,309.4K,34.82,-0.36,-1.04
GOOGL,Alphabet Inc. Cl A,663.8K,156.87,-1.84,-1.16
YMM,Full Truck Alliance Co. Ltd. ADR,63.4K,10.38,-0.13,-1.19
GOOG,Alphabet Inc. Cl C,355.1K,159.12,-1.94,-1.20
NFLX,Netflix Inc.,50.9K,933.98,-11.48,-1.21
SLDB,Solid Biosciences Inc.,60.6K,2.70,-0.04,-1.31
FAST,Fastenal Co.,51.9K,75.46,-1.01,-1.33
WDC,Western Digital Corp.,97.1K,35.81,-0.49,-1.35
WBA,Walgreens Boots Alliance Inc.,108.2K,10.63,-0.15,-1.39
CSX,CSX Corp.,129.7K,28.26,-0.41,-1.41
AZN,AstraZeneca PLC ADR,76.8K,65.77,-0.99,-1.48
META,Meta Platforms Inc.,321.4K,576.92,-8.85,-1.51
NDAQ,Nasdaq Inc.,79.2K,70.90,-1.09,-1.51
TSCO,Tractor Supply Co.,54.2K,50.59,-0.79,-1.54
ABSI,Absci Corp.,55.0K,2.54,-0.04,-1.55
GEHC,GE HealthCare Technologies Inc.,63.1K,63.97,-1.01,-1.55
NEOG,Neogen Corp.,173.3K,4.94,-0.08,-1.59
PFE,Pfizer Inc.,106.1K,22.13,-0.36,-1.61
ARCC,Ares Capital Corp.,142.5K,20.52,-0.34,-1.63
NWG,NatWest Group PLC ADR,62.1K,11.34,-0.20,-1.69
RXRX,Recursion Pharmaceuticals Inc.,291.3K,4.57,-0.08,-1.72
CRWD,CrowdStrike Holdings Inc. Cl A,65.5K,371.48,-6.53,-1.73
CHX,ChampionX Corp.,56.8K,24.91,-0.44,-1.74
BB,BlackBerry Ltd.,60.3K,3.23,-0.06,-1.82
RIVN,Rivian Automotive Inc. Cl A,369.0K,11.55,-0.22,-1.87
LYFT,Lyft Inc. Cl A,161.7K,11.12,-0.22,-1.94
FITB,Fifth Third Bancorp,61.0K,35.12,-0.69,-1.94
GOGL,Golden Ocean Group Ltd.,51.7K,6.91,-0.14,-1.99
TROW,T. Rowe Price Group Inc.,69.6K,88.30,-1.86,-2.07
BBD,Banco Bradesco S/A Pref ADR,120.8K,2.12,-0.04,-2.08
IBRX,ImmunityBio Inc.,76.6K,2.54,-0.06,-2.12
APP,AppLovin Corp.,87.6K,269.00,-5.96,-2.17
FTNT,Fortinet Inc.,95.7K,97.76,-2.17,-2.18
MSFT,Microsoft Corp.,556.5K,381.60,-8.88,-2.28
IREN,IREN Ltd.,134.0K,5.76,-0.14,-2.29
AGNC,AGNC Investment Corp.,591.5K,8.70,-0.20,-2.30
NU,Nu Holdings Ltd. Cl A,68.5K,10.66,-0.26,-2.38
PANW,Palo Alto Networks Inc.,100.2K,168.90,-4.12,-2.38
TEM,Tempus AI Inc.,83.7K,42.74,-1.05,-2.41
LAES,SEALSQ Corp.,53.6K,2.60,-0.07,-2.43
RELY,Remitly Global Inc.,55.6K,19.84,-0.52,-2.53
HST,Host Hotels & Resorts Inc.,81.1K,13.86,-0.36,-2.53
DDOG,Datadog Inc. Cl A,60.8K,94.96,-2.48,-2.55
DKNG,DraftKings Inc. Cl A,63.9K,34.92,-0.92,-2.58
PYPL,PayPal Holdings Inc.,201.8K,62.22,-1.73,-2.71
TTD,Trade Desk Inc. Cl A,84.1K,52.65,-1.47,-2.72
BAC,Bank of America Corp.,389.6K,36.14,-1.01,-2.72
CLSK,CleanSpark Inc.,179.2K,7.42,-0.21,-2.75
ZM,Zoom Communications Inc.,286.2K,69.82,-2.00,-2.79
SBUX,Starbucks Corp.,104.2K,86.20,-2.48,-2.80
SNAP,Snap Inc.,57.3K,8.55,-0.27,-3.06
AMZN,Amazon.com Inc.,1.1M,185.41,-5.69,-2.98
ABNB,Airbnb Inc. Cl A,55.3K,117.54,-3.79,-3.12
HBAN,Huntington Bancshares Inc.,113.5K,13.28,-0.43,-3.14
UPST,Upstart Holdings Inc.,111.2K,41.77,-1.37,-3.18
PLTR,Palantir Technologies Inc.,1.1M,89.02,-2.98,-3.24
CIFR,Cipher Mining Inc.,61.3K,2.38,-0.08,-3.25
ACHR,Archer Aviation Inc.,71.6K,7.18,-0.25,-3.33
VTRS,Viatris Inc.,96.9K,7.53,-0.26,-3.34
