Symbol,Company,Volume,Price,Change,%Change
AREB,American Rebel Holdings Inc.,81.7M,19.53,15.57,393.18
AEHL,Antelope Enterprise Holdings Ltd.,10.9M,4.19,2.09,99.52
LOCL,Local Bounti Corp.,431.8K,4.46,1.64,58.20
SOBR,SOBR Safe Inc.,1.2M,4.95,1.48,42.61
NTCL,NetClass Technology Inc. Cl A,178.4K,9.80,2.80,40.00
FORD,Forward Industries Inc.,484.0K,6.87,1.95,39.63
RGC,Regencell Bioscience Holdings Ltd.,234.1K,32.92,8.62,35.47
ICCT,iCoreConnect Inc.,82.0M,5.68,1.45,34.28
NTHI,NeOnc Technologies Holdings Inc.,91.8K,12.50,2.92,30.48
PAMT,PAMT Corp.,187.4K,13.58,2.47,22.23
AUUD,Auddia Inc.,192.3K,4.85,0.84,20.95
ALMS,Alumis Inc.,781.0K,10.04,1.50,17.57
USAR,USA Rare Earth Inc.,7.4M,7.58,1.08,16.62
UPC,Universe Pharmaceuticals Inc.,262.7K,3.34,0.46,15.95
LGHL,Lion Group Holding Ltd. ADR,480.2K,3.60,0.45,14.29
VSCO,Victoria's Secret & Co.,10.0M,16.94,2.07,13.92
RIME,Algorhythm Holdings Inc.,175.9K,2.52,0.28,12.50
BCTX,BriaCell Therapeutics Corp.,79.8K,3.93,0.43,12.29
NTRP,NextTrip Inc.,63.3K,5.93,0.61,11.50
RKT,Rocket Cos. Inc.,33.9M,15.44,1.58,11.44
CISS,C3is Inc.,477.7K,3.86,0.40,11.40
NVAX,Novavax Inc.,8.3M,6.24,0.64,11.43
EPSM,Epsium Enterprise Ltd.,1.3M,5.86,0.59,11.20
CSAI,Cloudastructure Inc. Cl A,1.2M,4.94,0.49,11.01
GME,GameStop Corp. Cl A,18.8M,23.42,2.32,11.00
HOV,Hovnanian Enterprises Inc. Cl A,190.2K,104.47,10.10,10.70
ARHS,Arhaus Inc.,3.6M,7.74,0.68,9.63
DERM,Journey Medical Corp.,342.8K,7.21,0.62,9.41
GES,Guess? Inc.,3.0M,10.98,0.94,9.36
LGPS,LogProstyle Inc.,184.8K,3.90,0.33,9.24
FHTX,Foghorn Therapeutics Inc.,266.4K,3.44,0.29,9.21
WTF,Waton Financial Ltd.,2.7M,6.39,0.53,9.04
BJDX,Bluejay Diagnostics Inc.,488.8K,3.54,0.29,8.92
LSEA,Landsea Homes Corp.,518.9K,6.27,0.50,8.67
ZSPC,zSpace Inc.,80.3K,8.73,0.69,8.58
BZAI,Blaize Holdings Inc.,319.3K,2.22,0.17,8.58
SVV,Savers Value Village Inc.,1.1M,7.70,0.59,8.37
HPAI,Helport AI Ltd.,160.9K,6.87,0.53,8.36
SLP,Simulations Plus Inc.,561.1K,25.73,1.92,8.04
KSS,Kohl's Corp.,22.0M,7.14,0.50,7.53
GAP,Gap Inc.,19.3M,19.21,1.37,7.68
SKBL,Skyline Builders Group Holding Ltd. Cl A,2.1M,12.92,0.92,7.67
GAUZ,Gauzy Ltd.,63.7K,8.39,0.59,7.56
LXEH,Lixiang Education Holding Co. Ltd. ADR,65.2K,24.18,1.65,7.30
ELTX,Elicio Therapeutics Inc.,73.3K,5.90,0.40,7.27
CSTE,Caesarstone Ltd.,206.6K,2.55,0.17,7.14
BZH,Beazer Homes USA Inc.,784.3K,20.34,1.32,6.94
MKTW,MarketWise Inc.,64.3K,9.87,0.64,6.93
BLD,TopBuild Corp.,776.0K,303.76,19.55,6.88
MTEN,Mingteng International Corp. Inc.,209.2K,4.01,0.25,6.65
FLWS,1-800-FLOWERS.COM Inc. Cl A,861.3K,5.60,0.34,6.36
MAMA,Mama's Creations Inc.,475.8K,6.79,0.40,6.26
AEHR,Aehr Test Systems,1.1M,7.27,0.42,6.21
AUID,authID Inc.,158.8K,5.02,0.29,6.19
WWW,Wolverine World Wide Inc.,2.0M,11.79,0.67,6.03
NX,Quanex Building Products Corp.,737.7K,17.61,0.99,5.96
RUN,SunRun Inc.,14.0M,6.97,0.38,5.77
IBP,Installed Building Products Inc.,598.5K,172.97,9.18,5.60
LGIH,LGI Homes Inc.,630.9K,64.60,3.42,5.59
RAPP,Rapport Therapeutics Inc.,300.6K,8.98,0.47,5.46
MNRO,Monro Inc.,925.6K,15.26,0.78,5.39
DECK,Deckers Outdoor Corp.,7.9M,106.17,5.29,5.24
ODP,ODP Corp.,843.6K,13.86,0.67,5.08
CROX,Crocs Inc.,4.1M,100.85,4.88,5.08
ONON,On Holding AG,19.1M,39.55,1.90,5.05
HVT,Haverty Furniture Cos. Inc.,153.1K,18.76,0.88,4.92
AEO,American Eagle Outfitters Inc.,13.9M,10.94,0.50,4.79
PHH,Park Ha Biological Technology Co. Ltd.,443.4K,13.40,0.62,4.85
ISPR,Ispire Technology Inc.,52.0K,2.82,0.13,4.83
ANF,Abercrombie & Fitch Co.,4.6M,73.60,3.34,4.75
TFII,TFI International Inc.,978.4K,79.43,3.58,4.72
TISI,Team Inc.,120.0K,19.00,0.85,4.70
MHO,M/I Homes Inc.,400.2K,114.20,5.11,4.68
SDHC,Smith Douglas Homes Corp.,60.3K,19.54,0.87,4.66
DFH,Dream Finders Homes Inc.,766.0K,22.30,0.99,4.65
CLIK,Click Holdings Ltd.,8.2M,2.76,0.12,4.55
DHI,D.R. Horton Inc.,7.6M,127.78,5.46,4.47
W,Wayfair Inc. Cl A,17.6M,26.20,1.11,4.42
JBI,Janus International Group Inc.,1.9M,6.88,0.29,4.40
CRI,Carter's Inc.,1.9M,37.12,1.55,4.36
CCS,Century Communities Inc.,344.4K,65.64,2.71,4.31
INHD,Inno Holdings Inc.,74.7K,5.40,0.22,4.25
EVEX,Eve Holding Inc.,263.9K,3.32,0.14,4.23
VRA,Vera Bradley Inc.,251.5K,2.13,0.09,4.15
NRC,National Research Corp.,92.3K,12.41,0.49,4.11
OXM,Oxford Industries Inc.,751.3K,57.04,2.21,4.03
MODG,Topgolf Callaway Brands Corp.,3.4M,6.26,0.24,3.99
TDUP,ThredUp Inc. Cl A,600.1K,2.62,0.10,3.97
TRNS,Transcat Inc.,86.2K,75.60,2.83,3.89
MTH,Meritage Homes Corp.,1.4M,69.15,2.54,3.81
MSTR,MicroStrategy Inc.,21.9M,292.91,10.63,3.77
CAL,Caleres Inc.,1.2M,16.10,0.58,3.74
TPH,Tri Pointe Homes Inc.,1.1M,31.81,1.15,3.75
PLSE,Pulse Biosciences Inc.,214.4K,15.07,0.54,3.72
EXPI,eXp World Holdings Inc.,1.3M,9.48,0.33,3.61
SCVL,Shoe Carnival Inc.,1.2M,19.94,0.70,3.64
TELO,Telomir Pharmaceuticals Inc.,150.2K,2.94,0.10,3.52
GRBK,Green Brick Partners Inc.,446.8K,57.86,1.97,3.52
AGL,agilon health inc.,3.2M,4.14,0.14,3.50
EUDA,EUDA Health Holdings Ltd.,106.8K,3.85,0.13,3.49
