Symbol,Company,Volume,Price,Change,%Change
BULL,Webull Corp. Cl A,21.7M,57.84,44.59,336.53
USAR,USA Rare Earth Inc.,7.1M,12.91,4.60,55.35
THRD,Third Harmonic Bio Inc.,11.4M,5.08,1.44,39.56
WGRX,Wellgistics Health Inc.,288.5K,3.93,1.04,35.99
MTSR,Metsera Inc.,1.2M,18.53,4.53,32.36
BETR,Better Home & Finance Holding Co.,155.4K,12.90,2.62,25.49
NAOV,NanoVibronix Inc.,687.9K,8.41,1.64,24.23
WTF,Waton Financial Ltd.,1.0M,7.76,1.44,22.78
CRML,Critical Metals Corp.,8.5M,2.64,0.48,22.10
CAPS,Capstone Holding Corp.,54.1K,2.88,0.50,21.01
ZYBT,Zhengye Biotechnology Holding Ltd.,138.1K,4.87,0.81,19.95
JNVR,Janover Inc.,656.9K,60.20,8.99,17.56
MP,MP Materials Corp.,12.1M,26.66,3.98,17.55
BCTX,BriaCell Therapeutics Corp.,129.6K,5.11,0.76,17.47
SOND,Sonder Holdings Inc.,61.7K,2.61,0.36,16.00
NB,NioCorp Developments Ltd.,1.7M,2.38,0.33,15.78
EDN,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR,235.9K,33.24,4.50,15.66
VERV,Verve Therapeutics Inc.,22.6M,3.76,0.50,15.34
AREB,American Rebel Holdings Inc.,9.7M,7.09,0.88,14.17
RYET,Ruanyun Edai Technology Inc.,243.2K,5.38,0.62,13.03
SUPV,Grupo Supervielle S.A. ADR,2.0M,14.77,1.68,12.83
NVA,Nova Minerals Ltd. ADR,100.8K,12.41,1.41,12.82
MB,MasterBeef Group,967.8K,3.60,0.40,12.38
AEHL,Antelope Enterprise Holdings Ltd.,201.4K,3.18,0.35,12.37
BMA,Banco Macro S.A. ADR,814.2K,88.33,9.48,12.02
CARA,Cara Therapeutics Inc.,84.7K,5.48,0.58,11.84
SATL,Satellogic Inc.,1.1M,4.19,0.44,11.73
GGAL,Grupo Financiero Galicia S.A. ADR,2.8M,60.11,6.24,11.58
BBAR,Banco BBVA Argentina S.A. ADR,743.8K,19.83,2.04,11.47
AMST,Amesite Inc.,233.7K,2.30,0.23,11.11
QD,Qudian Inc. ADR,755.4K,2.63,0.26,10.97
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,706.3K,11.09,1.08,10.79
BYRN,Byrna Technologies Inc.,626.4K,19.86,1.93,10.74
JKS,JinkoSolar Holding Co. Ltd. ADR,1.1M,15.96,1.54,10.68
TECX,Tectonic Therapeutic Inc.,66.3K,17.82,1.66,10.27
IOTR,iOThree Ltd.,159.5K,3.73,0.34,10.03
CYBN,Cybin Inc.,298.6K,7.46,0.67,9.78
JFIN,Jiayin Group Inc. ADR,122.8K,11.07,0.98,9.71
YPF,YPF S.A. ADR,3.7M,32.87,2.84,9.46
CERT,Certara Inc.,2.8M,14.07,1.16,8.99
GPCR,Structure Therapeutics Inc. ADR,570.4K,17.32,1.42,8.92
TGS,Transportadora de Gas del Sur S.A. ADR,409.9K,27.64,2.25,8.86
DXF,Eason Technology Ltd. ADR,63.0K,6.30,0.50,8.62
LENZ,LENZ Therapeutics Inc.,142.9K,22.00,1.74,8.56
IBRX,ImmunityBio Inc.,4.6M,2.85,0.22,8.32
PAM,Pampa Energia S.A. ADR,403.5K,75.37,5.78,8.31
MKTW,MarketWise Inc.,91.9K,14.48,1.11,8.30
