Symbol,Company,Volume,Price,Change,%Change
PRTG,Portage Biotech Inc.,20.2M,11.33,6.23,122.16
RGC,Regencell Bioscience Holdings Ltd.,161.8K,38.89,10.65,37.71
CBLL,CeriBell Inc.,1.3M,15.02,3.87,34.66
MKTW,MarketWise Inc.,66.3K,12.78,2.73,27.16
BGLC,BioNexus Gene Lab Corp.,28.5M,2.67,0.50,23.04
SLP,Simulations Plus Inc.,832.1K,31.31,5.57,21.64
RXRX,Recursion Pharmaceuticals Inc.,59.1M,5.46,0.95,21.10
WKEY,WISeKey International Holding Ltd. ADR,104.9K,3.95,0.60,17.91
SDGR,Schrodinger Inc.,1.6M,22.44,3.22,16.74
CERT,Certara Inc.,5.6M,12.24,1.73,16.46
LHSW,Lianhe Sowell International Group Ltd.,970.2K,3.62,0.49,15.69
MBX,MBX Biosciences Inc.,535.6K,7.24,0.97,15.47
ZLAB,Zai Lab Ltd. ADR,1.6M,28.07,3.75,15.42
AREB,American Rebel Holdings Inc.,7.5M,8.26,1.01,13.94
NGNE,Neurogene Inc.,101.8K,10.18,1.22,13.55
SMMT,Summit Therapeutics Inc.,3.4M,22.85,2.70,13.40
SBSW,Sibanye-Stillwater Ltd. ADR,9.4M,4.39,0.50,12.95
RITR,Reitar Logtech Holdings Ltd.,109.8K,3.38,0.37,12.13
HYMC,Hycroft Mining Holding Corp.,246.7K,3.16,0.33,11.64
SA,Seabridge Gold Inc.,1.3M,12.44,1.28,11.50
JNVR,Janover Inc.,1.1M,50.09,5.12,11.39
CYBN,Cybin Inc.,220.8K,6.38,0.64,11.06
BBAR,Banco BBVA Argentina S.A. ADR,260.4K,17.80,1.74,10.83
ABSI,Absci Corp.,4.2M,2.72,0.27,10.79
QSG,QuantaSing Group Ltd. ADR,475.7K,4.53,0.44,10.76
AU,AngloGold Ashanti PLC,4.1M,43.00,4.14,10.67
NG,NovaGold Resources Inc.,5.1M,2.78,0.27,10.56
ZBIO,Zenas BioPharma Inc.,68.6K,7.49,0.71,10.51
CIIT,Tianci International Inc.,94.7K,2.87,0.27,10.43
KC,Kingsoft Cloud Holdings Ltd. ADR,2.2M,13.96,1.30,10.32
BMA,Banco Macro S.A. ADR,237.0K,78.85,7.35,10.28
METC,Ramaco Resources Inc. Cl A,466.0K,8.50,0.79,10.28
FCUV,Focus Universal Inc.,75.9K,4.27,0.39,10.05
SKE,Skeena Resources Ltd.,399.5K,11.15,1.00,9.85
CEPU,Central Puerto S.A. ADR,116.0K,10.82,0.95,9.63
LPG,Dorian LPG Ltd.,527.9K,19.91,1.72,9.46
SUPV,Grupo Supervielle S.A. ADR,758.3K,12.90,1.09,9.23
ONC,BeiGene Ltd. ADR,390.9K,226.97,18.66,8.96
ABCL,AbCellera Biologics Inc.,2.5M,2.26,0.18,8.94
NEM,Newmont Corp.,16.8M,55.48,4.54,8.90
VERO,Venus Concept Inc.,9.6M,4.42,0.36,8.87
RYET,Ruanyun Edai Technology Inc.,149.4K,4.81,0.38,8.58
CDE,Coeur Mining Inc.,9.5M,5.96,0.47,8.56
EDN,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR,86.7K,27.63,2.15,8.44
GGAL,Grupo Financiero Galicia S.A. ADR,985.9K,53.04,4.13,8.43
GLNG,Golar LNG Ltd.,1.7M,36.19,2.80,8.40
China,HUTCHMED,87.6K,13.52,0.98,7.86
TNK,Teekay Tankers Ltd.,256.7K,38.52,2.75,7.70
FRO,Frontline PLC,2.5M,15.11,1.08,7.70
CYRX,Cryoport Inc.,157.3K,5.63,0.40,7.65
TEN,Tsakos Energy Navigation Ltd.,195.2K,15.64,1.10,7.57
UUUU,Energy Fuels Inc.,3.4M,4.08,0.28,7.52
INM,InMed Pharmaceuticals Inc.,179.4K,2.72,0.19,7.50
SXTP,60 Degrees Pharmaceuticals Inc.,1.3M,3.33,0.23,7.42
SUP,Superior Industries International Inc.,144.3K,2.36,0.16,7.27
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,120.8K,9.76,0.66,7.25
XPEV,XPeng Inc. ADR,10.2M,19.26,1.29,7.21
ATYR,aTyr Pharma Inc.,514.8K,2.94,0.20,7.12
TGS,Transportadora de Gas del Sur S.A. ADR,116.8K,24.94,1.65,7.06
PAM,Pampa Energia S.A. ADR,68.8K,69.65,4.59,7.06
CNL,Collective Mining Ltd.,82.4K,10.18,0.67,7.04
EGO,Eldorado Gold Corp.,1.7M,19.26,1.26,7.02
GNK,Genco Shipping & Trading Ltd.,369.9K,12.82,0.83,6.96
CDTG,CDT Environmental Technology Investment Holdings Ltd.,1.1M,2.46,0.16,6.96
AMRK,A-Mark Precious Metals Inc.,235.9K,23.65,1.53,6.94
MSTR,MicroStrategy Inc.,9.6M,291.12,18.78,6.90
MASS,908 Devices Inc.,178.3K,4.05,0.26,6.86
DAC,Danaos Corp.,84.8K,73.65,4.73,6.86
CVAC,CureVac N.V.,357.5K,3.06,0.20,6.82
GOLD,Barrick Gold Corp.,23.8M,20.55,1.31,6.81
HYFM,Hydrofarm Holdings Group Inc.,360.1K,2.30,0.15,6.79
CRSP,CRISPR Therapeutics AG,1.3M,36.58,2.33,6.79
IE,Ivanhoe Electric Inc.,217.6K,5.34,0.34,6.70
CTGO,Contango ORE Inc.,71.4K,11.62,0.72,6.65
ZIM,ZIM Integrated Shipping Services Ltd.,2.9M,13.42,0.82,6.51
DHT,DHT Holdings Inc.,1.2M,10.47,0.63,6.40
BTU,Peabody Energy Corp.,2.2M,11.94,0.71,6.32
ABL,Abacus Global Management Inc.,189.7K,7.58,0.45,6.31
SB,Safe Bulkers Inc.,244.5K,3.41,0.20,6.23
BVN,Compania de Minas Buenaventura S.A. ADR,440.2K,14.87,0.87,6.21
TK,Teekay Corp. Ltd.,254.2K,6.44,0.38,6.19
SII,Sprott Inc.,159.0K,46.72,2.71,6.17
UEC,Uranium Energy Corp.,4.5M,4.65,0.27,6.16
BIOX,Bioceres Crop Solutions Corp.,65.6K,4.34,0.25,6.11
INSW,International Seaways Inc.,296.0K,32.51,1.86,6.07
BTG,B2Gold Corp.,30.7M,3.24,0.18,6.05
ZYME,Zymeworks Inc.,259.8K,10.01,0.57,6.04
ORIC,Oric Pharmaceuticals Inc.,154.9K,4.57,0.26,6.03
FAST,Fastenal Co.,3.1M,80.36,4.57,6.03
KALV,KalVista Pharmaceuticals Inc.,140.1K,11.18,0.64,6.02
HMY,Harmony Gold Mining Co. Ltd. ADR,6.2M,17.08,0.97,6.02
HBM,Hudbay Minerals Inc.,8.5M,6.91,0.39,5.98
ARGX,argenx SE ADR,356.0K,578.76,32.53,5.96
NIO,NIO Inc. ADR,29.7M,3.48,0.20,5.95
IRS,IRSA-Inversiones y Representaciones S.A. GDR,52.0K,12.67,0.71,5.94
JUNE,Junee Ltd.,59.0K,10.60,0.59,5.90
STM,STMicroelectronics N.V.,5.2M,20.05,1.11,5.89
SSL,Sasol Ltd. ADR,710.8K,3.36,0.18,5.82
HII,Huntington Ingalls Industries Inc.,593.1K,212.54,11.65,5.80
Cayman,Cuprina Holdings,264.2K,4.39,0.24,5.78
