Symbol,Company,Volume,Price,Change,%Change
PRTG,Portage Biotech Inc.,29.5M,9.60,4.89,103.82
DBVT,DBV Technologies S.A. ADR,21.6M,6.11,2.20,56.27
NTHI,NeOnc Technologies Holdings Inc.,102.4K,16.55,4.55,37.92
LXEH,Lixiang Education Holding Co. Ltd. ADR,210.6K,17.70,4.37,32.78
AGX,Argan Inc.,1.2M,138.14,22.91,19.88
ALMS,Alumis Inc.,1.5M,5.62,0.92,19.57
ONEG,OneConstruction Group Ltd.,72.7K,3.18,0.52,19.55
NXXT,NextNRG Inc.,61.3K,3.45,0.40,13.11
SER,Serina Therapeutics Inc.,57.7K,5.32,0.57,12.11
BIYA,Baiya International Group Inc.,1.4M,7.16,0.77,12.05
TBH,Brag House Holdings Inc.,292.9K,6.66,0.71,11.93
QSG,QuantaSing Group Ltd. ADR,616.3K,3.42,0.36,11.76
CRVO,CervoMed Inc.,993.5K,9.46,0.96,11.35
BKTI,BK Technologies Corp.,113.8K,35.63,3.63,11.34
IDN,Intellicheck Inc.,237.8K,2.88,0.29,11.34
HMY,Harmony Gold Mining Co. Ltd. ADR,9.8M,14.06,1.23,9.54
GDHG,Golden Heaven Group Holdings Ltd.,2.9M,4.75,0.39,8.94
BOWN,Bowen Acquisition Corp.,105.5K,7.96,0.65,8.81
MLGO,MicroAlgo Inc.,41.5M,17.34,1.40,8.78
PHH,Park Ha Biological Technology Co. Ltd.,431.4K,12.78,0.95,8.03
PDYN,Palladyne AI Corp.,1.2M,6.66,0.49,7.94
ALMU,Aeluma Inc.,85.0K,7.02,0.52,7.91
JUNE,Junee Ltd.,153.4K,9.50,0.69,7.89
NVCT,Nuvectis Pharma Inc.,125.5K,10.38,0.72,7.51
WRB,W.R. Berkley Corp.,6.9M,71.24,4.96,7.48
QUBT,Quantum Computing Inc.,17.8M,8.52,0.58,7.37
ABUS,Arbutus Biopharma Corp.,1.2M,3.50,0.23,7.19
HRTG,Heritage Insurance Holdings Inc.,156.8K,14.76,0.98,7.11
SLNO,Soleno Therapeutics Inc.,4.7M,71.96,4.57,6.78
BASE,Couchbase Inc.,1.7M,15.67,1.01,6.89
BLUE,bluebird bio Inc.,893.7K,4.05,0.26,6.89
ALDX,Aldeyra Therapeutics Inc.,1.0M,6.68,0.42,6.71
AURA,Aura Biosciences Inc.,3.1M,6.34,0.40,6.73
SKYH,Sky Harbour Group Corp.,295.5K,13.70,0.83,6.45
ABL,Abacus Global Management Inc.,702.9K,7.61,0.46,6.43
CVAC,CureVac N.V.,2.0M,2.98,0.18,6.43
III,Information Services Group Inc.,134.5K,4.00,0.23,6.10
PLSE,Pulse Biosciences Inc.,427.6K,16.60,0.94,6.00
CPIX,Cumberland Pharmaceuticals Inc.,66.4K,4.37,0.24,5.81
BCDA,BioCardia Inc.,138.6K,2.83,0.15,5.60
JYD,Jayud Global Logistics Ltd.,7.6M,7.28,0.38,5.51
AUID,authID Inc.,210.8K,6.65,0.33,5.22
AEVA,Aeva Technologies Inc.,3.5M,6.70,0.33,5.09
MBX,MBX Biosciences Inc.,282.9K,7.78,0.37,4.99
CDTX,Cidara Therapeutics Inc.,66.9K,22.64,1.06,4.91
BMGL,Basel Medical Group Ltd.,204.1K,4.56,0.21,4.80
ORKA,Oruka Therapeutics Inc.,108.0K,12.52,0.57,4.77
GIFT,Giftify Inc.,187.3K,2.20,0.10,4.76
SHMD,SCHMID Group N.V.,88.6K,3.58,0.16,4.68
DNLI,Denali Therapeutics Inc.,1.1M,14.79,0.59,4.15
GFI,Gold Fields Ltd. ADR,5.7M,21.90,0.94,4.48
SVRA,Savara Inc.,724.9K,2.90,0.12,4.32
VFS,VinFast Auto Ltd.,470.0K,3.38,0.14,4.15
APP,AppLovin Corp.,14.3M,272.50,10.79,4.12
BKD,Brookdale Senior Living Inc.,2.3M,6.15,0.24,4.06
SPCB,SuperCom Ltd.,94.8K,7.30,0.28,3.99
WKSP,Worksport Ltd.,147.2K,3.48,0.13,3.88
OM,Outset Medical Inc.,147.1K,12.58,0.47,3.88
CWT,California Water Service Group,299.8K,48.28,1.77,3.81
TTEC,TTEC Holdings Inc.,269.4K,3.55,0.13,3.78
BLND,Blend Labs Inc.,2.4M,3.57,0.13,3.78
MPTI,M-tron Industries Inc.,71.0K,43.08,1.55,3.73
PHLT,Performant Healthcare Inc.,208.8K,3.00,0.10,3.63
RAPP,Rapport Therapeutics Inc.,72.5K,10.04,0.34,3.51
ECG,Everus Construction Group Inc.,629.8K,36.15,1.18,3.37
PN,Skycorp Solar Group Ltd.,223.0K,3.15,0.10,3.28
OGS,ONE Gas Inc.,296.2K,75.98,2.25,3.05
ZLAB,Zai Lab Ltd. ADR,1.4M,37.28,1.10,3.04
ECO,Okeanis Eco Tankers Corp.,285.7K,22.58,0.66,3.01
DM,Desktop Metal Inc.,1.2M,4.99,0.14,3.00
BOW,Bowhead Specialty Holdings Inc.,364.6K,42.16,1.16,2.83
DTIL,Precision Biosciences Inc.,68.4K,4.67,0.13,2.86
GOGL,Golden Ocean Group Ltd.,6.4M,8.36,0.23,2.76
DRD,DRDGOLD Ltd. ADR,515.5K,14.82,0.38,2.63
YORW,York Water Co.,73.8K,34.67,0.88,2.60
UTL,Unitil Corp.,51.0K,57.96,1.45,2.57
NGG,National Grid PLC ADR,730.4K,65.57,1.64,2.57
SJW,SJW Group,217.4K,53.59,1.31,2.51
RYTM,Rhythm Pharmaceuticals Inc.,285.7K,54.83,1.34,2.51
PRMB,Primo Brands Corp.,4.9M,35.30,0.85,2.47
MSEX,Middlesex Water Co.,124.1K,63.47,1.52,2.45
International,Dogness,75.8K,27.58,0.66,2.45
CGTL,Creative Global Technology Holdings Ltd.,266.4K,4.20,0.10,2.44
AVA,Avista Corp.,1.9M,41.00,0.96,2.40
SNRE,Sunrise Communications Group AG ADR,206.0K,48.53,1.10,2.32
AVBP,ArriVent BioPharma Inc.,90.2K,19.00,0.43,2.32
WELL,Welltower Inc.,1.9M,153.36,3.44,2.29
NWN,Northwest Natural Holding Co.,174.6K,42.59,0.90,2.16
AU,AngloGold Ashanti PLC,3.5M,36.99,0.81,2.24
GO,Grocery Outlet Holding Corp.,1.8M,13.26,0.29,2.24
AWK,American Water Works Co.,1.1M,146.25,3.19,2.23
UVE,Universal Insurance Holdings Inc.,150.9K,23.35,0.50,2.19
BRZE,Braze Inc.,4.9M,37.50,0.80,2.18
TARS,Tarsus Pharmaceuticals Inc.,389.3K,51.69,1.04,2.05
OPFI,OppFi Inc.,788.6K,9.52,0.20,2.15
GNLX,Genelux Corp.,185.1K,3.10,0.07,2.15
PPL,PPL Corp.,7.8M,35.73,0.75,2.14
AWR,American States Water Co.,82.7K,77.70,1.62,2.13
ACI,Albertsons Cos. Inc.,3.2M,21.62,0.45,2.13
LAND,Gladstone Land Corp.,334.0K,10.64,0.22,2.10
