Symbol,Company,Volume,Price,Change,%Change
PRTG,Portage Biotech Inc.,25.3M,9.98,5.27,111.86
LXEH,Lixiang Education Holding Co. Ltd. ADR,156.1K,20.25,6.92,51.91
DBVT,DBV Technologies S.A. ADR,19.2M,5.90,1.99,50.90
NTHI,NeOnc Technologies Holdings Inc.,59.1K,17.70,5.70,47.50
AGX,Argan Inc.,805.2K,144.49,29.26,25.39
PHH,Park Ha Biological Technology Co. Ltd.,273.4K,13.78,1.95,16.48
ALMS,Alumis Inc.,499.1K,5.47,0.77,16.38
QNTM,Quantum Biopharma Ltd.,12.7M,9.58,1.20,14.32
ONEG,OneConstruction Group Ltd.,52.6K,3.00,0.34,12.78
HMY,Harmony Gold Mining Co. Ltd. ADR,6.2M,14.15,1.31,10.20
BIYA,Baiya International Group Inc.,1.0M,7.02,0.63,9.84
ABL,Abacus Global Management Inc.,402.3K,7.83,0.68,9.51
QSG,QuantaSing Group Ltd. ADR,481.4K,3.32,0.26,8.50
ALMU,Aeluma Inc.,60.2K,7.02,0.52,7.91
WRB,W.R. Berkley Corp.,4.6M,71.47,5.19,7.83
AEVA,Aeva Technologies Inc.,1.8M,6.86,0.48,7.60
GNLX,Genelux Corp.,91.9K,3.26,0.23,7.59
CVAC,CureVac N.V.,1.6M,3.00,0.20,7.18
MBX,MBX Biosciences Inc.,174.3K,7.93,0.52,7.05
JUNE,Junee Ltd.,92.2K,9.40,0.59,6.75
BASE,Couchbase Inc.,972.6K,15.57,0.91,6.21
SKYH,Sky Harbour Group Corp.,128.3K,13.65,0.78,6.06
CRVO,CervoMed Inc.,774.4K,9.00,0.50,5.88
GFI,Gold Fields Ltd. ADR,3.8M,22.15,1.19,5.68
SLNO,Soleno Therapeutics Inc.,2.7M,71.18,3.79,5.62
ABUS,Arbutus Biopharma Corp.,548.8K,3.43,0.16,4.89
PLSE,Pulse Biosciences Inc.,158.0K,16.40,0.74,4.73
BOWN,Bowen Acquisition Corp.,89.3K,7.66,0.34,4.64
III,Information Services Group Inc.,53.9K,3.93,0.16,4.36
SVRA,Savara Inc.,383.0K,2.90,0.12,4.32
MASS,908 Devices Inc.,390.7K,4.17,0.16,3.99
APP,AppLovin Corp.,10.1M,271.72,10.02,3.83
ZLAB,Zai Lab Ltd. ADR,842.6K,37.50,1.32,3.65
NVCT,Nuvectis Pharma Inc.,50.1K,9.99,0.34,3.52
BRZE,Braze Inc.,3.4M,37.98,1.28,3.50
WKSP,Worksport Ltd.,116.4K,3.46,0.11,3.28
BCAX,Bicara Therapeutics Inc.,81.8K,13.82,0.42,3.13
PN,Skycorp Solar Group Ltd.,82.6K,3.14,0.09,2.95
TIC,Acuren Corp.,57.7K,11.52,0.33,2.90
AU,AngloGold Ashanti PLC,2.4M,37.22,1.04,2.87
LODE,Comstock Inc.,156.1K,2.57,0.07,2.80
ENPH,Enphase Energy Inc.,1.1M,62.40,1.69,2.78
DRD,DRDGOLD Ltd. ADR,366.9K,14.84,0.40,2.77
GIFT,Giftify Inc.,111.3K,2.16,0.06,2.76
AMBR,Amber International Holding Ltd. ADR,56.2K,12.38,0.33,2.74
NGG,National Grid PLC ADR,455.7K,65.66,1.73,2.70
AURA,Aura Biosciences Inc.,980.3K,6.10,0.16,2.69
SNRE,Sunrise Communications Group AG ADR,99.5K,48.68,1.25,2.65
GOGL,Golden Ocean Group Ltd.,4.0M,8.36,0.21,2.64
CWT,California Water Service Group,117.5K,47.73,1.22,2.62
MTRX,Matrix Service Co.,75.0K,12.62,0.32,2.60
TYRA,Tyra Biosciences Inc.,66.7K,9.91,0.25,2.59
BCDA,BioCardia Inc.,53.9K,2.75,0.07,2.57
BKD,Brookdale Senior Living Inc.,786.6K,6.06,0.14,2.45
TARS,Tarsus Pharmaceuticals Inc.,135.6K,51.88,1.23,2.43
HE,Hawaiian Electric Industries Inc.,1.5M,11.44,0.27,2.42
RKLB,Rocket Lab USA Inc.,15.2M,18.85,0.43,2.33
BLND,Blend Labs Inc.,1.2M,3.52,0.08,2.33
TKC,Turkcell Iletisim Hizmetleri A.S. ADR,356.9K,6.22,0.14,2.32
PPL,PPL Corp.,3.1M,35.78,0.81,2.30
OGS,ONE Gas Inc.,114.5K,75.38,1.65,2.23
AWK,American Water Works Co.,395.6K,146.22,3.15,2.21
MRK,Merck & Co. Inc.,4.9M,89.50,1.90,2.17
ONC,BeiGene Ltd. ADR,219.1K,268.19,5.59,2.13
LAND,Gladstone Land Corp.,174.0K,10.63,0.21,2.02
NEXN,Nexxen International Ltd.,88.1K,7.78,0.15,1.97
RACE,Ferrari N.V.,573.6K,435.09,8.27,1.94
PNW,Pinnacle West Capital Corp.,311.6K,94.80,1.78,1.91
TTEC,TTEC Holdings Inc.,126.6K,3.48,0.07,1.90
WTRG,Essential Utilities Inc.,497.5K,39.38,0.73,1.89
ES,Eversource Energy,520.1K,61.42,1.11,1.85
SJW,SJW Group,83.3K,53.22,0.94,1.81
CMS,CMS Energy Corp.,812.9K,74.47,1.32,1.80
AMRC,Ameresco Inc. Cl A,122.3K,12.52,0.22,1.79
SLP,Simulations Plus Inc.,66.8K,24.63,0.43,1.78
LUNG,Pulmonx Corp.,116.0K,6.91,0.12,1.77
FE,FirstEnergy Corp.,2.5M,40.15,0.69,1.76
NWE,NorthWestern Energy Group Inc.,141.5K,56.65,0.98,1.76
BOW,Bowhead Specialty Holdings Inc.,206.3K,41.72,0.72,1.76
TATT,Tat Technologies Ltd.,56.2K,28.46,0.49,1.75
WELL,Welltower Inc.,802.6K,152.48,2.56,1.70
KSPI,Kaspi.kz JSC ADR,226.0K,94.36,1.55,1.67
SNY,Sanofi ADR,1.2M,55.81,0.90,1.64
PEG,Public Service Enterprise Group Inc.,470.1K,82.03,1.32,1.64
GO,Grocery Outlet Holding Corp.,509.5K,13.18,0.21,1.62
SBSW,Sibanye-Stillwater Ltd. ADR,5.1M,4.42,0.07,1.61
POR,Portland General Electric Co.,169.9K,44.44,0.70,1.60
NJR,New Jersey Resources Corp.,153.7K,49.15,0.76,1.57
ANNX,Annexon Inc.,326.7K,2.28,0.04,1.56
GNK,Genco Shipping & Trading Ltd.,238.4K,13.36,0.20,1.56
AZN,AstraZeneca PLC ADR,1.8M,73.97,1.13,1.55
WEC,WEC Energy Group Inc.,497.7K,107.86,1.64,1.54
RYTM,Rhythm Pharmaceuticals Inc.,62.6K,54.32,0.82,1.54
MLGO,MicroAlgo Inc.,26.0M,16.18,0.24,1.54
HLN,Haleon PLC ADR,6.3M,10.27,0.15,1.48
SYRE,Spyre Therapeutics Inc.,211.4K,17.95,0.26,1.47
AFG,American Financial Group Inc.,207.5K,129.61,1.84,1.44
THRD,Third Harmonic Bio Inc.,170.2K,3.54,0.05,1.43
D,Dominion Energy Inc.,875.1K,55.26,0.79,1.44
INVA,Innoviva Inc.,118.8K,18.14,0.26,1.43
