Symbol,Company,Volume,Price,Change,%Change
KBSX,FST,1.4M,3.15,0.89,39.38
ALMS,Alumis,57.1K,4.42,0.65,17.09
MBLY,Mobileye Global,141.7K,17.25,1.99,13.04
DJT,Trump Media & Technology Group,679.0K,22.80,1.79,8.52
CDLR,Cadeler ADR,10.4K,22.14,1.39,6.70
CVNA,Carvana Cl A,100.9K,226.63,13.00,6.09
NET,Cloudflare,68.9K,131.18,7.25,5.85
ECX,ECARX Holdings,11.7K,2.89,0.14,5.09
ILMN,Illumina,5.9K,92.33,4.31,4.90
IDN,Intellicheck,9.7K,2.80,0.11,4.09
ARQT,Arcutis Biotherapeutics,27.2K,17.99,0.70,4.05
UAMY,United States Antimony,34.4K,2.32,0.09,4.04
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,12.2K,55.99,1.98,3.67
GFI,Gold Fields ADR,31.2K,21.28,0.71,3.45
TKC,Turkcell Iletisim Hizmetleri ADR,84.6K,6.09,0.20,3.43
