Symbol,Company,Volume,Price,Change,%Change
TTEC,TTEC Holdings Inc.,17.2M,4.99,1.72,52.60
CRVO,CervoMed Inc.,2.9M,13.58,3.60,36.07
ALMS,Alumis Inc.,2.8M,9.84,2.60,35.91
TCRT,Alaunos Therapeutics Inc.,13.7M,2.80,0.64,29.63
TIVC,Tivic Health Systems Inc.,976.8K,3.25,0.73,28.97
MCRP,Micropolis Holding Co.,205.8K,3.56,0.66,22.76
CGNT,Cognyte Software Ltd.,2.0M,9.95,1.73,21.05
BNGO,Bionano Genomics Inc.,214.6K,3.75,0.65,20.97
HUBC,Hub Cyber Security Ltd.,405.1K,3.62,0.61,20.17
VPG,Vishay Precision Group Inc.,1.2M,28.25,4.74,20.16
HURA,TuHURA Biosciences Inc.,211.6K,3.48,0.57,19.59
SLN,Silence Therapeutics PLC ADR,275.9K,2.89,0.47,19.42
DBVT,DBV Technologies S.A. ADR,488.1K,7.70,1.24,19.20
NOTV,Inotiv Inc.,774.7K,2.87,0.46,19.09
NAMI,Jinxin Technology Holding Co. ADR,52.0K,2.95,0.45,18.00
ZSPC,zSpace Inc.,86.1K,8.78,1.32,17.69
MYNZ,Mainz Biomed N.V.,132.0K,3.44,0.51,17.41
CRWV,CoreWeave Inc. Cl A,52.2M,61.36,8.79,16.72
SION,Sionna Therapeutics Inc.,292.8K,11.83,1.67,16.44
CLNN,Clene Inc.,57.0K,3.00,0.42,16.28
RCAT,Red Cat Holdings Inc.,7.5M,7.42,1.03,16.12
GPUS,Hyperscale Data Inc.,84.4K,2.68,0.36,15.77
VMAR,Vision Marine Technologies Inc.,2.0M,5.07,0.68,15.39
MNPR,Monopar Therapeutics Inc.,71.3K,38.53,5.10,15.26
AUID,authID Inc.,1.0M,5.52,0.73,15.24
KPTI,Karyopharm Therapeutics Inc.,94.4K,4.06,0.52,14.69
GLTO,Galecto Inc.,105.8K,3.23,0.41,14.54
JUNE,Junee Ltd.,156.8K,10.81,1.36,14.39
PVLA,Palvella Therapeutics Inc.,67.5K,26.97,3.38,14.33
TELO,Telomir Pharmaceuticals Inc.,478.1K,3.13,0.39,14.23
XYF,X Financial ADR,504.7K,16.17,1.97,13.87
AMLX,Amylyx Pharmaceuticals Inc.,771.1K,3.78,0.44,13.17
NFE,New Fortress Energy LLC Cl A,10.1M,8.57,0.99,13.06
BKKT,Bakkt Holdings Inc.,424.6K,10.25,1.17,12.89
WOOF,Petco Health & Wellness Co. Inc.,15.2M,3.34,0.38,12.84
AARD,Aardvark Therapeutics Inc.,99.7K,9.35,1.06,12.79
SYTA,Siyata Mobile Inc.,841.1K,2.39,0.27,12.74
XGN,Exagen Inc.,263.3K,4.43,0.50,12.72
ANGO,AngioDynamics Inc.,2.5M,10.86,1.20,12.42
PHH,Park Ha Biological Technology Co. Ltd.,566.8K,13.25,1.46,12.38
OCUL,Ocular Therapeutix Inc.,1.9M,7.34,0.80,12.23
YOSH,Yoshiharu Global Co.,98.9K,16.43,1.74,11.84
DNLI,Denali Therapeutics Inc.,3.6M,13.74,1.45,11.80
AUUD,Auddia Inc.,130.5K,4.32,0.45,11.63
ACON,Aclarion Inc.,136.9K,12.61,1.30,11.49
OM,Outset Medical Inc.,70.4K,12.15,1.24,11.37
RNA,Avidity Biosciences Inc.,3.2M,29.77,3.03,11.33
ADVM,Adverum Biotechnologies Inc.,153.7K,4.26,0.43,11.23
LUNR,Intuitive Machines Inc. Cl A,9.4M,8.30,0.83,11.18
SWTX,SpringWorks Therapeutics Inc.,4.6M,46.52,4.64,11.08
