Symbol,Company,Volume,Price,Change,%Change
DM,Desktop Metal Inc.,53.8M,4.52,2.25,99.12
DATS,DatChat Inc.,143.6M,3.78,1.62,75.00
ZYBT,Zhengye Biotechnology Holding Ltd.,2.4M,8.20,2.40,41.38
FBRX,Forte Biosciences Inc.,226.1K,8.51,2.19,34.65
MKFG,Markforged Holding Corp.,1.9M,4.30,1.02,31.10
KBSX,FST Corp.,6.8M,2.86,0.60,26.55
FUFU,BitFuFu Inc.,1.0M,5.50,1.04,23.32
ROLR,High Roller Technologies Inc.,214.5K,3.57,0.62,21.02
PRCH,Porch Group Inc.,5.5M,7.96,1.10,16.03
AENT,Alliance Entertainment Holding Corp.,155.5K,4.40,0.59,15.49
XELB,Xcel Brands Inc.,108.4K,4.35,0.50,13.08
BETR,Better Home & Finance Holding Co.,84.4K,13.95,1.57,12.68
AVTX,Avalo Therapeutics Inc.,300.7K,8.54,0.91,11.93
HMR,Heidmar Maritime Holdings Corp.,2.0M,3.42,0.35,11.40
OM,Outset Medical Inc.,128.9K,11.67,1.18,11.25
JYD,Jayud Global Logistics Ltd.,3.9M,5.40,0.52,10.66
ZJK,ZJK Industrial Co. Ltd.,139.8K,5.76,0.54,10.34
AEVA,Aeva Technologies Inc.,1.9M,5.19,0.45,9.49
CGTL,Creative Global Technology Holdings Ltd.,164.0K,3.35,0.29,9.48
LEDS,SemiLEDS Corp.,85.3K,2.35,0.20,9.40
DJT,Trump Media & Technology Group Corp.,12.9M,22.87,1.86,8.85
MBLY,Mobileye Global Inc. Cl A,8.9M,16.58,1.32,8.65
LXEO,Lexeo Therapeutics Inc.,2.3M,4.44,0.35,8.56
EPAC,Enerpac Tool Group Corp. Cl A,693.8K,47.02,3.64,8.39
CHCI,Comstock Holding Cos. Inc. Cl A,110.3K,10.03,0.76,8.20
SUPV,Grupo Supervielle S.A. ADR,932.4K,15.08,1.10,7.87
UFG,Uni-Fuels Holdings Ltd.,1.0M,5.55,0.40,7.77
SKYH,Sky Harbour Group Corp.,485.6K,12.91,0.93,7.76
CURI,CuriosityStream Inc.,205.8K,3.13,0.23,7.75
SAND,Sandstorm Gold Ltd.,6.6M,7.37,0.52,7.59
NXXT,NextNRG Inc.,140.1K,3.05,0.21,7.39
MGRM,Monogram Technologies Inc.,90.0K,3.05,0.21,7.39
PSIX,Power Solutions International Inc.,1.3M,31.96,2.13,7.14
GDC,GD Culture Group Ltd.,135.5K,2.77,0.18,6.95
SPIR,Spire Global Inc.,446.7K,9.24,0.60,6.94
SUP,Superior Industries International Inc.,145.7K,2.62,0.17,6.94
TIPT,Tiptree Inc.,656.4K,24.84,1.60,6.88
SION,Sionna Therapeutics Inc.,217.8K,12.93,0.83,6.86
PHUN,Phunware Inc.,1.0M,3.28,0.21,6.84
INMB,INmune Bio Inc.,203.2K,8.86,0.56,6.75
IP,International Paper Co.,13.8M,56.26,3.43,6.49
NB,NioCorp Developments Ltd.,352.4K,2.30,0.14,6.48
EXOD,Exodus Movement Inc.,150.7K,56.04,3.40,6.46
RFIL,RF Industries Ltd.,87.5K,4.88,0.29,6.32
GPRK,GeoPark Ltd.,1.0M,8.23,0.48,6.19
DGNX,Diginex Ltd.,54.7K,96.99,5.57,6.09
WGRX,Wellgistics Health Inc.,128.2K,4.19,0.24,6.08
MNDO,MIND C.T.I. Ltd.,821.3K,1.94,0.11,6.01
ALMS,Alumis Inc.,13.3M,4.00,0.23,5.96
MPTI,M-tron Industries Inc.,98.5K,44.59,2.50,5.94
LSF,Laird Superfood Inc.,70.6K,6.61,0.37,5.93
ACTU,Actuate Therapeutics Inc.,78.9K,7.62,0.42,5.83
POET,POET Technologies Inc.,1.6M,4.39,0.24,5.78
MASK,3 E Network Technology Group Ltd. Cl A,95.8K,3.57,0.19,5.62
EGO,Eldorado Gold Corp.,2.5M,16.59,0.88,5.60
QNTM,Quantum Biopharma Ltd.,235.3K,5.86,0.31,5.59
PUBM,PubMatic Inc.,743.0K,10.45,0.55,5.56
WKHS,Workhorse Group Inc.,1.2M,2.31,0.12,5.48
TKC,Turkcell Iletisim Hizmetleri A.S. ADR,1.4M,6.21,0.32,5.43
CAPS,Capstone Holding Corp.,363.1K,2.92,0.15,5.42
NN,NextNav Inc.,1.4M,13.44,0.68,5.33
OPRX,OptimizeRx Corp.,391.0K,9.47,0.47,5.22
TBH,Brag House Holdings Inc.,293.8K,5.51,0.27,5.15
RAIL,FreightCar America Inc.,667.9K,6.87,0.33,5.05
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,370.8K,11.71,0.55,4.93
GOGO,Gogo Inc.,2.2M,8.62,0.40,4.87
AISP,Airship AI Holdings Inc. Cl A,2.5M,4.75,0.22,4.86
BIYA,Baiya International Group Inc.,473.8K,4.35,0.20,4.82
OXBR,Oxbridge Re Holdings Ltd.,90.0K,2.20,0.10,4.76
XIFR,XPLR Infrastructure LP,2.3M,9.82,0.44,4.69
HFFG,HF Foods Group Inc.,540.4K,4.36,0.20,4.68
BBAR,Banco BBVA Argentina S.A. ADR,782.1K,19.90,0.89,4.68
VSAT,ViaSat Inc.,3.5M,11.71,0.52,4.65
AXGN,Axogen Inc.,981.4K,18.99,0.84,4.63
ADNT,Adient PLC,3.9M,14.59,0.63,4.51
X,United States Steel Corp.,6.7M,43.00,1.85,4.50
TTD,Trade Desk Inc. Cl A,12.8M,62.00,2.66,4.48
PRMB,Primo Brands Corp.,4.7M,33.52,1.43,4.46
ADUS,Addus HomeCare Corp.,187.3K,95.01,4.03,4.43
APPF,AppFolio Inc.,690.6K,230.33,9.73,4.41
ECX,ECARX Holdings Inc.,7.1M,2.87,0.12,4.36
ZENA,ZenaTech Inc.,175.9K,3.12,0.13,4.35
NGD,New Gold Inc.,19.6M,3.37,0.14,4.33
ETSY,Etsy Inc.,4.5M,47.82,1.96,4.27
BMA,Banco Macro S.A. ADR,311.5K,84.61,3.41,4.20
EXFY,Expensify Inc.,494.6K,3.49,0.14,4.18
BOW,Bowhead Specialty Holdings Inc.,434.1K,40.89,1.64,4.18
INTA,Intapp Inc.,589.5K,64.18,2.56,4.15
YPF,YPF S.A. ADR,1.9M,37.67,1.50,4.15
TGB,Taseko Mines Ltd.,11.3M,2.52,0.10,4.13
BTE,Baytex Energy Corp.,41.3M,2.31,0.09,4.05
LIVE,Live Ventures Inc.,65.8K,7.00,0.27,4.01
SEAT,Vivid Seats Inc.,2.8M,2.86,0.11,4.00
KLTR,Kaltura Inc.,303.2K,2.09,0.08,3.98
SAGE,Sage Therapeutics Inc.,1.8M,8.53,0.32,3.90
CABO,Cable One Inc.,93.8K,264.46,9.84,3.86
AUNA,Auna S.A.,148.4K,7.28,0.27,3.85
YOU,Clear Secure Inc.,1.8M,27.51,1.01,3.81
MLYS,Mineralys Therapeutics Inc.,1.3M,16.78,0.61,3.77
CGAU,Centerra Gold Inc.,757.2K,6.33,0.23,3.77
