Symbol,Company,Volume,Price,Change,%Change
VVPR,VivoPower International PLC,124.3M,4.36,2.10,92.73
ULY,Urgent.ly Inc.,433.9K,5.26,1.35,34.53
HCAI,Huachen AI Parking Management Technology Holding Co. Ltd.,371.4K,7.56,1.60,26.85
WOR,Worthington Enterprises Inc.,806.1K,51.47,9.84,23.64
PLTK,Playtika Holding Corp.,4.3M,5.39,0.99,22.47
LXEH,Lixiang Education Holding Co. Ltd. ADR,61.0K,12.60,2.20,21.15
QNTM,Quantum Biopharma Ltd.,602.3K,7.05,1.19,20.31
EPSM,Epsium Enterprise Ltd.,754.7K,4.70,0.70,17.50
GME,GameStop Corp. Cl A,34.8M,29.20,3.80,14.96
LGHL,Lion Group Holding Ltd. ADR,230.8K,4.20,0.50,13.51
PRM,Perimeter Solutions Inc.,966.1K,10.24,1.13,12.40
EDBL,Edible Garden AG Inc.,279.0K,3.23,0.34,11.76
ZYBT,Zhengye Biotechnology Holding Ltd.,821.2K,9.14,0.94,11.46
GPUS,Hyperscale Data Inc.,54.2K,2.67,0.27,11.45
BAK,Braskem S/A ADR,1.1M,4.08,0.39,10.43
CATO,Cato Corp. Cl A,245.1K,3.60,0.34,10.43
TZUP,Thumzup Media Corp.,469.9K,4.45,0.42,10.42
ICU,SeaStar Medical Holding Corp.,310.6K,2.44,0.23,10.36
BOF,BranchOut Food Inc.,141.1K,2.46,0.23,10.31
LZMH,LZ Technology Holdings Ltd. Cl B,142.1K,8.40,0.74,9.66
SYTA,Siyata Mobile Inc.,456.4K,2.20,0.18,8.91
UPC,Universe Pharmaceuticals Inc.,60.9K,4.89,0.39,8.71
CYD,China Yuchai International Ltd.,277.6K,18.50,1.47,8.63
VS,Versus Systems Inc.,87.4K,2.27,0.18,8.61
XYF,X Financial ADR,178.8K,14.05,1.05,8.08
ALMS,Alumis Inc.,380.4K,4.31,0.31,7.79
REX,Rex American Resources Corp.,89.0K,39.45,2.84,7.76
DOOO,BRP Inc.,313.7K,38.30,2.75,7.75
GV,Visionary Holdings Inc.,5.2M,3.42,0.24,7.54
TBH,Brag House Holdings Inc.,2.6M,5.92,0.41,7.47
BYON,Beyond Inc.,1.9M,5.18,0.35,7.24
NIU,Niu Technologies ADR,1.6M,4.43,0.29,7.11
QFIN,Qifu Technology Inc. ADR,4.3M,47.25,3.02,6.83
RILY,B. Riley Financial Inc.,1.0M,4.32,0.27,6.67
CTAS,Cintas Corp.,1.8M,205.90,12.44,6.43
HOND,HCM II Acquisition Corp. Cl A,4.8M,10.75,0.61,6.02
ASH,Ashland Inc.,371.7K,60.31,3.38,5.94
JFIN,Jiayin Group Inc. ADR,91.2K,12.44,0.69,5.92
AMPY,Amplify Energy Corp.,421.4K,3.94,0.22,5.80
KNOP,Knot Offshore Partners LP,73.2K,6.73,0.36,5.65
RERE,ATRenew Inc. ADR,414.3K,3.18,0.17,5.48
GMGI,Golden Matrix Group Inc.,60.1K,2.13,0.11,5.45
NPKI,NPK International Inc.,188.5K,6.18,0.30,5.10
GO,Grocery Outlet Holding Corp.,489.4K,12.83,0.62,5.08
BIYA,Baiya International Group Inc.,116.6K,4.57,0.22,5.06
DLTR,Dollar Tree Inc.,11.4M,70.50,3.36,5.00
