Symbol,Company,Volume,Price,Change,%Change
ICCT,iCoreConnect Inc.,173.5M,4.22,2.15,103.86
TIVC,Tivic Health Systems Inc.,34.4M,4.90,1.65,50.77
TCRT,Alaunos Therapeutics Inc.,5.9M,4.13,1.33,47.50
NTHI,NeOnc Technologies Holdings Inc.,107.3K,9.40,2.40,34.29
LOCL,Local Bounti Corp.,212.0K,2.77,0.67,31.80
CGTL,Creative Global Technology Holdings Ltd.,1.1M,5.41,1.26,30.36
OPOF,Old Point Financial Corp.,468.0K,36.42,6.51,21.77
NMAX,Newsmax Inc. Cl B,10.8M,62.54,10.02,19.07
LZMH,LZ Technology Holdings Ltd. Cl B,737.7K,8.88,1.72,24.02
SKBL,Skyline Builders Group Holding Ltd. Cl A,1.2M,11.99,1.63,15.75
VMAR,Vision Marine Technologies Inc.,916.6K,5.79,0.72,14.20
CLIK,Click Holdings Ltd.,160.2K,2.62,0.29,12.45
ADTX,Aditxt Inc.,165.0K,5.62,0.62,12.40
GT,Goodyear Tire & Rubber Co.,20.2M,10.18,1.06,11.68
FLX,BingEx Ltd. ADR,194.1K,2.50,0.26,11.36
MDCX,Medicus Pharma Ltd.,84.9K,3.75,0.35,10.29
LW,Lamb Weston Holdings Inc.,8.9M,59.62,5.47,10.11
VTMX,Corp. Inmobiliaria Vesta S.A.B. de C.V. ADR,369.9K,24.93,2.13,9.34
FORD,Forward Industries Inc.,178.5K,4.88,0.40,8.93
OMH,Ohmyhome Ltd.,73.7K,2.42,0.19,8.52
LGPS,LogProstyle Inc.,170.5K,3.54,0.27,8.26
TZUP,Thumzup Media Corp.,172.0K,4.51,0.32,7.64
MOH,Molina Healthcare Inc.,1.3M,353.28,24.80,7.55
NYXH,Nyxoah S.A.,285.1K,6.94,0.44,6.82
RIME,Algorhythm Holdings Inc.,204.7K,2.26,0.14,6.81
INHD,Inno Holdings Inc.,74.0K,5.18,0.32,6.58
Cayman,Intercont,303.3K,5.75,0.35,6.48
PAGS,PagSeguro Digital Ltd. Cl A,6.1M,8.50,0.51,6.38
STNE,StoneCo Ltd. Cl A,8.7M,11.40,0.67,6.24
