Symbol,Company,Volume,Price,Change,%Change
TALO,Talos Energy Inc.,1.6M,9.57,0.33,3.57
ACIC,American Coastal Insurance Corp.,202.2K,11.88,0.40,3.48
HCI,HCI Group Inc.,140.6K,145.32,4.85,3.45
CAR,Avis Budget Group Inc.,717.0K,61.49,2.01,3.38
CNOB,ConnectOne Bancorp Inc.,239.8K,24.54,0.81,3.41
FPH,Five Point Holdings LLC Cl A,149.3K,5.51,0.18,3.38
ADNT,Adient PLC,1.7M,15.08,0.49,3.36
SYY,Sysco Corp.,2.2M,72.74,2.35,3.34
UVE,Universal Insurance Holdings Inc.,121.4K,22.67,0.73,3.33
KOS,Kosmos Energy Ltd.,5.0M,2.35,0.07,3.30
