Symbol,Company,Volume,Price,Change,%Change
VERO,Venus Concept Inc.,38.8M,8.03,5.11,175.03
AEHL,Antelope Enterprise Holdings Ltd.,32.7M,4.94,2.76,126.61
TIVC,Tivic Health Systems Inc.,168.3K,5.42,1.81,50.14
ICCT,iCoreConnect Inc.,19.7M,4.73,1.47,45.09
NDRA,ENDRA Life Sciences Inc.,143.4K,4.79,0.80,20.05
HUBC,Hub Cyber Security Ltd.,2.8M,2.91,0.45,18.21
JZXN,Jiuzi Holdings Inc.,127.2K,4.58,0.69,17.74
TGL,Treasure Global Inc.,3.2M,2.62,0.36,15.93
BLIV,BeLive Holdings,749.1K,3.57,0.47,15.16
LFCR,Lifecore Biomedical Inc.,371.8K,5.99,0.78,14.97
DXF,Eason Technology Ltd. ADR,2.7M,7.38,0.95,14.88
NC,NACCO Industries Inc. Cl A,91.8K,36.68,4.65,14.52
KRUS,Kura Sushi USA Inc.,334.4K,47.29,5.83,14.06
WGRX,Wellgistics Health Inc.,248.5K,4.26,0.44,11.52
SXTC,China SXT Pharmaceuticals Inc.,62.5K,2.77,0.28,11.24
WRD,WeRide Inc. ADR,2.4M,9.80,0.96,10.86
BIYA,Baiya International Group Inc.,221.3K,3.80,0.37,10.79
NUTX,Nutex Health Inc.,145.2K,94.09,9.15,10.77
SMPL,Simply Good Foods Co.,1.0M,36.44,3.25,9.79
LGHL,Lion Group Holding Ltd. ADR,688.0K,3.32,0.29,9.74
UPXI,Upexi Inc.,781.5K,2.39,0.21,9.52
CPRI,Capri Holdings Ltd.,6.7M,13.63,1.15,9.21
HMY,Harmony Gold Mining Co. Ltd. ADR,5.5M,14.16,1.19,9.14
LHSW,Lianhe Sowell International Group Ltd.,2.3M,3.01,0.25,9.12
TXG,10x Genomics Inc.,1.8M,7.75,0.61,8.54
NGNE,Neurogene Inc.,152.6K,7.96,0.63,8.51
FORM,FormFactor Inc.,545.4K,25.14,1.96,8.46
IAG,IAMGOLD Corp.,15.3M,6.30,0.48,8.35
ACOG,Alpha Cognition Inc.,207.6K,4.06,0.31,8.27
KODK,Eastman Kodak Co.,1.1M,5.74,0.44,8.24
BKKT,Bakkt Holdings Inc.,195.6K,7.56,0.56,8.00
AEVA,Aeva Technologies Inc.,334.7K,6.38,0.47,7.95
SBSW,Sibanye-Stillwater Ltd. ADR,13.4M,3.48,0.26,7.92
RAIN,Rain Enhancement Technologies Holdco Inc. Cl A,106.9K,2.26,0.17,7.89
MTA,Metalla Royalty & Streaming Ltd.,252.8K,2.75,0.20,7.84
ARMN,Aris Mining Corp.,1.1M,4.58,0.33,7.77
CDE,Coeur Mining Inc.,9.1M,5.18,0.36,7.59
AEHR,Aehr Test Systems,2.1M,7.28,0.50,7.37
ONTO,Onto Innovation Inc.,886.5K,113.35,7.75,7.34
XPRO,Expro Group Holdings N.V.,854.5K,7.41,0.50,7.24
DJT,Trump Media & Technology Group Corp.,6.1M,17.84,1.18,7.06
CIA,Citizens Inc. Cl A,62.2K,4.01,0.26,6.93
CSIQ,Canadian Solar Inc.,1.1M,7.22,0.47,6.88
BRFS,BRF S.A. ADR,2.3M,3.32,0.21,6.91
HCAI,Huachen AI Parking Management Technology Holding Co. Ltd.,54.0K,7.28,0.46,6.76
AU,AngloGold Ashanti PLC,3.6M,35.39,2.23,6.72
EGO,Eldorado Gold Corp.,1.3M,16.68,1.05,6.72
OLN,Olin Corp.,1.3M,19.16,1.21,6.71
TFPM,Triple Flag Precious Metals Corp.,245.2K,19.54,1.19,6.46
EWCZ,European Wax Center Inc.,330.7K,3.50,0.21,6.38
MRAM,Everspin Technologies Inc.,79.3K,4.68,0.28,6.36
ZYBT,Zhengye Biotechnology Holding Ltd.,55.2K,3.87,0.23,6.32
ECPG,Encore Capital Group Inc.,139.0K,28.84,1.71,6.30
DAL,Delta Air Lines Inc.,13.8M,38.07,2.19,6.10
EXK,Endeavour Silver Corp.,8.2M,3.34,0.19,6.03
EPWK,EPWK Holdings Ltd. Cl A,1.4M,5.10,0.29,6.03
RUN,SunRun Inc.,6.3M,6.00,0.34,6.00
TLS,Telos Corp.,206.1K,2.34,0.13,5.88
GFI,Gold Fields Ltd. ADR,3.2M,21.22,1.18,5.86
KGC,Kinross Gold Corp.,9.7M,12.66,0.70,5.85
AGI,Alamos Gold Inc.,2.3M,25.93,1.43,5.84
HYMC,Hycroft Mining Holding Corp.,79.4K,2.60,0.14,5.69
INTC,Intel Corp.,63.7M,19.16,1.03,5.67
GDOT,Green Dot Corp. Cl A,271.5K,7.08,0.38,5.67
LZMH,LZ Technology Holdings Ltd. Cl B,1.3M,8.65,0.46,5.55
