Symbol,Company,Volume,Price,Change,%Change
AREB,American Rebel Holdings Inc.,22.8M,9.30,3.72,66.62
JNVR,Janover Inc.,2.8M,42.62,15.24,55.66
BNGO,Bionano Genomics Inc.,522.8K,3.98,0.90,29.22
WHLR,Wheeler Real Estate Investment Trust Inc.,36.0M,2.90,0.53,22.15
RDHL,RedHill Biopharma Ltd. ADR,90.0K,3.22,0.52,19.26
ICCT,iCoreConnect Inc.,13.4M,4.38,0.69,18.70
JUNE,Junee Ltd.,65.2K,9.80,1.48,17.85
GNFT,Genfit S.A. ADR,106.7K,3.10,0.39,14.18
SXTP,60 Degrees Pharmaceuticals Inc.,2.5M,2.85,0.35,14.00
KROS,Keros Therapeutics Inc.,2.6M,11.75,1.42,13.75
CLIK,Click Holdings Ltd.,1.8M,3.10,0.36,13.14
USAU,U.S. Gold Corp.,303.3K,9.56,0.98,11.42
RYET,Ruanyun Edai Technology Inc.,1.4M,4.72,0.48,11.26
SOBR,SOBR Safe Inc.,189.9K,5.52,0.55,11.07
SBC,SBC Medical Group Holdings Inc.,59.7K,3.50,0.33,10.41
UAMY,United States Antimony Corp.,4.5M,2.47,0.23,10.28
YSXT,YSX Tech. Co. Ltd.,180.5K,3.48,0.32,10.13
TCRT,Alaunos Therapeutics Inc.,52.3K,2.81,0.24,9.34
NEOG,Neogen Corp.,7.1M,5.46,0.43,8.67
BJDX,Bluejay Diagnostics Inc.,2.2M,2.69,0.21,8.64
SKE,Skeena Resources Ltd.,401.9K,9.97,0.71,7.67
ADTX,Aditxt Inc.,286.1K,3.23,0.23,7.67
HMY,Harmony Gold Mining Co. Ltd. ADR,7.7M,15.82,1.13,7.66
VGAS,Verde Clean Fuels Inc. Cl A,61.0K,3.50,0.24,7.36
SMMT,Summit Therapeutics Inc.,4.1M,19.50,1.27,6.99
GFI,Gold Fields Ltd. ADR,3.6M,23.04,1.49,6.89
DRD,DRDGOLD Ltd. ADR,526.4K,15.13,0.96,6.77
USAR,USA Rare Earth Inc.,442.1K,7.86,0.49,6.65
WKSP,Worksport Ltd.,52.1K,3.33,0.19,6.05
SCNI,Scinai Immunotherapeutics Ltd. ADR,57.5K,2.38,0.14,6.00
CDTG,CDT Environmental Technology Investment Holdings Ltd.,177.8K,2.36,0.13,5.83
WYY,WidePoint Corp.,59.1K,2.88,0.15,5.49
JZXN,Jiuzi Holdings Inc.,58.4K,5.03,0.26,5.45
