Symbol,Company,Volume,Price,Change,%Change
SBFM,Sunshine Biopharma Inc.,789.6K,3.39,1.31,62.98
TTEC,TTEC Holdings Inc.,63.3K,4.13,0.86,26.30
CGNT,Cognyte Software Ltd.,70.1K,9.28,1.06,12.96
ANGO,AngioDynamics Inc.,75.0K,10.76,1.10,11.39
WOOF,Petco Health & Wellness Co. Inc.,214.7K,3.25,0.29,9.79
CRWV,CoreWeave Inc. Cl A,496.3K,57.21,4.64,8.83
QSG,QuantaSing Group Ltd. ADR,193.7K,7.10,0.52,7.90
CMPX,Compass Therapeutics Inc.,111.0K,2.40,0.17,7.37
VNET,VNET Group Inc. ADR,124.5K,8.18,0.29,3.74
RKT,Rocket Cos. Inc.,98.8K,12.96,0.36,2.90
TERN,Terns Pharmaceuticals Inc.,55.3K,2.63,0.07,2.73
RDFN,Redfin Corp.,130.3K,9.71,0.14,1.46
MRVI,Maravai LifeSciences Holdings Inc.,50.2K,2.19,0.03,1.39
BILI,Bilibili Inc. ADR,67.2K,19.24,0.24,1.29
CERT,Certara Inc.,50.3K,9.97,0.10,1.01
RCAT,Red Cat Holdings Inc.,80.0K,6.41,0.02,0.31
KHC,Kraft Heinz Co.,97.5K,30.43,0.09,0.30
CMRX,Chimerix Inc.,87.2K,8.52,0.02,0.24
EXC,Exelon Corp.,53.5K,46.02,0.10,0.22
PEP,PepsiCo Inc.,65.2K,149.95,0.28,0.19
KDP,Keurig Dr Pepper Inc.,85.6K,35.01,0.04,0.11
EZPW,Ezcorp Inc. Cl A,60.1K,15.52,0.00,0.03
GILD,Gilead Sciences Inc.,129.1K,111.20,-0.08,-0.07
MDLZ,Mondelez International Inc. Cl A,104.7K,67.57,-0.08,-0.12
CKPT,Checkpoint Therapeutics Inc.,141.8K,4.04,-0.01,-0.12
PFE,Pfizer Inc.,261.5K,24.49,-0.05,-0.20
ARCC,Ares Capital Corp.,57.4K,22.24,-0.06,-0.25
MO,Altria Group Inc.,64.4K,58.64,-0.15,-0.26
JD,JD.com Inc. ADR,52.1K,41.21,-0.11,-0.27
WBA,Walgreens Boots Alliance Inc.,105.8K,11.13,-0.03,-0.27
CELH,Celsius Holdings Inc.,81.1K,35.60,-0.13,-0.36
SBUX,Starbucks Corp.,106.6K,97.82,-0.41,-0.41
TMUS,T-Mobile US Inc.,52.5K,267.33,-1.21,-0.45
UBER,Uber Technologies Inc.,54.6K,72.63,-0.36,-0.49
WEN,Wendy's Co.,53.8K,14.64,-0.07,-0.51
JBLU,JetBlue Airways Corp.,74.6K,4.76,-0.03,-0.52
PCG,PG&E Corp.,71.4K,17.18,-0.10,-0.55
AGNC,AGNC Investment Corp.,226.8K,9.44,-0.06,-0.58
VTRS,Viatris Inc.,119.2K,8.55,-0.05,-0.58
CSX,CSX Corp.,126.3K,29.36,-0.18,-0.61
CMCSA,Comcast Corp. Cl A,238.1K,36.15,-0.24,-0.67
SIRI,Sirius XM Holdings Inc.,52.1K,21.81,-0.15,-0.68
RUN,SunRun Inc.,114.6K,6.44,-0.04,-0.69
CPRT,Copart Inc.,62.6K,56.79,-0.42,-0.73
AAPL,Apple Inc.,676.6K,221.40,-1.79,-0.80
DKNG,DraftKings Inc. Cl A,158.4K,32.92,-0.27,-0.81
LYFT,Lyft Inc. Cl A,319.0K,12.12,-0.10,-0.86
INTC,Intel Corp.,572.3K,21.86,-0.20,-0.88
IQ,iQIYI Inc. ADR,61.6K,2.21,-0.02,-0.90
NFLX,Netflix Inc.,51.5K,919.78,-8.60,-0.93
VOD,Vodafone Group PLC ADR,57.4K,9.18,-0.09,-0.97
PSEC,Prospect Capital Corp.,64.4K,4.02,-0.04,-0.99
OKTA,Okta Inc. Cl A,52.2K,103.64,-1.05,-1.01
NWL,Newell Brands Inc.,74.8K,6.12,-0.07,-1.05
CSCO,Cisco Systems Inc.,281.1K,61.13,-0.67,-1.08
PDD,PDD Holdings Inc. ADR,60.6K,120.83,-1.36,-1.11
VLY,Valley National Bancorp,75.1K,8.79,-0.10,-1.12
CORZ,Core Scientific Inc.,107.3K,7.91,-0.09,-1.12
PYPL,PayPal Holdings Inc.,131.5K,65.35,-0.75,-1.13
APA,APA Corp.,51.9K,20.89,-0.24,-1.14
HST,Host Hotels & Resorts Inc.,53.1K,14.28,-0.17,-1.14
AVGO,Broadcom Inc.,310.3K,166.55,-1.97,-1.17
LCID,Lucid Group Inc.,650.7K,2.50,-0.03,-1.17
BKR,Baker Hughes Co.,94.9K,44.26,-0.54,-1.21
AMAT,Applied Materials Inc.,74.3K,143.89,-1.77,-1.22
HBAN,Huntington Bancshares Inc.,136.8K,14.76,-0.19,-1.27
MSFT,Microsoft Corp.,322.8K,377.33,-4.86,-1.27
QCOM,Qualcomm Inc.,83.0K,151.09,-1.96,-1.28
HSAI,Hesai Group ADR,64.1K,17.20,-0.23,-1.29
GRAB,Grab Holdings Ltd.,202.2K,4.49,-0.06,-1.32
LUNR,Intuitive Machines Inc. Cl A,80.2K,7.37,-0.10,-1.34
AFRM,Affirm Holdings Inc. Cl A,83.3K,44.90,-0.61,-1.34
SABR,Sabre Corp.,53.0K,2.56,-0.04,-1.35
GOOG,Alphabet Inc. Cl C,338.7K,156.74,-2.14,-1.35
GOOGL,Alphabet Inc. Cl A,467.9K,154.88,-2.19,-1.40
BAC,Bank of America Corp.,104.4K,40.91,-0.58,-1.40
EBAY,eBay Inc.,73.7K,66.83,-0.97,-1.43
MDB,MongoDB Inc.,186.7K,174.02,-2.60,-1.47
ERIC,Telefon AB L.M. Ericsson ADR,76.0K,7.68,-0.12,-1.48
CGNX,Cognex Corp.,53.2K,29.56,-0.45,-1.49
AMD,Advanced Micro Devices Inc.,193.9K,101.25,-1.53,-1.49
AAL,American Airlines Group Inc.,484.5K,10.14,-0.15,-1.50
WBD,Warner Bros. Discovery Inc. Series A,248.9K,10.06,-0.15,-1.52
LRCX,Lam Research Corp.,101.1K,71.72,-1.11,-1.53
RF,Regions Financial Corp.,55.7K,21.24,-0.34,-1.55
MRVL,Marvell Technology Inc.,111.8K,61.62,-1.05,-1.68
IBRX,ImmunityBio Inc.,74.6K,2.91,-0.05,-1.69
WULF,TeraWulf Inc.,86.1K,2.83,-0.05,-1.72
NCLH,Norwegian Cruise Line Holdings Ltd.,52.3K,18.73,-0.33,-1.73
CLSK,CleanSpark Inc.,208.0K,7.43,-0.13,-1.74
PANW,Palo Alto Networks Inc.,68.7K,168.28,-3.03,-1.77
MU,Micron Technology Inc.,150.6K,87.14,-1.57,-1.77
META,Meta Platforms Inc.,167.8K,575.11,-10.89,-1.86
HTZ,Hertz Global Holdings Inc.,53.2K,3.65,-0.07,-1.88
NBIS,Nebius Group N.V. Cl A,116.2K,22.26,-0.43,-1.90
MRNA,Moderna Inc.,163.8K,26.64,-0.52,-1.91
ASTS,AST SpaceMobile Inc.,116.4K,21.43,-0.42,-1.92
DAL,Delta Air Lines Inc.,87.8K,41.60,-0.82,-1.93
