Symbol,Company,Volume,Price,Change,%Change
BGLC,BioNexus Gene Lab Corp.,156.6K,3.00,0.83,38.24
AREB,American Rebel Holdings Inc.,85.9K,9.09,1.84,25.38
ZLAB,Zai Lab Ltd. ADR,56.9K,28.06,3.74,15.38
CERT,Certara Inc.,133.2K,11.64,1.13,10.75
ABSI,Absci Corp.,88.2K,2.71,0.26,10.39
RXRX,Recursion Pharmaceuticals Inc.,470.0K,4.93,0.42,9.31
BTG,B2Gold Corp.,133.6K,3.25,0.19,6.23
BILI,Bilibili Inc. ADR,78.4K,16.90,0.98,6.16
NEM,Newmont Corp.,111.0K,53.78,2.84,5.58
IAG,IAMGOLD Corp.,89.4K,7.24,0.36,5.31
EQX,Equinox Gold Corp.,65.1K,6.81,0.32,4.93
STM,STMicroelectronics N.V.,93.0K,19.70,0.77,4.04
SDGR,Schrodinger Inc.,52.6K,19.94,0.72,3.77
LI,Li Auto Inc. ADR,55.3K,23.08,0.83,3.75
SSRM,SSR Mining Inc.,94.0K,10.54,0.36,3.59
AMD,Advanced Micro Devices Inc.,576.6K,91.60,2.90,3.27
NIO,NIO Inc. ADR,110.9K,3.37,0.09,2.83
MSTR,MicroStrategy Inc.,61.3K,279.24,6.90,2.53
BIDU,Baidu Inc. ADR,167.0K,80.19,1.72,2.19
SHEL,Shell PLC ADR,51.5K,61.02,1.24,2.07
PDD,PDD Holdings Inc. ADR,623.9K,90.08,1.73,1.96
CIFR,Cipher Mining Inc.,61.4K,2.26,0.04,1.80
CFLT,Confluent Inc.,106.0K,21.60,0.38,1.77
TEM,Tempus AI Inc.,95.5K,40.97,0.68,1.69
NU,Nu Holdings Ltd. Cl A,68.6K,10.42,0.17,1.66
VTRS,Viatris Inc.,113.4K,7.38,0.12,1.65
JD,JD.com Inc. ADR,271.7K,36.12,0.55,1.53
QFIN,Qifu Technology Inc. ADR,90.6K,37.28,0.55,1.48
CCEP,Coca-Cola Europacific Partners PLC,60.4K,86.22,1.24,1.45
NVDA,NVIDIA Corp.,1.8M,109.08,1.50,1.40
GRAB,Grab Holdings Ltd.,519.7K,4.02,0.05,1.26
APLD,Applied Digital Corp.,107.7K,5.19,0.06,1.17
HOOD,Robinhood Markets Inc.,228.8K,40.96,0.45,1.11
MARA,MARA Holdings Inc.,195.0K,11.87,0.13,1.11
IREN,IREN Ltd.,107.2K,5.55,0.06,1.09
