Symbol,Company,Volume,Price,Change,%Change
LUCY,Innovative Eyewear Inc.,13.2M,4.95,2.50,102.04
JNVR,Janover Inc.,3.8M,44.97,17.59,64.24
BNGO,Bionano Genomics Inc.,1.6M,4.40,1.32,42.86
AREB,American Rebel Holdings Inc.,31.9M,7.25,1.67,29.93
SXTP,60 Degrees Pharmaceuticals Inc.,3.2M,3.10,0.60,24.00
JUNE,Junee Ltd.,109.8K,10.01,1.69,20.37
GNFT,Genfit S.A. ADR,118.2K,3.26,0.55,20.07
KROS,Keros Therapeutics Inc.,3.9M,12.24,1.91,18.49
VGAS,Verde Clean Fuels Inc. Cl A,68.0K,3.82,0.56,17.18
BAOS,Baosheng Media Group Holdings Ltd.,551.8K,2.47,0.36,17.06
USAU,U.S. Gold Corp.,551.7K,10.02,1.44,16.78
LOVE,Lovesac Co.,2.6M,18.49,2.56,16.07
USAR,USA Rare Earth Inc.,692.0K,8.49,1.12,15.20
UAMY,United States Antimony Corp.,7.3M,2.54,0.30,13.62
NEOG,Neogen Corp.,15.5M,5.63,0.61,12.15
CLIK,Click Holdings Ltd.,2.9M,3.05,0.31,11.31
TCRT,Alaunos Therapeutics Inc.,213.5K,2.86,0.29,11.28
HMY,Harmony Gold Mining Co. Ltd. ADR,12.3M,16.28,1.59,10.82
MIMI,Mint Inc. Cl A,93.7K,4.10,0.40,10.81
NUTX,Nutex Health Inc.,190.7K,114.75,10.96,10.56
SMMT,Summit Therapeutics Inc.,8.3M,20.15,1.92,10.53
MAXN,Maxeon Solar Technologies Ltd.,295.1K,3.28,0.31,10.44
SKE,Skeena Resources Ltd.,700.1K,10.17,0.91,9.83
UPC,Universe Pharmaceuticals Inc.,90.8K,3.60,0.32,9.76
BYRN,Byrna Technologies Inc.,1.8M,18.08,1.50,9.05
ASPI,ASP Isotopes Inc.,3.1M,5.44,0.45,9.02
BIOA,BioAge Labs Inc.,339.2K,3.43,0.28,8.89
GFI,Gold Fields Ltd. ADR,6.0M,23.38,1.83,8.49
FSM,Fortuna Mining Corp.,18.0M,6.23,0.48,8.35
OLMA,Olema Pharmaceuticals Inc.,1.2M,3.41,0.26,8.25
CERT,Certara Inc.,2.8M,10.51,0.78,8.02
DRD,DRDGOLD Ltd. ADR,713.4K,15.27,1.10,7.76
DNA,Ginkgo Bioworks Holdings Inc.,1.8M,7.30,0.52,7.67
ICCT,iCoreConnect Inc.,15.3M,3.97,0.28,7.59
SATL,Satellogic Inc.,569.7K,3.78,0.26,7.39
SBC,SBC Medical Group Holdings Inc.,67.1K,3.40,0.23,7.26
MRT,Marti Technologies Inc.,57.5K,2.84,0.19,7.17
OR,Osisko Gold Royalties Ltd.,1.7M,21.84,1.43,7.01
ARQQ,Arqit Quantum Inc.,395.7K,14.37,0.94,7.00
PSMT,PriceSmart Inc.,665.7K,91.76,5.97,6.96
TOPW,Top Win International Ltd.,475.0K,2.37,0.15,6.76
AU,AngloGold Ashanti PLC,3.6M,38.86,2.44,6.71
ALHC,Alignment Healthcare Inc.,3.8M,19.78,1.24,6.69
ORLA,Orla Mining Ltd.,2.3M,9.88,0.60,6.52
CTGO,Contango ORE Inc.,128.1K,10.87,0.66,6.46
CYBN,Cybin Inc.,414.0K,5.77,0.35,6.46
HRTG,Heritage Insurance Holdings Inc.,235.4K,16.14,0.97,6.43
RAY,Raytech Holding Ltd.,3.6M,2.35,0.14,6.33
AGL,agilon health inc.,6.9M,5.50,0.33,6.27
MTEN,Mingteng International Corp. Inc.,109.1K,4.42,0.26,6.25
BLTE,Belite Bio Inc. ADR,94.5K,58.52,3.42,6.21
GSIT,GSI Technology Inc.,242.5K,2.50,0.14,6.14
VOXR,Vox Royalty Corp.,300.6K,2.94,0.17,6.14
IAG,IAMGOLD Corp.,31.9M,6.88,0.37,5.68
CJMB,Callan JMB Inc.,152.5K,4.12,0.22,5.64
BTG,B2Gold Corp.,51.1M,3.06,0.16,5.52
AEM,Agnico Eagle Mines Ltd.,6.6M,111.63,5.83,5.51
AGI,Alamos Gold Inc.,5.1M,27.98,1.45,5.44
MAMO,Massimo Group,95.7K,2.58,0.13,5.31
EGO,Eldorado Gold Corp.,2.4M,18.00,0.91,5.30
VMAR,Vision Marine Technologies Inc.,108.3K,5.79,0.29,5.27
LI,Li Auto Inc. ADR,10.8M,22.25,1.11,5.25
SKGR,SK Growth Opportunities Corp. Cl A,163.1K,12.03,0.59,5.16
KGC,Kinross Gold Corp.,22.3M,13.69,0.67,5.15
SAND,Sandstorm Gold Ltd.,5.4M,7.60,0.37,5.12
EYPT,EyePoint Pharmaceuticals Inc.,1.3M,4.80,0.23,5.03
JZXN,Jiuzi Holdings Inc.,104.0K,5.01,0.24,5.03
GDS,GDS Holdings Ltd. ADR,5.3M,20.39,0.96,4.94
CDTG,CDT Environmental Technology Investment Holdings Ltd.,214.9K,2.34,0.11,4.93
FNV,Franco-Nevada Corp.,1.5M,157.44,7.22,4.81
NGD,New Gold Inc.,26.7M,3.40,0.15,4.78
TDUP,ThredUp Inc. Cl A,1.9M,3.30,0.15,4.76
API,Agora Inc. ADR,928.5K,3.14,0.14,4.67
ARMN,Aris Mining Corp.,1.8M,5.11,0.23,4.61
NEM,Newmont Corp.,18.8M,50.95,2.20,4.51
DC,Dakota Gold Corp.,366.4K,2.78,0.12,4.51
RYET,Ruanyun Edai Technology Inc.,1.5M,4.43,0.19,4.48
WKSP,Worksport Ltd.,96.0K,3.28,0.14,4.46
NGVC,Natural Grocers by Vitamin Cottage Inc.,171.6K,46.91,2.00,4.45
IDR,Idaho Strategic Resources Inc.,400.8K,16.45,0.70,4.44
ACT,Enact Holdings Inc.,1.7M,34.84,1.47,4.41
WPM,Wheaton Precious Metals Corp.,2.8M,77.85,3.23,4.33
PDEX,Pro-Dex Inc.,50.2K,61.10,2.47,4.21
YSXT,YSX Tech. Co. Ltd.,214.1K,3.29,0.13,4.11
SA,Seabridge Gold Inc.,1.3M,11.15,0.44,4.11
RRGB,Red Robin Gourmet Burgers Inc.,231.8K,3.06,0.12,4.08
YALA,Yalla Group Ltd. ADR,867.3K,5.38,0.21,4.06
RAIN,Rain Enhancement Technologies Holdco Inc. Cl A,156.7K,2.45,0.10,4.03
BJDX,Bluejay Diagnostics Inc.,2.5M,2.58,0.10,4.03
ASND,Ascendis Pharma A/S ADR,645.7K,143.33,5.49,3.98
MTA,Metalla Royalty & Streaming Ltd.,592.9K,3.02,0.12,3.97
HCI,HCI Group Inc.,128.7K,145.45,5.48,3.92
RGLD,Royal Gold Inc.,856.1K,170.97,6.43,3.91
