Symbol,Company,Volume,Price,Change,%Change
AREB,American Rebel Holdings Inc.,59.2M,18.32,14.36,362.63
SOBR,SOBR Safe Inc.,852.5K,4.83,1.36,39.15
RGC,Regencell Bioscience Holdings Ltd.,129.6K,33.40,9.10,37.45
ICCT,iCoreConnect Inc.,69.3M,5.67,1.44,34.01
USAR,USA Rare Earth Inc.,6.9M,8.02,1.52,23.38
PAMT,PAMT Corp.,135.5K,13.51,2.40,21.60
MKTW,MarketWise Inc.,53.3K,10.73,1.50,16.25
LOCL,Local Bounti Corp.,119.6K,3.25,0.43,15.25
ALMS,Alumis Inc.,517.2K,9.84,1.29,15.16
AEHL,Antelope Enterprise Holdings Ltd.,279.9K,2.40,0.30,14.47
MLGO,MicroAlgo Inc.,4.4M,20.84,2.39,12.95
LGHL,Lion Group Holding Ltd. ADR,243.3K,3.55,0.40,12.70
UPC,Universe Pharmaceuticals Inc.,206.6K,3.22,0.34,11.98
WTF,Waton Financial Ltd.,2.3M,6.53,0.67,11.44
FHTX,Foghorn Therapeutics Inc.,181.1K,3.51,0.36,11.43
GES,Guess? Inc.,1.6M,10.98,0.94,9.36
CSAI,Cloudastructure Inc. Cl A,770.8K,4.85,0.40,8.99
ONON,On Holding AG,13.1M,40.76,3.12,8.27
VSCO,Victoria's Secret & Co.,5.8M,16.02,1.15,7.73
IBP,Installed Building Products Inc.,249.5K,175.98,12.19,7.44
Cayman,Intercont,386.1K,6.17,0.42,7.30
CSTE,Caesarstone Ltd.,79.0K,2.55,0.17,7.14
KSS,Kohl's Corp.,14.0M,7.11,0.47,7.08
COLM,Columbia Sportswear Co.,1.1M,71.84,4.65,6.92
HPAI,Helport AI Ltd.,50.8K,6.77,0.43,6.78
GAP,Gap Inc.,11.3M,19.02,1.18,6.61
ARHS,Arhaus Inc.,1.8M,7.52,0.47,6.59
NXU,Nxu Inc.,102.1K,2.49,0.15,6.41
BLD,TopBuild Corp.,341.9K,302.39,18.17,6.39
SKX,Skechers USA Inc. Cl A,3.8M,52.04,3.08,6.29
DERM,Journey Medical Corp.,221.8K,7.00,0.41,6.22
HOV,Hovnanian Enterprises Inc. Cl A,76.8K,100.22,5.84,6.19
DHI,D.R. Horton Inc.,4.4M,129.84,7.54,6.16
BZAI,Blaize Holdings Inc.,192.3K,2.16,0.12,5.89
CROX,Crocs Inc.,2.1M,101.57,5.60,5.84
NVAX,Novavax Inc.,4.2M,5.92,0.32,5.71
CISS,C3is Inc.,364.4K,3.66,0.20,5.63
DFH,Dream Finders Homes Inc.,393.0K,22.49,1.18,5.54
CRI,Carter's Inc.,876.4K,37.53,1.96,5.51
GME,GameStop Corp. Cl A,10.5M,22.26,1.16,5.50
SLP,Simulations Plus Inc.,317.9K,25.09,1.27,5.35
NKE,Nike Inc. Cl B,42.5M,58.54,2.96,5.33
WWW,Wolverine World Wide Inc.,1.1M,11.70,0.58,5.22
DECK,Deckers Outdoor Corp.,4.7M,106.13,5.25,5.20
ANF,Abercrombie & Fitch Co.,3.1M,73.74,3.48,4.95
OXM,Oxford Industries Inc.,324.3K,57.46,2.63,4.80
URBN,Urban Outfitters Inc.,2.6M,47.39,2.15,4.75
AEO,American Eagle Outfitters Inc.,8.3M,10.92,0.48,4.65
BJDX,Bluejay Diagnostics Inc.,413.6K,3.40,0.15,4.62
MNRO,Monro Inc.,542.5K,15.14,0.66,4.56
CCS,Century Communities Inc.,191.0K,65.79,2.86,4.54
LSEA,Landsea Homes Corp.,262.0K,6.03,0.26,4.51
MHO,M/I Homes Inc.,224.8K,113.99,4.89,4.48
LEN.B,Lennar Corp. Cl B,58.5K,106.86,4.46,4.36
PHM,PulteGroup Inc.,1.8M,101.88,4.13,4.23
LGIH,LGI Homes Inc.,327.8K,63.74,2.56,4.18
LEN,Lennar Corp. Cl A,3.8M,112.93,4.53,4.18
ODP,ODP Corp.,375.5K,13.74,0.55,4.17
PCVX,Vaxcyte Inc.,2.2M,31.80,1.25,4.07
BZH,Beazer Homes USA Inc.,445.6K,19.79,0.77,4.05
RKT,Rocket Cos. Inc.,14.8M,14.41,0.56,4.04
GRBK,Green Brick Partners Inc.,211.0K,58.02,2.13,3.81
TOL,Toll Brothers Inc.,1.3M,102.02,3.63,3.69
TPH,Tri Pointe Homes Inc.,581.0K,31.78,1.11,3.64
MTH,Meritage Homes Corp.,733.0K,68.96,2.35,3.54
